Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 2350 (-2300)
Commentary
"The numbers fell by half following last weeks larger than usual sale. There was a good supply of medium and heavy weight yearlings along with a larger percentage of cows. Light weight young cattle were in limited supply as were well finished heavy grown steers to suit export processors. Most of the usual processors and feedlot orders were in place however competition was somewhat subdued.

One of the very few bright spots in the market were the vealer steers to restockers, they sold on a firm to slightly dearer trend with breed contributing to price change. All classes of yearling steers sold to cheaper trends with falls of 20c to 30c/kg. There was little in the way of breed premiums in the heavy feeders with quality being the major determination in price variation. Those cheaper trends followed into the yearling heifers to restock and feed with the light and medium weights suffering the greatest correction. The heavy weights to feed were only slightly cheaper.

There were too few heavy grown steers suitable to process for a quote. The well finished heavy grown heifers to process sold to cheaper trends. The recent high demand for cows was not as evident with market trends cheaper by 15c to 20c/kg and more in places where quality was a factor."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,13,-22,200.0,382.0,361.3076923076923,-51.9,384.6,734.6,694.8,540.0,1069.6,1007.8538161057693
Yearling Steer,280-330,Feeder,C,2,18,7,320.0,368.0,356.6111111111111,-57.4,615.4,707.7,685.8,1024.0,1177.6,1165.875027126736
Yearling Steer,280-330,Restocker,C,2,23,14,316.0,366.0,360.95652173913044,-27.5,607.7,703.8,694.1,1011.2,1179.8,1158.0999941618545
Yearling Steer,330-400,Feeder,C,2,180,-4,306.0,380.0,366.43888888888887,-14.7,588.5,730.8,704.7,1071.0,1480.0,1365.7472330729167
Yearling Steer,330-400,Restocker,C,2,124,83,270.0,376.0,355.6290322580645,-37.3,519.2,723.1,683.9,918.0,1488.0,1335.1919339087701
Yearling Steer,400+,Feeder,C,2,250,-512,322.0,372.0,364.644,-13.5,619.2,715.4,701.2,1320.2,1850.0,1640.929
Yearling Steer,400+,Feeder,C,3,22,-48,345.0,370.0,359.8636363636364,-13.5,638.9,685.2,666.4,1414.5,1892.1,1759.759110884233
Yearling Steer,400+,Processor,C,2,4,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1600.5,1600.5,1600.5
Yearling Steer,400+,Processor,C,3,40,26,326.0,380.0,368.95,12.4,603.7,703.7,683.2,1476.0,2046.0,1861.9849975585937
Yearling Heifer,200-280,Processor,C,2,3,NQ,282.0,282.0,282,NQ,542.3,542.3,542.3,733.2,733.2,733.2000325520834
Yearling Heifer,200-280,Restocker,C,2,3,-4,290.0,290.0,290,-33.4,557.7,557.7,557.7,783.0,783.0,783
Yearling Heifer,280-330,Feeder,C,2,40,-38,318.0,325.0,320.125,-5.3,611.5,625.0,615.6,975.0,1056.0,1022.55
Yearling Heifer,280-330,Restocker,C,2,75,34,290.0,320.0,308.26666666666665,-19.9,557.7,615.4,592.8,910.6,1049.4,986.7906510416667
