Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 2350 (-2300)
Commentary
"The numbers fell by half following last weeks larger than usual sale. There was a good supply of medium and heavy weight yearlings along with a larger percentage of cows. Light weight young cattle were in limited supply as were well finished heavy grown steers to suit export processors. Most of the usual processors and feedlot orders were in place however competition was somewhat subdued.

One of the very few bright spots in the market were the vealer steers to restockers, they sold on a firm to slightly dearer trend with breed contributing to price change. All classes of yearling steers sold to cheaper trends with falls of 20c to 30c/kg. There was little in the way of breed premiums in the heavy feeders with quality being the major determination in price variation. Those cheaper trends followed into the yearling heifers to restock and feed with the light and medium weights suffering the greatest correction. The heavy weights to feed were only slightly cheaper.

There were too few heavy grown steers suitable to process for a quote. The well finished heavy grown heifers to process sold to cheaper trends. The recent high demand for cows was not as evident with market trends cheaper by 15c to 20c/kg and more in places where quality was a factor."
Yearling Heifer,280-330,Restocker,D,2,10,NQ,276.0,318.0,309.6,NQ,552.0,636.0,619.2,800.4,906.3,885.1199951171875
Yearling Heifer,330-400,Feeder,C,2,40,-289,300.0,328.0,312.975,-14.9,576.9,630.8,601.9,1037.0,1232.0,1135.292498779297
Yearling Heifer,330-400,Feeder,C,3,24,-20,314.0,330.0,318.875,-22.4,594.3,622.6,607.3,1208.9,1287.0,1242.3250325520833
Yearling Heifer,330-400,Processor,C,2,2,-2,308.0,308.0,308,-42.0,592.3,592.3,592.3,1139.6,1139.6,1139.5999755859375
Yearling Heifer,330-400,Processor,C,3,9,3,335.0,340.0,339.44444444444446,17.8,632.1,641.5,640.5,1190.0,1306.5,1202.9444444444443
Yearling Heifer,330-400,Restocker,C,2,46,-8,315.0,324.0,316.89130434782606,-14.0,605.8,623.1,609.4,1071.0,1134.0,1093.3695652173913
Yearling Heifer,330-400,Restocker,D,2,14,NQ,292.0,292.0,292,NQ,584.0,584.0,584.0,1007.4,1007.4,1007.4000418526786
Yearling Heifer,400+,Feeder,C,2,14,-127,298.0,330.0,311.7142857142857,-30.7,573.1,634.6,599.5,1281.4,1402.5,1333.300013950893
Yearling Heifer,400+,Feeder,C,3,97,-26,302.0,350.0,334.55670103092785,-1.0,580.8,660.4,633.9,1268.4,1540.0,1445.5742351099389
Yearling Heifer,400+,Processor,C,3,22,-36,339.0,349.0,343.22727272727275,1.4,639.6,658.5,647.6,1436.4,1570.5,1481.665926846591
Yearling Heifer,400+,Processor,C,4,4,NQ,357.0,357.0,357,NQ,673.6,673.6,673.6,1731.4,1731.4,1731.449951171875
Vealer Steer,0-200,Restocker,C,2,6,NQ,400.0,400.0,400,NQ,769.2,769.2,769.2,560.0,560.0,560
Vealer Steer,200-280,Restocker,C,2,12,-7,330.0,410.0,383.3333333333333,1.6,634.6,788.5,737.2,792.0,861.0,838
Vealer Steer,280-330,Restocker,C,2,28,18,382.0,418.0,396.14285714285717,20.1,734.6,803.8,761.8,1146.0,1300.2,1193.6035679408483
Vealer Heifer,0-200,Processor,C,2,17,NQ,280.0,308.0,306.3529411764706,NQ,538.5,592.3,589.1,476.0,523.6,520.7999770220588
Vealer Heifer,200-280,Restocker,C,2,8,-1,356.0,356.0,356,6.0,684.6,684.6,684.6,801.0,801.0,801
Vealer Heifer,280-330,Restocker,C,2,20,14,312.0,312.0,312,-26.0,600.0,600.0,600.0,889.2,889.2,889.2
Manufacturing Steer,0-540,Dairy,D,2,8,NQ,210.0,210.0,210,NQ,420.0,420.0,420.0,1134.0,1134.0,1134
Grown Steer,400-500,Feeder,C,2,30,7,290.0,340.0,318.53333333333336,-30.9,557.7,653.8,612.6,1305.0,1615.0,1440.3166666666666
Grown Steer,400-500,Processor,C,2,2,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1406.5,1406.5,1406.5
Grown Steer,500-600,Feeder,C,2,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1590.0,1590.0,1590
Grown Steer,500-600,Processor,C,3,2,-24,320.0,320.0,320,-38.0,592.6,592.6,592.6,1728.0,1824.0,1776
Grown Steer,600-750,Processor,C,4,1,NQ,346.0,346.0,346,NQ,640.7,640.7,640.7,2214.4,2214.4,2214.39990234375
Grown Heifer,0-540,Feeder,C,2,12,-21,290.0,310.0,306.6666666666667,-22.2,557.7,596.2,589.7,1218.0,1317.5,1300.9166666666667
Grown Heifer,0-540,Feeder,C,3,9,-2,318.0,342.0,323.3333333333333,-7.4,611.5,645.3,619.0,1542.3,1846.8,1609.9667426215278
Grown Heifer,0-540,Feeder,D,3,6,-16,280.0,280.0,280,-14.5,549.0,549.0,549.0,1288.0,1288.0,1288
Grown Heifer,0-540,Processor,C,3,2,-33,300.0,310.0,305,-9.3,576.9,584.9,580.9,1550.0,1590.0,1570
Grown Heifer,0-540,Processor,D,3,8,4,265.0,265.0,265,-20.0,519.6,519.6,519.6,1219.0,1219.0,1219
Grown Heifer,540+,Processor,C,3,4,-4,328.0,328.0,328,12.4,618.9,618.9,618.9,1804.0,1804.0,1804
Grown Heifer,540+,Processor,C,4,6,-36,323.0,323.0,323,-2.5,609.4,609.4,609.4,1963.8,1963.8,1963.8400065104167
Cows,400-520,Processor,D,2,53,30,126.0,240.0,194.56603773584905,-91.4,280.0,533.3,432.4,516.6,1164.0,861.8452839401533
Cows,400-520,Processor,D,3,256,178,222.0,275.0,268.484375,-10.8,472.3,572.9,560.9,999.0,1430.0,1328.380874633789
Cows,520+,Processor,C,3,13,1,289.0,295.0,294.53846153846155,-12.8,555.8,567.3,566.4,1734.0,1917.5,1903.3846153846155
Cows,520+,Processor,D,2,3,NQ,240.0,240.0,240,NQ,533.3,533.3,533.3,1272.0,1272.0,1272
Cows,520+,Processor,D,3,45,5,210.0,272.0,257.2888888888889,-21.3,446.8,566.7,538.6,1134.0,1564.0,1421.7055555555555
Cows,520+,Processor,D,4,251,-148,255.0,288.0,280.47808764940237,-14.2,531.3,583.3,565.2,1377.0,1932.0,1719.733662517897
Cows,520+,Processor,D,5,5,-5,255.0,270.0,258,-14.3,509.4,531.3,526.9,1785.0,1971.0,1822.2
Calves,80+,Restocker,C,1,21,NQ,330.0,366.0,352.2857142857143,NQ,634.6,703.8,677.5,330.0,366.0,352.2857142857143
Bulls,0-450,Processor,C,2,4,-18,286.0,286.0,286,13.8,550.0,550.0,550.0,1029.6,1029.6,1029.5999755859375
Bulls,450-600,Processor,C,2,29,NQ,240.0,265.0,261.37931034482756,NQ,444.4,490.7,484.0,1248.0,1484.0,1403.0344827586207
Bulls,600+,Processor,B,2,1,-12,275.0,275.0,275,-13.1,491.1,491.1,491.1,2612.5,2612.5,2612.5
Bulls,600+,Processor,B,3,6,-7,270.0,290.0,277.3333333333333,-9.4,482.1,517.9,495.2,2257.6,2784.0,2442.4500325520835
Bulls,600+,Processor,C,2,14,2,200.0,275.0,251.78571428571428,4.1,370.4,509.3,466.3,1360.0,2325.0,1955.7857142857142
Bulls,600+,Processor,C,3,1,-1,240.0,240.0,240,-30.0,444.4,444.4,444.4,2040.0,2040.0,2040
