Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 20/11/2024
Comparison Date: 13/11/2024
Total Yarding: 674 (-99)
Commentary
"
A modest decline of 100 head saw agents yard 674 cattle. Quality was fair but not up to last weeks excellent standard. There were fair runs of re-stocker weaner types, a few yearlings with around 55 cows penned. Most of the regular buying group were at the rail in a market that saw varied trends throughout.
 
Light weaner steers couldn’t hold onto last weeks frantic pace falling 39c/kg selling from 272c to 386c/kg, medium weights lost even further ground making from 293c to 364c/kg, heavier types over 330kg averaging around 325c/kg. Light re-stocker heifer weaners 20c/kg easier trading from 260c to 302c/kg, medium weights 256c to 282c/kg whilst the best B muscle local trade calves over 330kg held firm selling from 310c to 338c/kg. 
 
Medium and heavy yearling steers all cheaper mostly selling in a range from 265c to 340c/kg. Prime yearling heifers over 400kg to the processors saw gains of 13c/kg making from 290c to 306c/kg. Similar gains for heavy grown steers over 500kg to the exporters 280c to 336c/kg.

Light Cows lost ground 180c to 264c/kg, heavy 3 and 4 scores back 4c to 14c/kg trading between 274c and 282c/kg.

Market Operator Angus Barlow."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Processor,C,2,3,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,799.5,799.5,799.5
Yearling Steer,330-400,Feeder,C,2,12,NQ,265.0,326.0,305.0833333333333,NQ,519.6,626.9,587.5,931.6,1238.8,1118.629170735677
Yearling Steer,330-400,Feeder,C,3,5,NQ,280.0,310.0,286,NQ,538.5,584.9,547.8,994.0,1131.5,1021.5
Yearling Steer,330-400,Restocker,C,2,5,1,288.0,340.0,329.6,41.6,553.8,653.8,633.8,993.6,1190.0,1150.7199951171874
Yearling Steer,330-400,Restocker,C,3,11,8,294.0,294.0,294,NC,565.4,565.4,565.4,999.6,999.6,999.5999644886364
Yearling Steer,400+,Feeder,C,2,4,-54,340.0,340.0,340,-13.1,653.8,653.8,653.8,1530.0,1530.0,1530
