Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,400+,Feeder,C,2,21,NQ,268.0,268.0,268,NQ,515.4,515.4,515.4,1139.0,1139.0,1139
Vealer Steer,0-200,Feeder,E,2,4,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,259.0,259.0,259
Vealer Steer,0-200,Restocker,C,2,14,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,490.2,490.2,490.2000209263393
Vealer Steer,0-200,Restocker,D,2,30,26,240.0,246.0,245,57.5,461.5,473.1,471.2,348.0,467.4,449.1
Vealer Steer,200-280,Feeder,C,2,2,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,663.0,663.0,663
Vealer Steer,200-280,Feeder,D,2,20,NQ,252.0,258.0,255.9,NQ,484.6,496.2,492.1,632.1,667.8,644.5949951171875
Vealer Steer,200-280,Processor,D,2,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,432.0,432.0,432
Vealer Steer,200-280,Restocker,C,2,14,-12,250.0,260.0,254.14285714285714,-55.1,480.8,500.0,488.7,554.4,587.5,567.8642926897321
Vealer Steer,200-280,Restocker,D,2,135,85,150.0,296.0,260.5925925925926,10.0,294.1,569.2,501.4,345.0,720.8,600.5207487883391
Vealer Steer,280-330,Live Export,C,2,1,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,808.3,808.3,808.25
Vealer Steer,330+,Feeder,C,2,3,NQ,286.0,286.0,286,NQ,550.0,550.0,550.0,1058.2,1058.2,1058.199951171875
Vealer Heifer,0-200,Feeder,D,2,5,NQ,165.0,165.0,165,NQ,317.3,317.3,317.3,321.8,321.8,321.75
Vealer Heifer,0-200,Restocker,D,2,92,50,216.0,248.0,239.91304347826087,70.3,415.4,476.9,461.4,374.0,483.6,433.25217072860056
Vealer Heifer,200-280,Feeder,D,2,12,1,165.0,202.0,191.58333333333334,16.7,317.3,388.5,368.4,354.8,498.2,453.40415954589844
Vealer Heifer,200-280,Feeder,E,2,4,NQ,142.0,142.0,142,NQ,273.1,273.1,273.1,305.3,305.3,305.29998779296875
