Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 06/08/2024
Comparison Date: 30/07/2024
Total Yarding: 1740 (-150)
Commentary
"Despite more rain there was only a small reduction in numbers. Young cattle were well supplied along with cows while well finished grown cattle were scarce. The quality of the offering was very mixed and this impacted price change. The usual buyers were in attendance.

The strong demand of recent weeks from restockers for light weight steers was not as evident with market trends being cheaper. The mixed quality impacting price change significantly. Medium weights to restock and feed experienced little but quality related price change. There were very few straight lines in the heavy weight feeders, they sold to a cheaper trend with some quality and breed related price change either way. Lightweight yearling heifers sold to a dearer trend with breed contributing. Restockers seeing a price benefit in comparison to purchasing steers. There were odd dearer sales in an otherwise firm market trend for the medium and heavy weight heifers to feed. Well finished trade yearlings sold to cheaper trends with not as much competition from feedlotters.

There were too few heavy grown steers suitable to processors to quote. Demand for well finished grown heifers was strong with market trends dearer. The cow market failed to reach the heights of last week resulting in cheaper trends, quality change resulting in some positive price change in odd classes."
Yearling Heifer,330-400,Feeder,C,2,119,-109,290.0,367.0,341.34453781512605,-10.3,557.7,705.8,656.4,1060.8,1321.2,1235.7470374868697
Yearling Heifer,330-400,Feeder,C,3,31,-10,330.0,361.0,346.9032258064516,15.8,622.6,681.1,654.5,1224.0,1317.7,1286.8096648185483
Yearling Heifer,330-400,Processor,C,2,4,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,1001.0,1001.0,1001
Yearling Heifer,330-400,Processor,C,3,16,8,308.0,380.0,327.9375,-60.8,586.8,717.0,619.4,1072.9,1349.0,1167.7843627929688
Yearling Heifer,330-400,Restocker,C,2,52,33,320.0,365.0,346.53846153846155,44.9,615.4,701.9,666.4,1111.8,1238.6,1197.9788818359375
Yearling Heifer,330-400,Restocker,C,3,39,NQ,310.0,340.0,334.61538461538464,NQ,596.2,653.8,635.3,1085.0,1360.0,1276.1025641025642
Yearling Heifer,400+,Feeder,C,2,9,-67,280.0,315.0,299.44444444444446,-39.1,538.5,605.8,575.9,1232.0,1307.3,1273.8055555555557
Yearling Heifer,400+,Feeder,C,3,46,31,320.0,339.0,330.80434782608694,-19.6,603.8,639.6,627.8,1365.0,1644.2,1501.719577955163
Yearling Heifer,400+,Processor,C,3,55,34,340.0,378.0,360.2181818181818,4.8,641.5,713.2,679.7,1463.7,1904.0,1581.047265625
Yearling Heifer,400+,Restocker,C,2,3,NQ,331.0,331.0,331,NQ,636.5,636.5,636.5,1390.2,1390.2,1390.1998697916667
Vealer Steer,200-280,Restocker,C,2,7,-50,350.0,350.0,350,-75.1,673.1,673.1,673.1,840.0,840.0,840
Vealer Heifer,200-280,Restocker,C,2,3,-20,280.0,280.0,280,-54.9,538.5,538.5,538.5,658.0,658.0,658
Grown Steer,400-500,Feeder,C,2,9,-8,344.0,369.0,366.22222222222223,-26.7,661.5,709.6,704.3,1586.7,1668.4,1595.7777370876736
Grown Steer,400-500,Processor,C,3,5,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1552.0,1552.0,1552
Grown Steer,500-600,Feeder,C,3,7,-4,366.0,379.0,375.2857142857143,-3.6,677.8,701.9,695.0,1976.4,2008.7,1999.471435546875
Grown Steer,500-600,Processor,C,3,3,-3,278.0,370.0,323.3333333333333,-29.7,514.8,685.2,598.8,1473.4,2109.0,1773.7333577473958
Grown Steer,600-750,Processor,C,3,1,NC,300.0,300.0,300,-60.0,555.6,555.6,555.6,1920.0,1920.0,1920
Grown Heifer,0-540,Feeder,C,3,12,4,366.0,366.0,366,57.8,703.8,703.8,703.8,1372.5,1372.5,1372.5
Grown Heifer,0-540,Feeder,D,3,14,NQ,256.0,293.0,287.7142857142857,NQ,502.0,574.5,564.1,1126.4,1347.8,1316.1714739118304
Grown Heifer,0-540,Processor,C,3,32,6,268.0,364.0,341,15.2,515.4,700.0,654.6,1152.4,1799.2,1560.6312522888184
Grown Heifer,0-540,Processor,D,3,7,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,1288.0,1288.0,1288
Grown Heifer,540+,Processor,C,3,5,-6,328.0,380.0,369.6,27.8,630.8,717.0,699.7,1836.8,2166.0,2100.160009765625
Grown Heifer,540+,Processor,C,4,13,4,328.0,350.0,336.2307692307692,-3.3,618.9,660.4,634.4,1881.0,2486.4,2046.0692232572114
Cows,400-520,Processor,D,2,82,41,180.0,245.0,233.47560975609755,6.5,400.0,544.4,518.8,774.0,1225.0,1107.878048780488
Cows,400-520,Processor,D,3,19,-7,245.0,283.0,268.05263157894734,4.3,521.3,566.0,557.0,1254.0,1372.6,1304.5710834703948
Cows,400-520,Processor,D,4,4,NQ,269.0,269.0,269,NQ,560.4,560.4,560.4,1345.0,1345.0,1345
Cows,400-520,Restocker,D,2,9,-3,178.0,178.0,178,-52.0,395.6,395.6,395.6,783.2,783.2,783.2000325520834
Cows,520+,Processor,D,3,162,94,255.0,313.0,284.71604938271605,7.5,541.7,635.4,590.3,1351.5,2015.0,1630.8722270447531
Cows,520+,Processor,D,4,112,-64,275.0,324.0,304.32142857142856,-3.4,560.0,648.0,617.2,1595.0,2203.2,1950.3499755859375
Cows,520+,Processor,D,5,4,1,295.0,295.0,295,-8.3,614.6,614.6,614.6,2360.0,2360.0,2360
Bulls,600+,Processor,B,2,29,19,230.0,261.0,250.93103448275863,-5.0,410.7,505.9,449.6,1830.0,2296.8,2127.862102640086
Bulls,600+,Processor,B,3,19,11,230.0,248.0,241.31578947368422,-31.3,410.7,442.9,430.9,1886.0,2350.0,2070.589535361842
Bulls,600+,Processor,C,2,1,-19,225.0,225.0,225,-19.2,416.7,416.7,416.7,1800.0,1800.0,1800
Bulls,600+,Processor,D,2,1,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,1224.0,1224.0,1224
