Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 06/08/2024
Comparison Date: 30/07/2024
Total Yarding: 1740 (-150)
Commentary
"Despite more rain there was only a small reduction in numbers. Young cattle were well supplied along with cows while well finished grown cattle were scarce. The quality of the offering was very mixed and this impacted price change. The usual buyers were in attendance.

The strong demand of recent weeks from restockers for light weight steers was not as evident with market trends being cheaper. The mixed quality impacting price change significantly. Medium weights to restock and feed experienced little but quality related price change. There were very few straight lines in the heavy weight feeders, they sold to a cheaper trend with some quality and breed related price change either way. Lightweight yearling heifers sold to a dearer trend with breed contributing. Restockers seeing a price benefit in comparison to purchasing steers. There were odd dearer sales in an otherwise firm market trend for the medium and heavy weight heifers to feed. Well finished trade yearlings sold to cheaper trends with not as much competition from feedlotters.

There were too few heavy grown steers suitable to processors to quote. Demand for well finished grown heifers was strong with market trends dearer. The cow market failed to reach the heights of last week resulting in cheaper trends, quality change resulting in some positive price change in odd classes."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,5,-13,330.0,330.0,330,-50.4,634.6,634.6,634.6,759.0,759.0,759
Yearling Steer,280-330,Restocker,C,2,39,-96,330.0,378.0,358.05128205128204,-47.3,634.6,726.9,688.6,940.5,1228.5,1112.3461538461538
Yearling Steer,330-400,Feeder,C,2,60,-19,340.0,381.0,371.9,4.2,653.8,732.7,715.2,1173.0,1440.2,1325.4741658528646
Yearling Steer,330-400,Processor,C,2,1,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,1406.0,1406.0,1406
Yearling Steer,330-400,Restocker,C,2,88,63,330.0,385.0,375.27272727272725,-1.5,634.6,740.4,721.7,1171.5,1489.8,1382.7107932350852
Yearling Steer,400+,Feeder,C,2,80,-149,318.0,395.0,370.325,-13.6,611.5,759.6,712.2,1303.8,1862.0,1607.6124877929688
Yearling Steer,400+,Feeder,C,3,32,-16,374.0,400.0,396.75,-3.8,692.6,740.7,734.7,1840.0,1870.0,1843.75
Yearling Steer,400+,Processor,C,3,60,43,355.0,392.0,385.28333333333336,-6.3,657.4,725.9,713.5,1732.5,2226.5,1859.49833984375
Yearling Heifer,200-280,Restocker,C,2,31,NQ,312.0,328.0,324.38709677419354,NQ,600.0,630.8,623.8,800.0,902.0,862.348380796371
Yearling Heifer,280-330,Feeder,C,2,14,-20,300.0,300.0,300,-28.8,566.0,576.9,566.8,900.0,900.0,900
Yearling Heifer,280-330,Restocker,C,2,121,75,285.0,384.0,340.6528925619835,29.0,548.1,738.5,655.1,855.0,1171.2,1030.4640528150826
Yearling Heifer,280-330,Restocker,C,3,11,NQ,310.0,344.0,328.54545454545456,NQ,596.2,661.5,631.8,1007.5,1118.0,1067.7727272727273
