Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 04/12/2024
Comparison Date: 27/11/2024
Total Yarding: 3929 (+332)
Commentary
"There was further increase in numbers of 332 head, to 3929 head at CQLX Gracemere cattle sale. Cattle were again sourced from the usual draw areas with several lines on offer in most categories. One more processor operated, along with the return of one feed lot buyer. There were several different restockers also operating. There were quality related increases in most categories from last week, along with improvements in feeder steer and well finished processor cow lines above last sale rates.

Light weight yearling steers, in well bred pens, sold to 423c/kg, averaging 320c to 377c/kg for well-bred lines. Medium and heavy pens reached a top of 419c/kg, to average 357c to 389c/kg for the best-bred lots. Light weight yearling heifers averaged 252c to 281c/kg with sales reaching 320c/kg occasionally. Medium weight pens sold to 335c/kg with averages from 289c to 317c/kg attained.    

Feedlots paid to 420c/kg for their Grown steers, averaging 345c to 386c/kg for the best. A few bullocks sold to processors to average 310c to 327c/kg. The best of the trade heifers averaged 293c to 320c/kg. Feeders paid averages from 260c to 299c/kg for their grown heifers.

The best of the restocker cows made from 227c to 248c/kg, whilst, heavy, four score cows sold to 294c/kg, averaging 282c/kg. Heavy bulls averaged 281c/kg to Livex and 245c/kg to processors. Cows and calves held to sell from $1,160 to $1,500 per unit. 
Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,200-280,Restocker,C,2,60,11,250.0,320.0,280.9,9.4,480.8,615.4,540.2,566.8,844.3,688.6066721598307
Yearling Heifer,200-280,Restocker,D,2,176,101,167.0,299.0,267.625,12.1,321.2,575.0,514.7,434.2,751.4,632.6917696866122
Yearling Heifer,280-330,Feeder,C,2,7,-31,299.0,305.0,303.2857142857143,17.0,575.0,586.5,583.2,945.5,971.8,953
Yearling Heifer,280-330,Feeder,D,2,19,NQ,240.0,277.0,252.78947368421052,NQ,461.5,532.7,486.1,684.0,886.4,756.1815892269736
Yearling Heifer,280-330,Processor,C,2,7,-30,289.0,289.0,289,13.6,555.8,555.8,555.8,838.1,838.1,838.0999581473214
Yearling Heifer,280-330,Processor,D,2,1,-8,263.0,263.0,263,-13.3,505.8,505.8,505.8,841.6,841.6,841.5999755859375
Yearling Heifer,280-330,Restocker,D,2,12,11,291.0,291.0,291,-2.0,559.6,559.6,559.6,887.5,887.5,887.5499674479166
Yearling Heifer,330-400,Feeder,C,2,4,NQ,335.0,335.0,335,NQ,644.2,644.2,644.2,1122.3,1122.3,1122.25
Yearling Heifer,330-400,Feeder,D,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,759.0,759.0,759
Yearling Heifer,330-400,Processor,C,3,4,NQ,317.0,317.0,317,NQ,598.1,598.1,598.1,1109.5,1109.5,1109.5
Vealer Steer,0-200,Restocker,D,2,10,-18,321.0,321.0,321,-45.8,642.0,642.0,642.0,561.8,561.8,561.75
Vealer Steer,200-280,Restocker,C,2,2,NQ,309.0,309.0,309,NQ,594.2,594.2,594.2,621.1,621.1,621.0900268554688
