Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 04/11/2024
Comparison Date: 28/10/2024
Total Yarding: 1274 (-174)
Commentary
"Reasonable numbers were again yarded with a good percentage of the sale consisting of well weighted grown pastoral and local steers and heifers however values eased on them by 10/12c/kg. It was a very mixed quality sale with pastoral cattle filling most of the pens in large lots along with good runs of well-presented local cattle. A large volume of pastoral bulls were on offer and several Live shipping buyers were keeping their values up.  
Vealer steers sold from 280c to 342c and vealer heifers from 120c to 286c/kg.     Plain yearling steers returned 242c to 312c and with more condition up to 380c while yearling heifers started from 188c to 220c and with more weight and finish sold to a top of 334c/kg.
Pastoral steer calves sold well ranging from 240c to 300c and pastoral heifers with weight and frame sold from 140c to 242c while tail end types struggled to attract bids selling from 50c to 130c/kg.
Grown steers made 180c to 280c while grown heifers returned 172c to 260c/kg.  Feeder weight cows eased slightly selling from 92c to 162c/kg. medium cows made 170c to 190c and heavy cows gained 10c to return 190c to 234c/kg.
Pastoral bulls in store condition and out of spec for shipping ranged from 80c to 160c, Shipping bulls from 148c to 268c while slaughter bulls lifted 10c selling from 180c to 230c/kg.
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,3,NQ,242.0,242.0,242,NQ,456.6,456.6,456.6,675.2,675.2,675.1800130208334
Yearling Steer,200-280,Feeder,C,3,2,NQ,284.0,284.0,284,NQ,516.4,516.4,516.4,795.2,795.2,795.2000122070312
Yearling Steer,200-280,Pastoral Cattle,D,2,12,9,242.0,260.0,249.5,57.5,456.6,490.6,470.8,672.8,717.6,691.443359375
Yearling Steer,200-280,Restocker,C,3,8,NQ,338.0,338.0,338,NQ,614.5,614.5,614.5,865.3,865.3,865.280029296875
Yearling Steer,280-330,Feeder,C,3,9,-6,290.0,312.0,304.6666666666667,58.0,527.3,567.3,553.9,907.9,930.9,915.5800238715278
Yearling Steer,280-330,Feeder,D,3,15,NQ,270.0,300.0,294,NQ,509.4,566.0,554.7,796.5,861.0,848.1
Yearling Steer,280-330,Pastoral Cattle,D,2,4,2,240.0,240.0,240,65.0,452.8,452.8,452.8,679.2,679.2,679.2000122070312
Yearling Steer,280-330,Restocker,C,3,6,NQ,380.0,380.0,380,NQ,690.9,690.9,690.9,1246.4,1246.4,1246.4000651041667
Yearling Steer,330-400,Feeder,C,3,28,-54,220.0,372.0,319.14285714285717,-19.8,400.0,676.4,580.3,844.8,1320.6,1148.9214194161552
Yearling Steer,330-400,Restocker,C,3,11,NQ,372.0,378.0,372.54545454545456,NQ,676.4,687.3,677.4,1316.9,1465.7,1354.1127374822443
Yearling Steer,400+,Feeder,C,3,5,-13,220.0,320.0,292,2.3,400.0,581.8,530.9,906.4,1331.2,1238.1599853515625
Yearling Steer,400+,Processor,C,3,3,NC,260.0,280.0,266.6666666666667,4.7,472.7,509.1,484.8,1198.6,1355.2,1250.7999674479167
Yearling Heifer,200-280,Feeder,C,3,7,NQ,288.0,288.0,288,NQ,553.8,553.8,553.8,803.5,803.5,803.52001953125
Yearling Heifer,200-280,Pastoral Cattle,D,2,43,29,80.0,162.0,132,11.4,160.0,324.0,264.0,201.6,418.0,323.3879053869913
Yearling Heifer,200-280,Pastoral Cattle,D,3,9,1,140.0,148.0,145.33333333333334,4.1,269.2,284.6,279.5,324.8,395.2,371.7066582573785
Yearling Heifer,280-330,Feeder,C,3,23,15,188.0,272.0,257.9130434782609,-2.3,361.5,523.1,496.0,532.0,862.2,809.2469535495924
Yearling Heifer,280-330,Pastoral Cattle,D,3,28,21,190.0,236.0,222.85714285714286,30.9,365.4,453.8,428.6,539.6,722.2,659.8856898716518
Yearling Heifer,330-400,Feeder,C,3,18,-23,244.0,268.0,254.66666666666666,3.0,469.2,515.4,489.7,844.2,951.4,891.86669921875
Yearling Heifer,330-400,Pastoral Cattle,D,2,5,NQ,102.0,102.0,102,NQ,204.0,204.0,204.0,349.9,349.9,349.8599853515625
Yearling Heifer,330-400,Pastoral Cattle,D,3,13,NQ,238.0,244.0,242.15384615384616,NQ,457.7,469.2,465.7,844.2,930.6,870.8061711237981
Yearling Heifer,330-400,Processor,C,3,13,11,324.0,334.0,328.61538461538464,86.6,623.1,642.3,632.0,1112.2,1163.2,1139.6492262620193
Yearling Heifer,330-400,Restocker,C,3,5,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1024.8,1024.8,1024.8
Yearling Heifer,400+,Feeder,D,3,3,-10,242.0,242.0,242,30.0,465.4,465.4,465.4,1047.9,1047.9,1047.8600260416667
Yearling Heifer,400+,Processor,C,3,13,11,238.0,240.0,238.46153846153845,-35.5,457.7,461.5,458.6,1013.9,1063.2,1025.2615121694712
Yearling Heifer,400+,Processor,D,3,4,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,931.5,931.5,931.5
Vealer Steer,0-200,Restocker,C,3,8,-3,338.0,338.0,338,12.9,614.5,614.5,614.5,628.7,628.7,628.6799926757812
Vealer Steer,200-280,Feeder,C,3,21,20,280.0,326.0,320.3809523809524,40.4,509.1,592.7,582.5,582.4,863.9,787.5542631603423
Vealer Steer,200-280,Feeder,D,3,1,NQ,272.0,272.0,272,NQ,513.2,513.2,513.2,663.7,663.7,663.6799926757812
Vealer Steer,200-280,Restocker,C,3,19,-41,336.0,342.0,339.7894736842105,-3.6,610.9,621.8,617.8,735.3,793.0,756.5431486430921
Vealer Steer,280-330,Feeder,C,3,6,3,334.0,334.0,334,34.0,607.3,607.3,607.3,1035.4,1035.4,1035.4000651041667
Vealer Heifer,0-200,Pastoral Cattle,D,2,6,-18,58.0,58.0,58,-87.3,116.0,116.0,116.0,111.9,111.9,111.94000244140625
Vealer Heifer,0-200,Restocker,C,3,15,8,180.0,260.0,220.53333333333333,-73.5,327.3,500.0,419.1,295.9,494.0,360.5173360188802
Vealer Heifer,200-280,Feeder,C,2,1,NQ,120.0,120.0,120,NQ,240.0,240.0,240.0,249.6,249.6,249.60000610351562
Vealer Heifer,200-280,Feeder,C,3,3,NQ,228.0,228.0,228,NQ,438.5,438.5,438.5,606.5,606.5,606.47998046875
Vealer Heifer,200-280,Pastoral Cattle,D,2,14,-17,56.0,120.0,106.28571428571429,-50.2,112.0,240.0,212.6,117.0,248.4,220.25142124720983
Vealer Heifer,200-280,Restocker,C,3,16,-9,220.0,280.0,238.75,-12.7,423.1,538.5,459.1,522.6,686.0,579.9874954223633
Vealer Heifer,280-330,Feeder,C,3,6,2,260.0,260.0,260,-2.5,500.0,500.0,500.0,743.6,743.6,743.5999348958334
Vealer Heifer,280-330,Restocker,C,3,2,NQ,144.0,144.0,144,NQ,276.9,276.9,276.9,453.6,453.6,453.6000061035156
Vealer Heifer,330+,Feeder,C,3,7,NQ,286.0,286.0,286,NQ,550.0,550.0,550.0,958.1,958.1,958.0999581473214
Grown Steer,0-400,Feeder,C,3,1,NC,230.0,230.0,230,10.0,418.2,418.2,418.2,903.9,903.9,903.9000244140625
Grown Steer,0-400,Feeder,D,3,1,NQ,180.0,180.0,180,NQ,339.6,339.6,339.6,669.6,669.6,669.5999755859375
Grown Steer,0-400,Live Export,D,3,1,NQ,236.0,236.0,236,NQ,445.3,445.3,445.3,915.7,915.7,915.6799926757812
Grown Steer,0-400,Processor,D,2,9,NQ,212.0,236.0,220,NQ,407.7,453.8,423.1,780.2,856.7,805.6666666666666
Grown Steer,400-500,Feeder,C,3,5,3,222.0,270.0,260.4,10.4,403.6,490.9,473.5,905.8,1328.4,1243.872021484375
Grown Steer,400-500,Feeder,D,3,11,NQ,258.0,280.0,270,NQ,486.8,528.3,509.4,1114.6,1184.4,1152.6546075994318
Grown Steer,400-500,Live Export,D,3,2,-2,250.0,250.0,250,20.0,471.7,471.7,471.7,1022.5,1022.5,1022.5
Grown Steer,400-500,Processor,C,3,4,-22,250.0,280.0,265,-7.3,454.5,509.1,481.8,1206.8,1250.0,1228.4000244140625
Grown Steer,400-500,Processor,D,2,7,NQ,232.0,232.0,232,NQ,446.2,446.2,446.2,1032.4,1032.4,1032.4000418526787
Grown Steer,400-500,Processor,D,3,15,13,200.0,260.0,227.86666666666667,57.9,363.6,490.6,429.0,836.0,1227.2,975.5466634114583
Grown Steer,500-600,Processor,C,3,28,15,120.0,274.0,256.07142857142856,13.0,218.2,498.2,465.6,720.0,1534.4,1399.020751953125
Grown Steer,500-600,Processor,D,3,3,NC,256.0,256.0,256,82.0,483.0,483.0,483.0,1361.9,1361.9,1361.9200846354167
Grown Steer,600-750,Processor,C,3,5,3,240.0,258.0,251.2,9.2,436.4,469.1,456.7,1604.8,1765.0,1669.50400390625
Grown Steer,600-750,Processor,D,3,1,NQ,266.0,266.0,266,NQ,483.6,483.6,483.6,1633.2,1633.2,1633.239990234375
Grown Heifer,0-540,Feeder,C,3,4,-28,240.0,260.0,255,47.4,461.5,500.0,490.4,1081.6,1190.4,1108.7999572753906
Grown Heifer,0-540,Feeder,D,3,4,NQ,234.0,234.0,234,NQ,450.0,450.0,450.0,1008.5,1008.5,1008.5399780273438
Grown Heifer,0-540,Processor,C,3,6,-22,208.0,240.0,229.33333333333334,-32.7,400.0,461.5,441.0,1060.8,1154.4,1109.6800537109375
Grown Heifer,0-540,Processor,D,3,11,-2,172.0,228.0,206.54545454545453,-11.5,344.0,456.0,408.4,565.9,1140.2,883.1854580965909
