Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 14/03/2024
Comparison Date: 29/02/2024
Total Yarding: 1030 (-200)
Commentary
"There was a reduction in supply. An influx of empty females brought on by the pregnancy testing season being in full swing. The quality of the offering was very mixed with few good lines penned. The condition varied greatly with quite a few of the cows down in condition after having reared calves. There were very few weaners penned with upcoming weaner sales holding them back. The regular processors operated however there was reduced restocker and feedlot competition.

That reduced competition combined with a drop in quality saw the weaner steers to restockers sell to a considerably cheaper trend while the heifer portion suffered greater losses. Light weight yearling steers to restockers followed a similar trend. Medium and heavy weight yearling feeder steers while cheaper were a lot less affected than those to restock. There was a quality related positive price change on medium weight yearling heifers however the market trend was generally cheaper with the secondary quality lots greatly affected. The good quality lots held up reasonably well.

Heavy grown steers to process met with weaker demand to sell to a dearer trend of as much as 17c/kg. Grown heifers also sold to cheaper trends. The cow market was substantially cheaper weaker processor demand and an increased supply. The plainer condition cow market was underpinned somewhat by several restocker orders. Heavy bulls sold to a much cheaper trend. There were not many very good sound bulls penned."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,4,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1350.0,1350.0,1350
Grown Heifer,0-540,Processor,D,3,17,NQ,190.0,230.0,211.52941176470588,NQ,372.5,451.0,414.8,855.0,1150.0,999.4117647058823
Grown Heifer,0-540,Processor,D,4,1,NQ,210.0,210.0,210,NQ,411.8,411.8,411.8,1018.5,1018.5,1018.5
Grown Heifer,0-540,Restocker,C,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,770.0,770.0,770
Grown Heifer,0-540,Restocker,D,3,6,5,214.0,252.0,225.5,-20.5,419.6,494.1,442.2,920.2,1108.8,1035.5416666666667
Grown Heifer,540+,Processor,C,3,4,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,1400.0,1400.0,1400
Grown Heifer,540+,Processor,C,4,1,-6,260.0,260.0,260,-15.7,490.6,490.6,490.6,1417.0,1417.0,1417
Grown Heifer,540+,Processor,D,5,1,NQ,201.0,201.0,201,NQ,394.1,394.1,394.1,1206.0,1206.0,1206
Cows,400-520,Feeder,D,3,2,NQ,210.0,210.0,210,NQ,446.8,446.8,446.8,1050.0,1050.0,1050
Cows,400-520,Processor,D,2,8,-6,140.0,200.0,171.5,-26.7,311.1,444.4,381.1,574.0,950.0,789.8999938964844
Cows,400-520,Processor,D,3,58,50,165.0,208.0,196.48275862068965,-25.3,351.1,442.6,418.0,726.0,1040.0,967.3491379310345
Cows,400-520,Restocker,D,2,109,107,168.0,214.0,190.92660550458714,-37.1,373.3,475.6,424.3,722.4,1070.0,877.3926654780677
Cows,400-520,Restocker,D,3,6,2,170.0,198.0,193.33333333333334,-48.7,361.7,421.3,411.3,850.0,950.4,933.6666666666666
Cows,520+,Processor,D,3,36,15,200.0,212.0,205.5,-42.1,425.0,451.1,434.4,1080.0,1248.0,1186.6333414713542
Cows,520+,Processor,D,4,78,20,210.0,231.0,219.78205128205127,-32.7,420.0,464.6,450.5,1176.0,1576.8,1326.44871481871
Cows,520+,Processor,D,5,8,-1,172.0,205.0,195.625,-42.6,358.3,427.7,408.7,1272.8,1400.0,1320.250015258789
Cows,520+,Restocker,D,3,1,NQ,213.0,213.0,213,NQ,443.8,443.8,443.8,1171.5,1171.5,1171.5
Cows,520+,Restocker,D,4,1,NQ,202.0,202.0,202,NQ,420.8,420.8,420.8,1212.0,1212.0,1212
Bulls,0-450,Processor,C,2,2,NQ,180.0,180.0,180,NQ,333.3,333.3,333.3,810.0,810.0,810
Bulls,600+,Processor,B,2,5,-12,220.0,235.0,226.2,-28.7,392.9,419.6,403.9,1650.0,2056.3,1827.410009765625
Bulls,600+,Processor,B,3,1,NQ,230.0,230.0,230,NQ,410.7,410.7,410.7,2415.0,2415.0,2415
Bulls,600+,Processor,C,2,18,6,196.0,231.0,210.88888888888889,-24.6,363.0,427.8,390.5,1240.0,1834.3,1592.8722195095486
Bulls,600+,Processor,D,2,4,NQ,200.0,205.0,203.75,NQ,384.6,394.2,391.8,1435.0,1640.0,1487.5
