Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 16/09/2024
Comparison Date: 09/09/2024
Total Yarding: 1460 (-465)
Commentary
"Numbers were down in a yarding where female cattle once again dominated supply. The quality of the offering was generally good however there were still some secondary quality cattle penned. The condition varied from fair to very good. All the regular buyers were in attendance.

Straight lines of well bred young cattle garnered more support than the mixed breed pens while the plainer quality lots struggled to gain much support. Light weight yearling steers to restockers sold to dearer trends with the lighter end of the classes showing the greatest improvement. Medium weights to restockers also sold to a dearer trend while those to feed suffered from a reduction in average quality. Heavy weight feeder steers saw little but quality related price change. Yearlings heifers up to 280 kg to restockers sold to a dearer trend. The heavier weight classes saw demand weaken with market trends generally much cheaper.

An improved quality penning of heavy grown steers suitable to processors sold to a dearer trend, the price change boosted by that quality improvement.
Well finished grown heifers to process saw a firm to slightly dearer trend while those to feed also saw improvement.  The cow market experienced dearer trend with the increase only moderate. Light weight bulls were significantly cheaper with quality a factor while the heavy weight meat works bulls sold on a firm to slightly dearer market trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Restocker,C,2,6,NQ,314.0,314.0,314,NQ,603.8,603.8,603.8,1350.2,1350.2,1350.199951171875
Grown Steer,500-600,Feeder,C,3,15,-15,332.0,390.0,344.6666666666667,-1.6,614.8,722.2,638.3,1752.4,2106.0,1843.2267252604167
Grown Steer,500-600,Processor,C,3,39,14,343.0,380.0,368.28205128205127,28.4,635.2,678.6,671.0,1989.4,2166.0,2099.1153846153848
Grown Steer,600-750,Processor,C,4,2,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,2310.0,2310.0,2310
Grown Heifer,0-540,Feeder,C,2,66,48,302.0,340.0,326.030303030303,5.4,580.8,653.8,627.0,1253.3,1428.0,1372.7499963008995
Grown Heifer,0-540,Feeder,C,3,20,-63,315.0,343.0,322.7,2.5,605.8,647.2,617.5,1386.0,1513.4,1429.5400024414062
Grown Heifer,0-540,Feeder,C,4,3,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1700.0,1700.0,1700
Grown Heifer,0-540,Processor,C,2,7,5,237.0,285.0,271.2857142857143,-14.7,455.8,548.1,521.7,829.5,1140.0,1051.2857142857142
Grown Heifer,0-540,Processor,C,3,37,-14,309.0,345.0,324.27027027027026,13.3,594.2,650.9,618.3,1359.6,1794.0,1522.0216427364865
Grown Heifer,0-540,Processor,C,4,3,-14,320.0,320.0,320,-3.2,615.4,615.4,615.4,1696.0,1696.0,1696
Grown Heifer,0-540,Processor,D,3,3,NQ,300.0,300.0,300,NQ,588.2,588.2,588.2,1455.0,1455.0,1455
Grown Heifer,0-540,Restocker,C,2,8,5,288.0,288.0,288,NC,553.8,553.8,553.8,777.6,777.6,777.5999755859375
Grown Heifer,540+,Processor,C,4,34,31,330.0,356.0,344.3529411764706,35.4,622.6,671.7,649.7,1881.0,2197.0,2036.741175034467
Cows,0-400,Processor,D,2,4,NQ,244.0,244.0,244,NQ,542.2,542.2,542.2,976.0,976.0,976
Cows,400-520,Processor,D,3,54,-56,275.0,291.0,282.8333333333333,7.1,581.3,608.5,594.1,1353.8,1482.0,1406.7833297164352
Cows,400-520,Restocker,D,2,10,7,272.0,274.0,272.8,32.8,604.4,608.9,606.2,1196.8,1233.0,1211.280029296875
Cows,400-520,Restocker,D,3,6,NQ,259.0,266.0,261.3333333333333,NQ,551.1,566.0,556.0,1256.2,1330.0,1280.7666829427083
Cows,520+,Processor,D,3,37,-52,287.0,308.0,298.5945945945946,13.6,597.9,616.0,612.4,1549.8,1694.0,1623.9837745460304
Cows,520+,Processor,D,4,113,39,288.0,317.0,303.69026548672565,6.2,590.0,634.0,611.3,1584.0,1982.5,1811.8716965396848
Cows,520+,Processor,D,5,7,1,280.0,294.0,282,-15.5,560.0,588.0,564.0,1911.0,2044.0,2025
Bulls,0-450,Processor,C,2,15,-47,202.0,250.0,237.6,-59.8,388.5,480.8,456.9,686.8,950.0,909.7066650390625
Bulls,450-600,Processor,B,2,1,NQ,240.0,240.0,240,NQ,428.6,428.6,428.6,1320.0,1320.0,1320
Bulls,450-600,Processor,C,2,5,-32,230.0,258.0,242,-55.4,442.3,477.8,461.7,1081.0,1496.4,1302.4000244140625
Bulls,600+,Processor,B,2,2,-5,285.0,296.0,290.5,5.9,508.9,528.6,518.7,2365.5,2604.8,2485.1500244140625
Bulls,600+,Processor,B,3,10,-2,255.0,305.0,292.7,4.0,455.4,544.6,522.7,2060.4,2989.0,2368.17998046875
Bulls,600+,Processor,C,2,5,-6,255.0,294.0,270.6,8.8,472.2,544.4,501.1,1815.7,2469.6,1985.4800048828124
