Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,0-200,Restocker,C,2,28,NQ,252.0,252.0,252,NQ,484.6,484.6,484.6,504.0,504.0,504
Vealer Steer,0-200,Restocker,D,2,90,80,142.0,260.0,253.44444444444446,59.4,273.1,500.0,487.4,261.0,455.0,414.03333536783856
Vealer Steer,200-280,Live Export,C,2,15,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,704.0,704.0,704
Vealer Steer,200-280,Restocker,C,2,98,86,228.0,300.0,256.8775510204082,2.9,438.5,576.9,494.6,487.9,660.0,588.4367426658164
Vealer Heifer,0-200,Processor,D,2,1,NQ,155.0,155.0,155,NQ,298.1,298.1,298.1,255.8,255.8,255.75
Vealer Heifer,200-280,Processor,C,2,47,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,389.5,456.0,430.531914893617
Vealer Heifer,200-280,Processor,D,2,9,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,418.0,446.5,443.3333333333333
Vealer Heifer,200-280,Processor,E,2,3,NQ,100.0,100.0,100,NQ,196.1,196.1,196.1,225.0,225.0,225
Vealer Heifer,200-280,Restocker,C,2,44,25,218.0,230.0,227,-6.7,419.2,442.3,436.5,457.8,621.0,514.3363591974431
Vealer Heifer,280-330,Processor,C,2,1,NQ,186.0,186.0,186,NQ,357.7,357.7,357.7,595.2,595.2,595.2000122070312
Manufacturing Steer,0-540,Feeder,D,3,2,-39,226.0,226.0,226,-44.0,426.4,426.4,426.4,1220.4,1220.4,1220.4000244140625
Manufacturing Steer,0-540,Processor,D,2,1,-7,202.0,202.0,202,-49.4,388.5,388.5,388.5,828.2,828.2,828.2000122070312
Manufacturing Steer,0-540,Processor,D,3,47,9,242.0,278.0,271.3191489361702,5.7,456.6,524.5,510.1,1234.2,1407.0,1385.687229886968
Manufacturing Steer,540+,Feeder,D,3,1,NQ,200.0,200.0,200,NQ,377.4,377.4,377.4,1260.0,1260.0,1260
Manufacturing Steer,540+,Feeder,E,2,1,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,986.0,986.0,986
Manufacturing Steer,540+,Processor,C,4,11,9,284.0,286.0,285.6363636363636,2.6,516.4,520.0,519.3,1658.8,1746.6,1674.7636496803977
Manufacturing Steer,540+,Processor,D,3,34,-1,202.0,282.0,271.29411764705884,3.3,381.1,522.2,502.8,1100.9,1651.2,1552.2293772977941
Manufacturing Steer,540+,Processor,D,4,16,15,274.0,284.0,279.875,-6.1,507.4,516.4,513.5,1493.3,1888.6,1774.2062530517578
Grown Steer,0-400,Live Export,C,2,3,NQ,274.0,274.0,274,NQ,526.9,526.9,526.9,1096.0,1096.0,1096
Grown Steer,0-400,Live Export,D,2,43,34,262.0,280.0,274.9767441860465,47.0,503.8,538.5,528.8,903.9,1036.0,987.4139716569767
Grown Steer,0-400,Processor,D,3,3,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,890.6,890.6,890.5999348958334
Grown Steer,0-400,Processor,E,2,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,532.5,532.5,532.5
Grown Steer,0-400,Restocker,D,1,1,NQ,120.0,120.0,120,NQ,235.3,235.3,235.3,384.0,384.0,384
Grown Steer,0-400,Restocker,D,2,2,1,170.0,170.0,170,90.0,326.9,326.9,326.9,552.5,552.5,552.5
Grown Steer,400-500,Feeder,C,2,3,-13,256.0,256.0,256,-8.9,492.3,492.3,492.3,1113.6,1113.6,1113.5999348958333
Grown Steer,400-500,Feeder,C,3,26,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,1190.0,1190.0,1190
Grown Steer,400-500,Feeder,D,2,20,1,218.0,260.0,248.6,-20.1,419.2,500.0,478.1,959.2,1131.0,1078.1900024414062
Grown Steer,400-500,Feeder,E,2,1,NQ,136.0,136.0,136,NQ,261.5,261.5,261.5,571.2,571.2,571.2000122070312
Grown Steer,400-500,Live Export,C,3,2,NQ,268.0,268.0,268,NQ,505.7,505.7,505.7,1246.2,1246.2,1246.199951171875
Grown Steer,400-500,Live Export,D,3,1,NQ,262.0,262.0,262,NQ,494.3,494.3,494.3,1257.6,1257.6,1257.5999755859375
Grown Steer,400-500,Processor,C,2,3,NQ,250.0,254.0,251.33333333333334,NQ,479.2,480.8,480.3,1092.2,1162.5,1139.066650390625
Grown Steer,400-500,Processor,D,2,14,2,216.0,244.0,242,-10.0,415.4,469.2,465.4,874.8,1024.8,1008.857199532645
Grown Steer,400-500,Processor,D,3,37,19,258.0,278.0,267.35135135135135,10.2,486.8,526.9,507.4,1191.9,1334.4,1247.7081661739865
Grown Heifer,0-540,Processor,C,2,20,NQ,216.0,252.0,232.8,NQ,415.4,484.6,448.1,865.8,1033.2,946.8449737548829
Grown Heifer,0-540,Processor,C,3,37,4,240.0,271.0,264.64864864864865,17.1,461.5,519.2,501.2,852.0,1382.1,1267.9783572635135
Grown Heifer,0-540,Processor,D,2,53,1,150.0,224.0,178.83018867924528,-31.4,300.0,439.2,351.0,517.5,817.6,639.3603699882076
Grown Heifer,0-540,Processor,D,3,7,-44,190.0,190.0,190,-61.4,380.0,380.0,380.0,750.5,750.5,750.5
Grown Heifer,0-540,Processor,E,2,2,NQ,210.0,210.0,210,NQ,456.5,456.5,456.5,714.0,714.0,714
Grown Heifer,0-540,Restocker,D,2,1,NQ,126.0,126.0,126,NQ,242.3,242.3,242.3,378.0,378.0,378
Cows,0-400,Live Export,C,2,4,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,864.0,864.0,864
Cows,0-400,Processor,D,1,30,-18,100.0,210.0,146.66666666666666,23.0,222.2,456.5,325.6,330.0,777.0,510.98333333333335
Cows,0-400,Processor,D,2,152,-45,100.0,222.0,189.38815789473685,3.8,222.2,473.9,407.2,325.0,876.9,701.0434184827303
Cows,0-400,Processor,D,3,67,49,185.0,234.0,216.59701492537314,1.3,385.4,497.9,459.2,730.8,936.0,844.28955078125
Cows,0-400,Processor,E,1,2,NQ,80.0,80.0,80,NQ,181.8,181.8,181.8,280.0,280.0,280
Cows,0-400,Processor,E,2,3,-3,120.0,120.0,120,26.7,260.9,260.9,260.9,402.0,402.0,402
Cows,0-400,Restocker,D,1,6,5,68.0,105.0,74.16666666666667,54.2,147.8,233.3,162.1,265.2,367.5,282.25
Cows,400-520,Feeder,D,2,2,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,1176.0,1224.0,1200
Cows,400-520,Processor,C,2,16,NQ,220.0,230.0,229.375,NQ,468.1,489.4,488.0,943.0,957.0,943.875
Cows,400-520,Processor,C,3,69,-6,228.0,268.0,252.6086956521739,2.7,465.3,536.0,500.9,1003.2,1353.4,1231.4406181003737
Cows,400-520,Processor,C,4,55,NQ,218.0,264.0,249.0909090909091,NQ,436.0,528.0,497.7,1133.6,1306.8,1250.2000133167614
Cows,400-520,Processor,D,2,14,-11,166.0,210.0,177.71428571428572,-16.4,360.9,447.8,385.6,672.3,903.0,723.4928501674107
Cows,400-520,Processor,D,3,354,93,185.0,262.0,240.3418079096045,6.1,385.4,537.5,498.2,749.3,1244.5,1064.2950601523878
Cows,400-520,Processor,D,4,1,NQ,260.0,260.0,260,NQ,509.8,509.8,509.8,1352.0,1352.0,1352
Cows,520+,Live Export,D,3,1,NQ,260.0,260.0,260,NQ,509.8,509.8,509.8,1430.0,1430.0,1430
Cows,520+,Processor,C,3,64,NQ,246.0,274.0,260.46875,NQ,482.4,548.0,511.2,1303.8,1456.0,1413.4875183105469
