Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: SELX Yass
Report Date: 28/11/2024
Comparison Date: 21/11/2024
Total Yarding: 898 (+184)
Commentary
"Numbers increased for a total yarding of 898 mixed quality cattle. There were a few good pens of finished cattle suiting the processors, along with large numbers of plainer types. There were a few good runs of heavy grown cattle, and there were 180cows. All the usual buyers were operating. Finished cattle were a few cents dearer, plainer types sold to softer trends.

Yearlings to process were a few cents better, selling from 254c to 335c/kg. Feeder steers slipped 4c, making from 258c to 332c, and heifers to feed were also cheaper, averaging 270c/kg. Young cattle returning to the paddock were cheaper overall, with the steers ranging from 212c to 382c, and the heifers sold from 120c to 315c/kg.

The better quality heavy grown steers were up to 6c dearer, making from 292c to 331c, and the heifer portion lifted 5c, selling from 278c to 335c/kg. Cows were up to 3c dearer, with 2 and 3 scores ranging from 180c to 262c, and heavy prime cows sold from 268c to 292c/kg. Heavy bulls to process reached 300c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,1,23,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,490.0,490.0,490
Yearling Steer,280-330,Restocker,C,2,19,-11,280.0,320.0,290.5263157894737,-32.5,509.1,581.8,528.2,910.0,1040.0,944.2105263157895
Yearling Steer,330-400,Feeder,C,2,41,-13,280.0,325.0,312.4146341463415,-3.9,518.5,590.9,568.7,1036.0,1200.8,1149.8463521817835
Yearling Steer,330-400,Processor,C,2,11,NQ,295.0,335.0,313.1818181818182,NQ,536.4,598.2,564.5,1150.5,1279.7,1209.2272727272727
Yearling Steer,330-400,Processor,C,3,6,NQ,312.0,312.0,312,NQ,567.3,567.3,567.3,1216.8,1216.8,1216.800048828125
Yearling Steer,330-400,Restocker,C,2,5,-8,330.0,330.0,330,24.0,600.0,600.0,600.0,1138.5,1138.5,1138.5
