Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 24/02/2025
Comparison Date: 
Total Yarding: 2709 (NQ)
Commentary
"Tamworth penned 2709 good quality cattle an increase of 610. Heavy well finished cows topped at 325c/kg however the overall average for the heavy cows was only 8c to 10c/kg above last week’s result. The regular buyers attended to a market that saw most feeder types slightly cheaper on the last sale solid competition.

Pens of weaner steers 345c to 365c/kg to backgrounders with the heifer portion lifting slightly 302c to 330c/kg. Light yearling steers to background sold to 378c/kg while the feeders slipped 5c/kg. Medium feeders were firm to only slightly dearer while similar background steers sold to 384c/kg. Heavy yearling steers to feed lifted 14c/kg and heavy processing steers made to 371c/kg. Light heifers to restock were cheaper. Medium weight feeder heifers lifted 19c/kg and heavy processors marginally cheaper selling to 318c/kg.

Heavy grown heifers also cheaper selling 284c to 315c/kg. Restocker cows made to 278c/kg and medium weights to process 172c to 264c/kg. Very heavy cows 300c to 325c/kg and three score cows slightly dearer 250c to 300c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,36,NQ,324.0,362.0,345.72222222222223,NQ,600.0,670.4,640.2,874.8,977.4,931.4499986436632
Yearling Steer,200-280,Restocker,C,2,11,NQ,325.0,340.0,338.6363636363636,NQ,601.9,629.6,627.1,816.0,918.0,886.5
Yearling Steer,280-330,Feeder,C,2,26,NQ,310.0,397.0,349.5,NQ,574.1,735.2,647.2,984.0,1191.0,1090.1923076923076
Yearling Steer,280-330,Restocker,C,2,33,9,316.0,378.0,357.8181818181818,-3.7,585.2,700.0,662.6,1041.6,1152.0,1132.1090938683712
Yearling Steer,330-400,Feeder,C,2,88,33,330.0,384.0,361,-18.8,611.1,711.1,668.5,1142.4,1448.0,1321.8727458607066
Yearling Steer,330-400,Processor,C,3,4,NQ,365.0,365.0,365,NQ,675.9,675.9,675.9,1460.0,1460.0,1460
Yearling Steer,330-400,Restocker,C,2,10,-24,304.0,380.0,372.4,-0.2,563.0,703.7,689.6,1155.2,1406.0,1380.9199951171875
Yearling Steer,400+,Feeder,C,2,44,-224,355.0,380.0,365.9318181818182,-16.9,657.4,703.7,677.7,1491.0,2117.0,1835.713623046875
Yearling Steer,400+,Processor,C,3,13,7,336.0,371.0,348.46153846153845,-15.5,634.0,687.0,651.6,1478.4,2226.0,1801.2922926682693
Yearling Heifer,200-280,Processor,C,2,12,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,858.0,858.0,858
Yearling Heifer,200-280,Restocker,C,2,18,NQ,290.0,304.0,298.55555555555554,NQ,547.2,573.6,563.3,699.2,812.0,743.0666775173611
Yearling Heifer,280-330,Feeder,C,2,7,-10,288.0,312.0,294.85714285714283,-9.6,543.4,588.7,556.3,864.0,998.4,902.4000069754464
Yearling Heifer,280-330,Processor,C,2,2,NQ,275.0,275.0,275,NQ,518.9,518.9,518.9,907.5,907.5,907.5
Yearling Heifer,280-330,Restocker,C,2,23,-22,242.0,304.0,293.2173913043478,-21.4,456.6,573.6,553.2,726.0,942.4,904.7652004076087
Yearling Heifer,330-400,Feeder,C,2,48,-39,299.0,375.0,319.7916666666667,6.1,564.2,707.5,603.4,1098.0,1500.0,1170.5041605631511
Yearling Heifer,330-400,Processor,C,2,8,NQ,302.0,330.0,306.5,NQ,569.8,622.6,578.3,1026.8,1147.0,1053.7250366210938
Yearling Heifer,330-400,Restocker,C,2,13,-61,300.0,320.0,305.2307692307692,-1.7,566.0,603.8,575.9,1110.0,1280.0,1127.138446514423
Yearling Heifer,400+,Feeder,C,2,53,-11,290.0,316.0,311.9056603773585,-2.3,547.2,596.2,588.5,1218.0,1570.0,1421.2717054834907
Yearling Heifer,400+,Processor,C,3,4,-3,302.0,318.0,310,-8.0,569.8,600.0,584.9,1510.0,1590.0,1550
Yearling Heifer,400+,Processor,D,3,2,NQ,293.0,293.0,293,NQ,610.4,610.4,610.4,1699.4,1699.4,1699.4000244140625
Vealer Steer,0-200,Restocker,C,2,4,NQ,360.0,360.0,360,NQ,666.7,666.7,666.7,648.0,648.0,648
Vealer Steer,200-280,Restocker,C,2,64,63,345.0,365.0,354.546875,24.5,638.9,675.9,656.6,781.0,953.1,897.8578186035156
Vealer Steer,280-330,Feeder,C,2,9,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1020.0,1020.0,1020
Vealer Steer,330+,Restocker,C,2,4,-19,358.0,358.0,358,-59.1,663.0,663.0,663.0,1432.0,1432.0,1432
Vealer Heifer,0-200,Restocker,C,2,5,NQ,308.0,308.0,308,NQ,581.1,581.1,581.1,523.6,523.6,523.6
Vealer Heifer,200-280,Processor,C,2,37,NQ,302.0,330.0,326.97297297297297,NQ,569.8,622.6,616.9,755.0,759.0,758.5675675675676
