Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 19/11/2024
Comparison Date: 
Total Yarding: 2200 (NQ)
Commentary
"The numbers jumped as both greater through put of both trade and export cattle were offered. Although there were scattered storms and some significant rainfall in some areas over the weekend, it failed to holt the turn off of unfinished, mixed breed yearlings and vealers. There was the odd pen of supplementary fed yearlings but processes struggled to fill orders. Prices across all grades of stock took on a cheaper trend. There were fewer export buyers and good quality lines of grown steers and bullocks met falls of 15c to 20c/kg. The cows also declined by 5c to 18c/kg. 

The vealers ranged from 280c to a top of 380c/kg. The plainer yearling steers attracted interest from numerous local feeders and store buyers. The yearling steers C muscled made from 285c to 365c/kg. The yearling heifer portion made from 250c to 345c/kg. A large majority of the trade went back to processors, feedlotters or store buyers. 

The medium weighted grown steers made from 282 to 337c/kg. The 500 to 600kg steers C muscled made from 263c to 345c/kg, to averaged 313c/kg. The bullocks over 600kg lwt made from 312c to 339c/kg. The dairy cows ranged from 180c to 258c/kg. The bulk of the beef cows made from 262 to 285c/kg, while the dairy portion ranged from 180c to 258c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,330+,Processor,B,2,1,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,1463.0,1463.0,1463
Vealer Steer,330+,Processor,C,2,6,4,325.0,360.0,345,25.0,601.9,666.7,643.0,1137.5,1332.0,1249
Vealer Steer,330+,Processor,C,3,12,NQ,345.0,345.0,345,NQ,650.9,650.9,650.9,1224.8,1224.8,1224.75
Vealer Heifer,200-280,Restocker,C,1,18,NQ,284.0,284.0,284,NQ,546.2,546.2,546.2,781.0,781.0,781
Vealer Heifer,280-330,Feeder,C,3,34,NQ,305.0,305.0,305,NQ,575.5,575.5,575.5,915.0,915.0,915
Vealer Heifer,280-330,Processor,C,2,4,NQ,294.0,300.0,297,NQ,554.7,566.0,560.4,867.3,885.0,876.1499938964844
Vealer Heifer,280-330,Processor,C,3,14,NQ,323.0,323.0,323,NQ,609.4,609.4,609.4,1065.9,1065.9,1065.9000418526787
Vealer Heifer,330+,Processor,C,3,21,18,312.0,355.0,333.95238095238096,-16.0,588.7,669.8,630.1,1076.4,1224.8,1150.578578404018
Grown Steer,0-400,Feeder,C,1,18,NQ,299.0,299.0,299,NQ,586.3,586.3,586.3,1121.3,1121.3,1121.25
Grown Steer,400-500,Feeder,C,2,15,NQ,280.0,310.0,300,NQ,538.5,596.2,576.9,1302.0,1395.0,1364
Grown Steer,400-500,Feeder,C,3,40,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,1485.0,1485.0,1485
Grown Steer,400-500,Feeder,D,2,9,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,1192.5,1192.5,1192.5
Grown Steer,400-500,Processor,C,1,5,NC,290.0,290.0,290,-40.0,557.7,557.7,557.7,1261.5,1261.5,1261.5
Grown Steer,400-500,Processor,C,2,19,NQ,282.0,310.0,291.4736842105263,NQ,542.3,584.9,557.6,1305.0,1503.5,1373.578947368421
Grown Steer,400-500,Processor,C,3,28,17,320.0,337.0,326.07142857142856,4.1,603.8,624.1,611.0,1424.0,1584.0,1514.482142857143
Grown Steer,500-600,Feeder,C,2,5,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1813.5,1813.5,1813.5
Grown Steer,500-600,Processor,C,2,12,NQ,263.0,310.0,290.4166666666667,NQ,505.8,584.9,551.9,1433.3,1689.5,1582.7708333333333
Grown Steer,500-600,Processor,C,3,137,NQ,290.0,335.0,313.7299270072993,NQ,547.2,620.4,589.3,1690.2,1942.2,1791.2616902372263
Grown Steer,500-600,Processor,C,4,62,32,310.0,345.0,323.7903225806452,-19.7,584.9,627.3,601.8,1813.5,2035.5,1894.5483870967741
Grown Steer,500-600,Processor,D,3,22,NQ,294.0,294.0,294,NQ,565.4,565.4,565.4,1719.9,1719.9,1719.9000355113637
Grown Steer,600-750,Processor,C,3,23,3,312.0,320.0,316.5217391304348,-15.0,588.7,603.8,597.2,2012.4,2064.0,2041.5652173913043
Grown Steer,600-750,Processor,C,4,31,-6,322.0,339.0,330.03225806451616,-15.5,596.3,627.8,611.2,2012.5,2210.0,2132.9790826612902
Grown Heifer,0-540,Processor,C,3,22,14,304.0,312.0,306.6818181818182,-19.6,573.6,588.7,580.2,1419.6,1479.3,1457.6250443892045
Grown Heifer,0-540,Processor,D,2,26,11,240.0,280.0,260,-12.0,461.5,538.5,500.0,1116.0,1162.0,1147.3076923076924
Grown Heifer,0-540,Processor,D,3,10,3,285.0,290.0,286.5,-15.6,547.2,548.1,547.8,1268.3,1319.5,1283.625
Grown Heifer,0-540,Restocker,D,1,2,NQ,260.0,260.0,260,NQ,553.2,553.2,553.2,1170.0,1170.0,1170
Grown Heifer,540+,Processor,C,4,5,-5,320.0,320.0,320,-2.0,592.6,592.6,592.6,1840.0,1840.0,1840
Grown Heifer,540+,Processor,D,2,54,NQ,250.0,254.0,252.66666666666666,NQ,490.2,498.0,495.4,1362.5,1384.3,1377.0333478009259
Grown Heifer,540+,Processor,D,3,13,1,260.0,285.0,269.61538461538464,100.6,500.0,548.1,518.5,1417.0,1553.3,1469.4038461538462
Cows,400-520,Dairy,D,1,14,-4,205.0,205.0,205,6.7,476.7,476.7,476.7,994.3,994.3,994.25
