Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 05/03/2025
Comparison Date: 26/02/2025
Total Yarding: 3808 (-1557)
Commentary
"The forecast of the coming cyclone resulted in numbers at Dalby reducing by 1,557 head to 3,808 head which included 605 from far western QLD and 147 from NSW with the balance from the local supply area. All the regular buyers attended with reduced rates for all the export lines resulting in bulls,cows and bullocks back from 5c to 20c/kg. Heavy feeder steers followed suit dropping by 10c/kg with heavy feeder heifers going against the trend selling 4c/kg better.
						
Light weight yearling steers to restockers sold to 480c/kg. Yearling steers over 200kg made 458c to average 406c/kg. Yearling steers over 280kg to background made 408c to average 382c/kg. Yearling steers to feed for the domestic market sold to 400c/kg. Heavy yearling steers to feed sold to 380c and averaged from 343c to 354c/kg. Light weight yearling heifers to background made 312c to average 301c/kg. Medium weight yearling heifers to feed sold to 332c and averaged 304c/kg. Heavy yearling heifers to feed made 358c to average from 305c to 319c/kg.

Grown steers to feed made 330c to average 310c/kg. Bullocks to processors averaged 336c and sold to 342c/kg. Grown heifers to feed sold to 313c with those to processors at 328c to average 308c/kg. Light weight score 2 cows to processors made 265c to average 247c/kg. Score 3 heavy cows made 285c to average 270c with the best heavy cows topping at 290c to average 279c/kg. Light weight bulls to restockers made 338c to average 316c/kg.Heavy bulls to processors made 303c to average 279c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,12,NQ,480.0,480.0,480,NQ,888.9,888.9,888.9,936.0,936.0,936
Yearling Steer,200-280,Restocker,C,2,137,-30,320.0,458.0,406.3649635036496,-3.7,592.6,848.1,752.5,816.0,1232.0,1104.4905016822536
Yearling Steer,280-330,Feeder,C,2,8,4,298.0,298.0,298,-48.0,551.9,551.9,551.9,980.4,980.4,980.4199829101562
Yearling Steer,280-330,Restocker,C,2,108,-85,343.0,408.0,381.7037037037037,-15.2,635.2,755.6,706.9,977.5,1326.0,1127.0926038953994
Yearling Steer,280-330,Restocker,D,2,5,NQ,348.0,348.0,348,NQ,644.4,644.4,644.4,991.8,991.8,991.8
Yearling Steer,330-400,Feeder,C,2,212,83,308.0,400.0,361.64150943396226,-3.1,570.4,740.7,669.7,1145.7,1501.0,1347.4503300504864
Yearling Steer,330-400,Feeder,D,2,2,-4,263.0,263.0,263,-23.0,487.0,487.0,487.0,1012.5,1012.5,1012.5499877929688
