Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 29/08/2024
Comparison Date: 15/08/2024
Total Yarding: 990 (+405)
Commentary
"The numbers almost doubled as access to yards dries out. The quality of the offering was very mixed with some good lines of quality cattle to suit restockers and feeders along with plainer lots. The condition of the offering showed a great variation with some very well finished grown cattle to suit processors as well as a run of plain quality light conditioned manufacturing steers. The usual processors were in attendance as were the usual restocker and feedlot orders.

Light weight steers were keenly sought by restockers heading into what looks to be an outstanding season. Both the weaners and the yearlings sold to dearer trends. The few medium weights also attracted strong competition from restockers and feedlotters to sell to a dearer trend also. Heavy weight feeder steers sold to a cheaper trend with some breed related price change also. Light and medium weight yearling heifers sold to dearer trends with some well bred heifers in forward condition presented.

The manufacturing steers sold strongly in comparison to the well finished good quality lines. There is no like for like comparison available from the last sale. Feeder steers with 2 or more teeth attracted strong demand despite a large number in the light weight class. Well finished, good quality heavy grown steers saw processor competition very strong with a much dearer market trend the result. That strong processor demand carried into the grown heifers and cows with market trends also dearer. The bull market was firm to slightly dearer taking quality into account."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,C,3,5,4,333.0,370.0,362.6,82.6,616.7,685.2,671.5,1931.4,2035.0,2014.2800048828126
Grown Steer,600-750,Processor,C,4,23,22,352.0,372.0,365.1304347826087,45.1,651.9,688.9,676.2,2336.0,2604.8,2413.878311820652
Grown Heifer,0-540,Feeder,C,2,4,NQ,308.0,340.0,331.5,NQ,592.3,653.8,637.5,1293.6,1605.5,1455.7749938964844
Grown Heifer,0-540,Feeder,C,3,12,NQ,323.0,368.0,353,NQ,609.4,694.3,666.0,1388.9,1784.8,1652.8333740234375
Grown Heifer,0-540,Processor,C,3,22,8,306.0,330.0,315.3636363636364,15.5,577.4,626.9,602.3,1178.1,1600.0,1436.1681795987215
Grown Heifer,0-540,Processor,C,4,2,NQ,325.0,350.0,337.5,NQ,613.2,660.4,636.8,1755.0,1890.0,1822.5
Grown Heifer,0-540,Processor,D,2,9,NQ,226.0,257.0,243.22222222222223,NQ,452.0,514.0,486.4,632.8,848.1,752.4111056857639
Grown Heifer,0-540,Processor,D,3,1,-8,311.0,311.0,311,12.0,609.8,609.8,609.8,1508.3,1508.3,1508.3499755859375
Grown Heifer,0-540,Restocker,C,2,2,NC,270.0,270.0,270,-24.0,519.2,519.2,519.2,891.0,891.0,891
Grown Heifer,540+,Feeder,C,4,3,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,1925.0,1925.0,1925
Grown Heifer,540+,Processor,C,4,4,1,352.0,352.0,352,34.7,651.9,651.9,651.9,2393.6,2393.6,2393.60009765625
Cows,400-520,Processor,D,2,33,21,220.0,276.0,253.15151515151516,15.7,488.9,587.2,558.6,946.0,1297.2,1135.1696851325758
Cows,400-520,Processor,D,3,29,11,282.0,304.0,296.9655172413793,21.7,587.5,633.3,620.9,1377.1,1580.8,1465.3103574555496
Cows,520+,Processor,D,3,22,10,298.0,311.0,306.5,26.1,596.0,622.0,613.0,1616.5,1788.0,1703.7863547585227
Cows,520+,Processor,D,4,33,2,288.0,325.0,316.2121212121212,8.5,600.0,666.7,643.4,1866.0,2177.5,2052.951515891335
Cows,520+,Processor,D,5,1,-4,310.0,310.0,310,9.6,645.8,645.8,645.8,1984.0,1984.0,1984
Bulls,0-450,Processor,C,2,11,NQ,256.0,342.0,314.72727272727275,NQ,492.3,657.7,605.2,769.5,1223.2,902.9181685014205
Bulls,450-600,Processor,C,2,5,NQ,276.0,290.0,285.2,NQ,518.5,537.0,532.1,1338.6,1450.0,1417.7199951171874
Bulls,450-600,Processor,C,3,3,NQ,300.0,300.0,300,NQ,535.7,535.7,535.7,1620.0,1620.0,1620
Bulls,600+,Processor,B,2,3,-1,252.0,294.0,266,-25.0,450.0,525.0,475.0,1852.2,2142.0,2045.3999837239583
Bulls,600+,Processor,B,3,1,-6,300.0,300.0,300,13.9,535.7,535.7,535.7,2520.0,2520.0,2520
Bulls,600+,Processor,C,2,12,1,250.0,294.0,283.3333333333333,28.5,463.0,544.4,524.7,1852.2,2264.0,2018.8250020345051
Bulls,600+,Processor,C,3,2,NQ,302.0,302.0,302,NQ,539.3,539.3,539.3,1872.4,1872.4,1872.4000244140625
Bulls,600+,Processor,D,2,5,-2,204.0,212.0,205.6,-2.8,392.3,407.7,395.4,1484.0,1509.6,1504.47998046875
