Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 30/05/2024
Comparison Date: 16/05/2024
Total Yarding: 460 (-617)
Commentary
"There were approximately 410 export and 50 young cattle penned representing a decrease of 620 head from the sale of a fortnight ago. Quality was limited with cows representing more than half of the sale. Young cattle were in short supply and were mostly swept up by restockers. Bullocks lifted 10c/kg. Heavy grown heifers eased 14c/kg. Cows gave back 10c to 25c/kg. Heavy bulls lost 15c/kg. 

A handful of vealers made 330c/kg. Yearling heifers to restockers averaged 269c/kg. Grown steers and bullocks made between 295c and 330c/kg. Manufacturing steers sold between 230c and 300c/kg. Heavy grown heifers with finish made from 260c to 275c/kg. Most light and medium weight cows sold from 91c to 203c/kg. Heavy weight cows made mostly between 160c and 251c/kg. Heavy bulls sold between 180c and 245c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Feeder,D,1,11,-5,208.0,208.0,208,-13.0,452.2,452.2,452.2,1179.4,1179.4,1179.3599964488637
Cows,520+,Processor,C,3,1,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,1787.5,1787.5,1787.5
Cows,520+,Processor,D,1,19,-52,165.0,179.0,172.42105263157896,-31.6,358.7,389.1,374.8,899.3,1008.9,960.7236906352796
Cows,520+,Processor,D,2,30,-57,182.0,224.0,207.9,-26.6,379.2,462.5,433.6,1049.1,1467.2,1224.7250040690103
Cows,520+,Processor,D,3,25,-41,220.0,241.0,227.64,-34.8,444.0,476.0,456.7,1309.8,1658.8,1443.2987841796876
Cows,520+,Processor,D,4,26,-37,228.0,251.0,240.1153846153846,-27.0,456.0,482.7,473.6,1316.0,1844.8,1534.510000375601
Cows,520+,Processor,D,5,5,4,190.0,233.0,217.6,-37.4,380.0,466.0,435.2,1375.5,1975.8,1680.284033203125
Cows,520+,Processor,E,1,13,-1,165.0,165.0,165,-7.5,392.9,392.9,392.9,864.6,864.6,864.5999849759615
Cows,520+,Restocker,E,1,1,NQ,177.0,177.0,177,NQ,402.3,402.3,402.3,1070.8,1070.8,1070.8499755859375
Bulls,0-450,Dairy,D,2,1,NQ,164.0,164.0,164,NQ,341.7,341.7,341.7,664.2,664.2,664.2000122070312
Bulls,450-600,Dairy,D,1,2,1,154.0,154.0,154,-1.0,334.8,334.8,334.8,770.0,770.0,770
Bulls,450-600,Dairy,E,1,1,NQ,140.0,140.0,140,NQ,311.1,311.1,311.1,742.0,742.0,742
Bulls,450-600,Feeder,C,2,1,NQ,180.0,180.0,180,NQ,333.3,333.3,333.3,837.0,837.0,837
Bulls,600+,Dairy,D,1,1,NQ,170.0,170.0,170,NQ,354.2,354.2,354.2,1062.5,1062.5,1062.5
Bulls,600+,Dairy,D,2,1,-1,210.0,210.0,210,-12.5,396.2,396.2,396.2,1942.5,1942.5,1942.5
Bulls,600+,Dairy,E,1,1,NQ,161.0,161.0,161,NQ,357.8,357.8,357.8,998.2,998.2,998.2000122070312
Bulls,600+,Processor,C,1,3,NC,190.0,203.0,195,-17.3,351.9,383.0,368.0,1238.4,1368.0,1298.4833577473958
Bulls,600+,Processor,C,2,6,-1,209.0,235.0,220.33333333333334,-13.5,383.9,419.6,396.9,1316.7,2326.5,1923.5500081380208
Bulls,600+,Processor,C,3,1,-1,245.0,245.0,245,6.5,437.5,437.5,437.5,2413.3,2413.3,2413.25
Bulls,600+,Processor,D,2,1,NC,180.0,180.0,180,-47.0,339.6,339.6,339.6,1143.0,1143.0,1143
