Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 25/03/2025
Comparison Date: 18/03/2025
Total Yarding: 2788 (-254)
Commentary
"There were approximately 2440 export and 350 young cattle penned representing a decrease of 250 head week-on-week. The usual buying group was present and operating in a dearer market. Quality declined with more secondary cattle and a large proportion of cows. Young cattle lifted up to 30c/kg with processors competing for finished lots and feedlots and graziers working to secure suitable lines. Grown steers to feed lifted 10c/kg while bullocks lifted 4c/kg. Manufacturing steers sold firm to 7c/kg dearer. Cows lifted 5c to 15c/kg. Heavy bulls held firm. 

Vealers sold from 300c to 388c/kg. Yearling trade steers made between 336c and 422c/kg. Yearling heifers to the trade sold between 330c and 388c/kg. Grown steers made from 350c to 404c/kg. Bullocks sold from 372c to 418c/kg. 

Heavy Friesian manufacturing steers made between 268c and 356c with the crossbred portion between 311c and 385c/kg. Most light and medium weight cows sold between 202c and 275c/kg. Heavy weight cows made mostly from 237c to 342c/kg. Heavy bulls sold from 302c to 344c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Processor,D,3,14,11,356.0,378.0,365.85714285714283,42.5,659.3,700.0,677.5,1260.0,1512.0,1369.7999965122767
Yearling Heifer,330-400,Restocker,C,2,1,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1224.0,1224.0,1224
Yearling Heifer,330-400,Restocker,D,2,2,-20,310.0,322.0,316,25.2,596.2,619.2,607.7,1094.8,1240.0,1167.4000244140625
Yearling Heifer,400+,Feeder,D,2,16,NQ,330.0,345.0,335.625,NQ,634.6,650.9,640.7,1485.0,1518.0,1497.375
Yearling Heifer,400+,Feeder,D,3,19,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1656.0,1656.0,1656
Yearling Heifer,400+,Processor,B,3,4,2,370.0,385.0,380,22.0,649.1,663.8,658.0,1757.5,1828.8,1805
Yearling Heifer,400+,Processor,C,2,4,NQ,343.0,345.0,344,NQ,638.9,659.6,649.3,1457.8,1552.5,1505.125
Yearling Heifer,400+,Processor,C,3,7,5,360.0,378.0,372,25.0,654.5,687.3,676.4,1581.0,1711.2,1660.1142578125
Yearling Heifer,400+,Processor,D,2,8,5,322.0,330.0,325,5.0,619.2,634.6,623.5,1402.5,1529.5,1492.1875
Yearling Heifer,400+,Processor,D,3,35,28,340.0,388.0,363.2,30.3,629.6,718.5,673.3,1445.0,1746.0,1654.9328125
Yearling Heifer,400+,Processor,D,4,1,NQ,326.0,326.0,326,NQ,603.7,603.7,603.7,1467.0,1467.0,1467
Yearling Heifer,400+,Restocker,C,2,1,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1567.5,1567.5,1567.5
Yearling Heifer,400+,Restocker,D,2,11,7,214.0,364.0,336.72727272727275,25.7,411.5,686.8,636.7,963.0,1638.0,1515.2727272727273
Yearling Heifer,400+,Restocker,D,3,2,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1485.0,1485.0,1485
Vealer Steer,280-330,Restocker,B,2,1,NQ,340.0,340.0,340,NQ,607.1,607.1,607.1,1122.0,1122.0,1122
