Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 07/10/2024
Comparison Date: 30/09/2024
Total Yarding: 966 (-664)
Commentary
"Numbers fell this week to just under 1000 head with a very mixed quality sale. Good runs of prime cows and grown steers and heifers were on offer while the majority of the sale were local and pastoral vealer and yearling calves presented in large lines. Both vealer steers and heifers eased 25/30c from last week and although yearling steers held firm yearling heifers were softer by 30/35c/kg. Shipping bulls were equal while slaughter bulls eased 20c and fat cows were also back 10c/kg.

Plain vealer steers ranged from 180c to 240c and with better condition or breeding from 250c up to 340c/kg. Plain vealer heifers proved difficult to sell starting from 70c to 200c and the best of them from 208c to 270c/kg.  Yearling steers weighing under 330kg sold from 200c to 280c and heavier steers from 198c to 362c depending on fat score. The lighter yearling heifers returned 104c to 272c and heavier heifers from 160c to 280c/kg.

Pastoral calves were mostly light weights weighing well under 250kg and presented in big lines with steers ranging from 132c to 240c and pastoral heifers sold in a wider range from 50c to 184c/kg.

Grown steers were down overall however the best of them still sold to 300c with a similar story for grown heifers returning 140c to 286c/kg. feeder cows were few and sold from 100c to 186c while most medium and heavy cows returned 180c to 220c with 2 cows selling at 246c for breeding.

Shipping bulls ranged from 140c to 244c while slaughter bulls eased 20c with only 1 pen of 12 selling over 200c to make 204c/kg.

Market reporter Terry Birkin."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,3,NQ,200.0,280.0,226.66666666666666,NQ,377.4,528.3,427.7,540.0,644.0,574.6666666666666
Yearling Steer,200-280,Feeder,C,3,3,NQ,250.0,250.0,250,NQ,454.5,454.5,454.5,697.5,697.5,697.5
Yearling Steer,280-330,Feeder,C,2,5,-9,224.0,226.0,224.8,-115.2,422.6,426.4,424.2,696.6,736.8,709.0719848632813
Yearling Steer,280-330,Feeder,C,3,3,-10,242.0,242.0,242,-87.1,440.0,440.0,440.0,738.1,738.1,738.0999348958334
Yearling Steer,280-330,Restocker,C,2,1,-2,208.0,208.0,208,-76.0,400.0,400.0,400.0,657.3,657.3,657.280029296875
Yearling Steer,330-400,Feeder,C,2,4,2,280.0,280.0,280,18.0,528.3,528.3,528.3,938.0,938.0,938
Yearling Steer,330-400,Feeder,C,3,28,-25,222.0,362.0,325.2857142857143,-15.7,403.6,658.2,591.4,852.5,1444.4,1212.2542877197266
Yearling Steer,330-400,Processor,C,3,3,NQ,322.0,322.0,322,NQ,585.5,585.5,585.5,1233.3,1233.3,1233.260009765625
Yearling Steer,400+,Feeder,C,2,1,NQ,198.0,198.0,198,NQ,373.6,373.6,373.6,796.0,796.0,795.9600219726562
Yearling Steer,400+,Feeder,C,3,7,-6,298.0,328.0,302.2857142857143,-3.1,541.8,596.4,549.6,1248.6,1738.4,1318.5885358537946
Yearling Heifer,200-280,Restocker,C,2,1,NQ,104.0,104.0,104,NQ,208.0,208.0,208.0,274.6,274.6,274.55999755859375
Yearling Heifer,280-330,Feeder,C,2,1,-6,170.0,170.0,170,-23.7,340.0,340.0,340.0,506.6,506.6,506.6000061035156
Yearling Heifer,280-330,Feeder,C,3,16,-17,200.0,272.0,257,16.4,384.6,523.1,494.2,632.0,832.0,810.9799728393555
Yearling Heifer,280-330,Restocker,C,3,1,-34,140.0,140.0,140,-126.6,269.2,269.2,269.2,406.0,406.0,406
Yearling Heifer,330-400,Feeder,C,2,1,NQ,160.0,160.0,160,NQ,320.0,320.0,320.0,569.6,569.6,569.5999755859375
Yearling Heifer,330-400,Feeder,C,3,61,-11,174.0,280.0,260.91803278688525,2.4,334.6,538.5,501.8,595.1,1103.2,960.8675156890368
Yearling Heifer,330-400,Restocker,C,3,1,-5,198.0,198.0,198,-62.0,380.8,380.8,380.8,657.4,657.4,657.3599853515625
Yearling Heifer,400+,Feeder,C,3,9,-43,230.0,254.0,248.66666666666666,-25.1,442.3,488.5,478.2,949.9,1033.8,1015.1400010850695
Yearling Heifer,400+,Processor,C,3,5,1,260.0,260.0,260,-10.0,500.0,500.0,500.0,1094.6,1094.6,1094.6
Vealer Steer,0-200,Restocker,C,2,2,NQ,228.0,228.0,228,NQ,438.5,438.5,438.5,410.4,410.4,410.3999938964844
Vealer Steer,0-200,Restocker,C,3,7,NQ,340.0,340.0,340,NQ,618.2,618.2,618.2,669.8,669.8,669.8000139508929
Vealer Steer,200-280,Feeder,C,2,2,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,652.5,652.5,652.5
Vealer Steer,200-280,Pastoral Cattle,D,3,4,NQ,132.0,132.0,132,NQ,249.1,249.1,249.1,290.4,290.4,290.3999938964844
Vealer Steer,200-280,Restocker,C,2,16,-3,180.0,340.0,297.75,25.1,346.2,641.5,566.4,414.0,758.2,676.4025268554688
Vealer Steer,200-280,Restocker,C,3,24,-51,236.0,336.0,305.3333333333333,-47.3,445.3,610.9,557.9,599.4,893.8,794.3999760945638
Vealer Steer,200-280,Restocker,D,2,6,NQ,132.0,240.0,168,NQ,253.8,461.5,323.1,291.7,547.2,376.8800048828125
Vealer Steer,200-280,Restocker,D,3,4,NQ,232.0,232.0,232,NQ,437.7,437.7,437.7,540.6,540.6,540.5599975585938
Vealer Steer,280-330,Restocker,C,3,2,-3,240.0,240.0,240,-77.6,452.8,452.8,452.8,698.4,698.4,698.4000244140625
Vealer Steer,330+,Restocker,C,3,2,NQ,308.0,308.0,308,NQ,560.0,560.0,560.0,1041.0,1041.0,1041.0400390625
Vealer Heifer,0-200,Pastoral Cattle,D,2,93,NQ,150.0,184.0,161.69892473118279,NQ,300.0,368.0,323.4,237.2,288.4,267.32859753024195
Vealer Heifer,0-200,Restocker,C,2,6,-36,70.0,168.0,135.33333333333334,-104.8,140.0,336.0,270.7,138.6,334.3,269.0800069173177
Vealer Heifer,0-200,Restocker,C,3,5,2,100.0,100.0,100,-210.0,192.3,192.3,192.3,152.0,152.0,152
Vealer Heifer,200-280,Feeder,C,3,2,-12,100.0,100.0,100,-127.1,192.3,192.3,192.3,253.0,253.0,253
Vealer Heifer,200-280,Pastoral Cattle,D,2,51,NQ,180.0,182.0,180.7843137254902,NQ,360.0,364.0,361.6,372.6,378.6,374.93727022058823
Vealer Heifer,200-280,Restocker,C,2,50,-12,100.0,232.0,176.56,-49.3,200.0,464.0,353.1,216.0,554.5,408.30480895996095
