Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 29/07/2024
Comparison Date: 22/07/2024
Total Yarding: 1235 (-185)
Commentary
"With a very good rain event over the weekend all but ensuring producers a bumper spring the numbers were down slightly. The female categories dominated supply making a a large percentage of the offering. Quality and condition were quite mixed throughout. The usual buyers were in attendance with demand for well presented good quality cattle remaining high.

Varying trends through the young cattle where lightweight steers to restockers saw a mostly dearer trend with some quality related change. The medium and heavy weight yearling steers to feed sold to cheaper trends with averages down as a result of breed and quality related change. Well finished heavy trade steers were slightly dearer.lightweight yearling heifers to restock and feed sold on a firm to slightly cheaper market trend. The lack of suitable steers in the medium and heavy weight categories contributed to dearer trends for similar weight yearling heifers with the market trend 8c to 18c/kg dearer.

There were too few well finished heavy grown steers to quote while the well finished grown heifers attracted strong processor competition to show dearer trends. There were premiums for those with 4 teeth and less. Medium weight cows to process sold to a cheaper trend while those to restockers were dearer under increased competition. Well finished high yielding heavy weight cows once again attracted the strongest competition from processors with the market showing a dearer trend of as much as 9c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,4,1,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1450.0,1450.0,1450
Grown Heifer,0-540,Processor,D,2,2,-18,230.0,230.0,230,-6.7,460.0,460.0,460.0,966.0,966.0,966
Grown Heifer,0-540,Restocker,D,2,8,NQ,216.0,218.0,217.25,NQ,436.0,450.0,441.3,756.0,937.4,869.375
Grown Heifer,540+,Feeder,C,3,4,NQ,346.0,346.0,346,NQ,652.8,652.8,652.8,1903.0,1903.0,1903
Grown Heifer,540+,Feeder,C,4,3,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,2030.0,2030.0,2030
Grown Heifer,540+,Processor,C,3,10,4,320.0,340.0,327.6,-8.4,603.8,641.5,618.1,1760.0,2040.0,1876
Grown Heifer,540+,Processor,C,4,11,-6,312.0,360.0,348.54545454545456,10.8,588.7,679.2,657.6,1778.4,2154.6,2034.0000110973012
Cows,0-400,Processor,D,2,12,NQ,150.0,204.0,195,NQ,333.3,453.3,433.3,570.0,816.0,775
Cows,0-400,Restocker,D,2,6,NQ,174.0,174.0,174,NQ,386.7,386.7,386.7,643.8,643.8,643.7999674479166
Cows,400-520,Processor,D,2,100,65,194.0,245.0,230.81,-8.7,431.1,544.4,512.7,840.0,1225.0,1063.4325067138673
Cows,400-520,Processor,D,3,62,-26,234.0,278.0,262.1774193548387,-16.5,497.9,579.2,552.4,1123.2,1430.0,1295.2177537487398
Cows,400-520,Restocker,D,2,50,46,234.0,240.0,237.92,13.9,520.0,533.3,528.7,1029.6,1104.0,1074.6
Cows,520+,Processor,D,2,6,NQ,200.0,200.0,200,NQ,444.4,444.4,444.4,1120.0,1120.0,1120
Cows,520+,Processor,D,3,70,24,250.0,324.0,281.9,3.8,520.8,648.0,580.7,1325.0,1944.0,1551.707151576451
Cows,520+,Processor,D,4,119,-7,265.0,332.0,315.0504201680672,7.3,552.1,664.0,631.8,1484.0,2405.0,1953.106726381959
Cows,520+,Processor,D,5,2,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,2040.0,2040.0,2040
Bulls,0-450,Processor,C,2,18,9,216.0,290.0,255.5,11.9,400.0,557.7,476.6,864.0,1044.0,933.1833224826389
Bulls,450-600,Processor,C,2,6,NC,210.0,238.0,230.16666666666666,-13.2,388.9,440.7,426.2,1190.0,1270.2,1204.5333251953125
Bulls,600+,Processor,B,2,14,-2,235.0,262.0,249.57142857142858,2.1,419.6,467.9,445.7,1574.8,2295.0,1998.0214233398438
Bulls,600+,Processor,B,3,1,NQ,255.0,255.0,255,NQ,455.4,455.4,455.4,2244.0,2244.0,2244
Bulls,600+,Processor,C,2,13,-21,200.0,245.0,228.84615384615384,9.0,370.4,453.7,423.2,1360.0,2082.5,1719.576923076923
Bulls,600+,Processor,C,3,1,NQ,230.0,230.0,230,NQ,418.2,418.2,418.2,2070.0,2070.0,2070
