Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,200-280,Processor,C,2,10,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,586.5,586.5,586.5
Vealer Steer,200-280,Restocker,C,2,35,-2,240.0,300.0,277.54285714285714,-37.5,461.5,576.9,533.7,612.0,780.0,677.7342912946428
Vealer Steer,200-280,Restocker,D,2,86,7,184.0,274.0,262.27906976744185,-31.0,353.8,526.9,504.4,386.4,663.0,589.2755932475245
Vealer Heifer,0-200,Feeder,D,2,102,91,100.0,238.0,203.5392156862745,53.5,192.3,457.7,391.4,190.0,392.7,299.577454810049
Vealer Heifer,0-200,Restocker,C,2,31,-56,240.0,240.0,240,8.8,461.5,461.5,461.5,420.0,420.0,420
Vealer Heifer,0-200,Restocker,D,2,40,19,140.0,228.0,223.2,21.7,269.2,438.5,429.2,140.0,421.8,384.0074951171875
Vealer Heifer,200-280,Feeder,D,2,6,-3,240.0,240.0,240,90.0,461.5,461.5,461.5,672.0,672.0,672
Vealer Heifer,200-280,Processor,C,2,34,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,471.5,563.5,520.2058823529412
Vealer Heifer,200-280,Processor,D,2,9,NQ,236.0,236.0,236,NQ,453.8,453.8,453.8,590.0,590.0,590
Vealer Heifer,200-280,Restocker,C,2,86,NQ,242.0,247.0,244.2093023255814,NQ,465.4,475.0,469.6,520.3,622.2,552.0558116824128
Vealer Heifer,200-280,Restocker,D,2,74,68,230.0,240.0,236.0810810810811,36.1,442.3,461.5,454.0,479.7,564.0,530.3175675675676
Manufacturing Steer,0-540,Processor,C,3,3,2,324.0,324.0,324,38.0,611.3,611.3,611.3,1684.8,1684.8,1684.8001302083333
Manufacturing Steer,0-540,Processor,C,4,8,NQ,326.0,332.0,330,NQ,603.7,614.8,611.1,1676.6,1760.4,1715.6499938964844
