Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 14/11/2024
Comparison Date: 31/10/2024
Total Yarding: 1100 (-3330)
Commentary
"A smaller yarding of 1,000 head was yarded for the Blackall prime sale this week. The majority of the yarding was made up of prime cows and heavy grown steers alongside one large consignment of heavy feeder steers. All the usual export buyers were present and operating and there was strong competition from local restockers for feeder cattle.

A limited number of mixed quality light weight restocker steers and heifers were on offer with the top price of 352.2c for steers 280 to 330kg and heifers of the same weight sold to 260.2c/kg.  A large run of vendor bred heavy feeder steers were a standout selling to 360.2c/kg.

Heavy grown steers to the processor sold to 312.2c to average 305c, Grown heifers to the processor sold to an isolated 320.2c wth most around 285c and local and southern restockers were active on light condition  cows selling to 246.2c averaging 214c/kg. Medium weight cows topped at 265.2c to average 252c, good heavy cows sold to 280.2c averaging 271c and heavy bulls sold to 258.2c/kg.
Market reporter,
Sam Hart"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,9,-824,304.0,350.0,331.1111111111111,-53.3,584.6,673.1,636.8,851.2,980.0,927.1111246744791
Yearling Steer,200-280,Restocker,D,2,1,NC,212.0,212.0,212,-68.0,407.7,407.7,407.7,487.6,487.6,487.6000061035156
Yearling Steer,280-330,Restocker,C,2,19,-245,324.0,352.0,325.4736842105263,-61.7,623.1,676.9,625.9,939.6,1126.4,949.4315185546875
Yearling Steer,280-330,Restocker,D,2,1,-101,246.0,246.0,246,-39.1,473.1,473.1,473.1,713.4,713.4,713.4000244140625
Yearling Steer,330-400,Restocker,C,2,65,-99,300.0,360.0,351.53846153846155,-1.8,576.9,692.3,676.0,1020.0,1224.0,1195.2307692307693
Yearling Steer,400+,Feeder,D,2,14,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1230.0,1320.0,1281.4285714285713
Yearling Steer,400+,Restocker,C,2,240,226,360.0,360.0,360,-2.2,692.3,692.3,692.3,1512.0,1512.0,1512
Yearling Heifer,200-280,Restocker,C,2,7,-1046,208.0,242.0,234.28571428571428,-24.8,400.0,465.4,450.5,561.6,653.4,632.5714460100446
Yearling Heifer,280-330,Restocker,C,2,11,-601,252.0,260.0,257.09090909090907,-24.0,484.6,500.0,494.4,780.0,832.0,794.3272816051136
Yearling Heifer,330-400,Feeder,C,2,4,-166,218.0,218.0,218,-47.0,419.2,419.2,419.2,741.2,741.2,741.2000122070312
Yearling Heifer,330-400,Restocker,C,2,2,-63,240.0,240.0,240,-26.6,461.5,461.5,461.5,816.0,816.0,816
Grown Steer,400-500,Processor,C,3,4,NQ,276.0,276.0,276,NQ,530.8,530.8,530.8,1352.4,1352.4,1352.4000244140625
Grown Steer,500-600,Processor,C,3,69,56,294.0,312.0,303.39130434782606,39.2,565.4,600.0,583.4,1587.6,1809.6,1728.9912533967392
Grown Steer,600-750,Processor,C,3,50,32,302.0,310.0,305.84,5.6,580.8,596.2,588.2,1902.6,2325.0,2114.376015625
Grown Heifer,0-540,Processor,C,3,58,NQ,250.0,306.0,279.3448275862069,NQ,480.8,588.5,537.2,1118.0,1530.0,1274.9000286233836
Grown Heifer,0-540,Processor,D,3,18,NQ,220.0,278.0,252.22222222222223,NQ,423.1,534.6,485.0,924.0,1306.6,1136.5555555555557
Grown Heifer,0-540,Restocker,C,2,9,NQ,184.0,262.0,212.44444444444446,NQ,353.8,503.8,408.5,700.4,995.6,808.3555365668403
Grown Heifer,540+,Processor,C,3,9,NQ,250.0,320.0,295.1111111111111,NQ,480.8,615.4,567.5,1400.0,1760.0,1649.066623263889
Cows,0-400,Processor,D,2,7,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,819.0,819.0,819
Cows,0-400,Restocker,D,2,16,NQ,86.0,106.0,99.75,NQ,165.4,203.8,191.8,258.0,413.4,364.8374938964844
Cows,400-520,Processor,D,2,11,NQ,196.0,228.0,221.8181818181818,NQ,376.9,438.5,426.6,945.0,1140.0,1090
Cows,400-520,Processor,D,3,63,NQ,200.0,295.0,264.46031746031747,NQ,384.6,567.3,508.6,980.0,1445.5,1311.9603174603174
Cows,400-520,Restocker,D,1,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,675.0,675.0,675
Cows,400-520,Restocker,D,2,133,NQ,176.0,246.0,214.25563909774436,NQ,338.5,473.1,412.0,756.8,1210.0,1046.497738486842
Cows,520+,Processor,D,3,76,49,254.0,280.0,270.85526315789474,0.9,488.5,538.5,520.9,1346.2,1821.6,1569.923664293791
Cows,520+,Restocker,D,2,17,NQ,216.0,216.0,216,NQ,415.4,415.4,415.4,1209.6,1209.6,1209.5999540441176
Bulls,0-450,Feeder,C,2,1,-90,210.0,210.0,210,-30.7,403.8,403.8,403.8,798.0,798.0,798
Bulls,600+,Processor,C,1,1,NQ,180.0,180.0,180,NQ,333.3,333.3,333.3,1350.0,1350.0,1350
Bulls,600+,Processor,C,2,34,19,212.0,258.0,238.41176470588235,0.5,392.6,477.8,441.5,1378.0,2530.0,1926.8676470588234
