Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CVLX Ballarat
Report Date: 15/01/2025
Comparison Date: 11/12/2024
Total Yarding: 1030 (+166)
Commentary
"The first prime cattle sale of 2025 drew a significant crowd of onlookers, backgrounders, feedlot operators, and processors, all eager to witness the latest trends in the market. The sale featured magnificent pens of well-finished cows and an impressive selection of heavy bulls.

However, trade cattle were somewhat scarce, with most on offer in secondary condition. Medium-weight feeder steers were highly sought after by several feedlots, fetching prices ranging from 310 to 376c/kg. Lighter-weight steers also attracted attention, topping at 364 cents and averaging 337c/kg.

Feeder heifers were in reasonable supply, with those weighing between 330 and 400 kilograms selling from 288c to 340c averaging around $1,168 per head. The prices for steers returning to the paddock varied significantly, largely influenced by breed. These steers fetched between 242c and 360c/kg reflecting a diverse range of quality and buyer preference. Similarly, heifers returning to the paddock with weight and frame were sold at prices ranging from 260c to 294c/kg

A handful of trade steers and heifers sold  between 255 and 324c/kg.

On the export front, the supply of heavy steers and bullocks was limited, with prices ranging from 310c to 346c/kgThe highlight of the sale was undoubtedly the magnificent lineup of heavy cows, which attracted a larger group of buyers than in previous sales. Prices surged by 40c compared to the last pre-Christmas sale, with good heavy cows selling between 310c and 329c/kg. Leaner cows weighing under 520kg were also in demand, selling from 258c to 304c/kg.

The sale featured an excellent selection of big heavy bulls, commanding prices between 300c to  332c/kg"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Feeder,C,3,1,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1550.0,1550.0,1550
Grown Steer,500-600,Processor,C,3,4,-7,310.0,322.0,316,13.6,584.9,596.3,590.6,1713.0,1751.5,1732.27001953125
Grown Steer,600-750,Processor,C,4,13,10,340.0,346.0,341.38461538461536,21.4,629.6,640.7,632.2,2210.0,2422.0,2366.9384765625
Grown Heifer,0-540,Processor,C,4,3,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1621.3,1621.3,1621.3001302083333
Grown Heifer,0-540,Processor,D,3,18,8,280.0,296.0,288.44444444444446,49.8,528.3,592.0,557.3,1498.0,1554.0,1522.066677517361
Grown Heifer,540+,Processor,C,4,20,18,300.0,328.0,312.6,2.6,566.0,618.9,589.8,1846.6,2021.2,1961.31796875
Cows,400-520,Processor,D,1,32,NQ,205.0,230.0,217.5,NQ,427.1,479.2,453.1,842.5,1127.0,976.9250030517578
Cows,400-520,Processor,D,2,76,35,180.0,262.0,233.10526315789474,14.1,375.0,545.8,485.6,739.8,1283.8,1097.852375231291
Cows,400-520,Processor,D,3,44,36,258.0,304.0,271.6818181818182,39.3,503.8,584.6,546.4,1184.2,1580.8,1353
Cows,520+,Dairy,D,2,11,-4,280.0,280.0,280,17.4,583.3,583.3,583.3,1974.0,1974.0,1974
Cows,520+,Processor,D,3,137,115,270.0,326.0,300.1021897810219,51.1,530.8,626.9,581.5,1476.6,2298.3,1956.3248389028286
Cows,520+,Processor,D,4,159,NQ,310.0,329.0,320.4654088050315,NQ,574.1,670.8,605.1,2092.5,2379.8,2249.2260250835297
Calves,80+,Restocker,C,2,14,NQ,232.0,238.0,235,NQ,464.0,476.0,470.0,417.6,440.3,428.94998604910717
Bulls,600+,Processor,C,2,31,NQ,280.0,332.0,309,NQ,482.8,572.4,538.8,1938.4,4098.6,2834.3061444682457
Bulls,600+,Processor,D,2,3,NQ,224.0,300.0,270,NQ,422.6,566.0,499.8,1467.2,2070.0,1836.8666585286458
Bulls,600+,Processor,E,2,2,NQ,160.0,200.0,180,NQ,301.9,377.4,339.6,1072.0,1340.0,1206
Bulls,600+,Restocker,C,2,1,NQ,308.0,308.0,308,NQ,550.0,550.0,550.0,2602.6,2602.6,2602.60009765625
