Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 22/01/2025
Comparison Date: 11/12/2024
Total Yarding : NQ (NQ)
Commentary
"In very hot conditions, the opening sale of 2025 saw 1517 cattle penned in a very mixed quality yarding. Only three  regular processors were operating along with one live exporter and one feeder supported by opportunity restockers and backgrounders. Cattle were drawn from Georgetown to Richmond, then south and east to local and coastal areas. 

Less than one third of the yarding consisted of prime cattle, with only a few lines of good quality store lines penned. Competition was good for better quality, however secondary and lighter conditioned types met limited demand. Values were reflective of quality and mostly eased in line with other selling centres. 

Good quality light suitably weaned steers sold to 300c to average 285c, similar steers above 200kg returning to the paddock reached 320c to average 319c/kg. Light yearling steers to backgrounders averaged 266c, a good sample to feed made to 282c to average 245c/kg.  Yearling steers above 280kg to live export sold to 314c to average 313c, steers above 330kg averaged 290c/kg. Yearling heifers above 200kg to grass sold to 240c to average 211c, processor types sold to 280c to average 264c/kg. Heifers to feed above 330kg reached 278c to average 247c to 269c/kg. Grown steers above 400kg to the trade sold to 318c, heavy steers above 500kg topped at 341c/kg. Good quality heavy grown heifers to the trade made to 280c to average 269c/kg. 

A limited supply of heavy full mouthed bullocks to export slaughter topped at 331c to average 329c/kg. Medium weight 3 score cows to processors sold to 270c to average 248c, a small sample of prime heavyweight  3 and 4 score cows averaged 266c/kg. Heavy bulls to live export made from 260c to 290c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Feeder,D,3,3,2,180.0,180.0,180,-60.0,346.2,346.2,346.2,612.0,612.0,612
Yearling Heifer,330-400,Processor,C,2,4,3,298.0,304.0,301,81.0,573.1,584.6,578.8,1064.0,1147.3,1105.6500244140625
Yearling Heifer,330-400,Processor,C,3,2,1,240.0,240.0,240,-52.0,452.8,452.8,452.8,936.0,936.0,936
Yearling Heifer,330-400,Processor,D,3,1,NC,258.0,258.0,258,-14.0,486.8,486.8,486.8,915.9,915.9,915.9000244140625
Vealer Steer,0-200,Feeder,D,2,5,NQ,158.0,158.0,158,NQ,303.8,303.8,303.8,284.4,284.4,284.4
Vealer Steer,0-200,Restocker,C,2,68,NQ,262.0,300.0,284.70588235294116,NQ,503.8,576.9,547.5,479.5,585.0,540.7573529411765
Vealer Steer,0-200,Restocker,D,2,20,-23,220.0,300.0,250.8,-21.1,423.1,576.9,482.3,407.0,525.0,477.810009765625
Vealer Steer,200-280,Feeder,C,2,13,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,702.0,702.0,702
Vealer Steer,200-280,Feeder,D,2,12,NQ,202.0,202.0,202,NQ,388.5,388.5,388.5,464.6,464.6,464.6000162760417
Vealer Steer,200-280,Processor,D,2,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,492.0,492.0,492
Vealer Steer,200-280,Restocker,C,2,2,1,240.0,240.0,240,-60.0,461.5,461.5,461.5,612.0,612.0,612
Vealer Steer,200-280,Restocker,D,2,64,NQ,240.0,320.0,318.75,NQ,461.5,615.4,613.0,540.0,768.0,733.1875
Vealer Heifer,0-200,Feeder,D,2,2,-24,176.0,176.0,176,-55.9,338.5,338.5,338.5,316.8,316.8,316.79998779296875
Vealer Heifer,0-200,Processor,E,2,2,NQ,180.0,180.0,180,NQ,352.9,352.9,352.9,261.0,261.0,261
Vealer Heifer,0-200,Restocker,D,2,38,34,198.0,206.0,203.73684210526315,-42.3,380.8,396.2,391.8,340.0,412.0,405.89473684210526
Vealer Heifer,200-280,Feeder,D,2,11,-21,150.0,198.0,188,-40.0,288.5,380.8,361.5,322.5,504.9,459
Vealer Heifer,200-280,Processor,C,2,3,2,250.0,250.0,250,26.0,480.8,480.8,480.8,650.0,650.0,650
Vealer Heifer,200-280,Processor,D,2,7,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,612.5,612.5,612.5
Vealer Heifer,200-280,Restocker,D,2,18,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,427.5,427.5,427.5
Manufacturing Steer,0-540,Live Export,D,2,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1162.5,1162.5,1162.5
Manufacturing Steer,0-540,Processor,D,3,2,NC,292.0,324.0,308,32.0,550.9,611.3,581.1,1445.4,1539.0,1492.2000122070312
Manufacturing Steer,540+,Processor,C,4,9,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1881.0,1881.0,1881
Manufacturing Steer,540+,Processor,D,3,1,NQ,331.0,331.0,331,NQ,613.0,613.0,613.0,2118.4,2118.4,2118.39990234375
Grown Steer,0-400,Feeder,D,2,9,-57,155.0,270.0,212.33333333333334,-48.2,303.9,519.2,409.0,519.3,1039.5,746.4722222222222
Grown Steer,0-400,Feeder,E,2,21,NQ,120.0,198.0,189.14285714285714,NQ,235.3,388.2,370.9,438.0,672.0,657.1999976748511
Grown Steer,0-400,Live Export,D,2,5,NQ,250.0,270.0,254,NQ,480.8,519.2,488.5,812.5,1053.0,860.6
Grown Steer,0-400,Processor,D,2,3,-14,230.0,280.0,260,11.1,442.3,538.5,500.0,897.0,1022.0,977.1666666666666
Grown Steer,0-400,Processor,E,3,1,NQ,196.0,196.0,196,NQ,376.9,376.9,376.9,715.4,715.4,715.4000244140625
Grown Steer,400-500,Live Export,D,3,3,NQ,294.0,302.0,296.6666666666667,NQ,554.7,569.8,559.7,1343.9,1367.1,1359.3666585286458
Grown Steer,400-500,Processor,C,3,4,NQ,318.0,318.0,318,NQ,600.0,600.0,600.0,1478.7,1478.7,1478.699951171875
Grown Steer,400-500,Processor,D,2,1,NC,260.0,260.0,260,-22.0,500.0,500.0,500.0,1053.0,1053.0,1053
Grown Steer,400-500,Processor,D,3,4,NQ,270.0,302.0,291.5,NQ,519.2,569.8,552.4,1238.2,1510.0,1368.75
Grown Steer,400-500,Processor,E,2,1,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,1118.0,1118.0,1118
Grown Steer,500-600,Processor,C,3,2,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1699.5,1699.5,1699.5
Grown Steer,500-600,Processor,D,3,10,NQ,341.0,341.0,341,NQ,631.5,631.5,631.5,1909.6,1909.6,1909.6
Grown Steer,500-600,Processor,E,2,1,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,1339.0,1339.0,1339
Grown Heifer,0-540,Feeder,D,2,12,10,180.0,246.0,239,39.0,360.0,473.1,461.5,621.0,910.2,881.5
Grown Heifer,0-540,Feeder,E,2,6,5,138.0,204.0,190.33333333333334,0.3,281.6,416.3,389.8,407.1,703.8,638.8833262125651
Grown Heifer,0-540,Processor,C,3,7,4,274.0,280.0,274.85714285714283,2.9,528.3,548.0,545.2,1082.3,1148.0,1091.685756138393
Grown Heifer,0-540,Processor,D,3,8,7,250.0,272.0,261.5,19.5,490.2,519.2,501.6,1012.5,1237.6,1124.1374969482422
Grown Heifer,0-540,Restocker,D,2,11,NQ,264.0,264.0,264,NQ,507.7,507.7,507.7,1016.4,1016.4,1016.4000355113636
Cows,0-400,Feeder,D,1,15,14,122.0,198.0,175.2,15.2,271.1,440.0,390.9,408.7,666.4,578.1800048828125
Cows,0-400,Feeder,D,2,47,NQ,180.0,210.0,194.85106382978722,NQ,391.3,456.5,423.6,681.6,840.0,737.5872283286237
Cows,0-400,Feeder,D,3,3,NQ,200.0,200.0,200,NQ,434.8,434.8,434.8,780.0,780.0,780
Cows,0-400,Feeder,E,1,19,NQ,80.0,82.0,81.6842105263158,NQ,181.8,186.4,185.6,232.0,262.4,250.47895250822367
Cows,0-400,Feeder,E,2,1,NQ,142.0,142.0,142,NQ,315.6,315.6,315.6,475.7,475.7,475.70001220703125
Cows,0-400,Processor,C,3,1,NQ,258.0,258.0,258,NQ,516.0,516.0,516.0,1006.2,1006.2,1006.2000122070312
Cows,0-400,Processor,D,3,11,5,236.0,236.0,236,8.0,502.1,502.1,502.1,932.2,932.2,932.2000177556819
Cows,0-400,Processor,E,3,1,-6,180.0,180.0,180,-45.7,383.0,383.0,383.0,639.0,639.0,639
Cows,0-400,Restocker,D,2,5,NQ,204.0,204.0,204,NQ,443.5,443.5,443.5,775.2,775.2,775.2
Cows,0-400,Restocker,E,2,2,NQ,140.0,140.0,140,NQ,311.1,311.1,311.1,434.0,434.0,434
Cows,400-520,Feeder,D,2,9,NQ,215.0,215.0,215,NQ,467.4,467.4,467.4,870.8,870.8,870.75
Cows,400-520,Feeder,D,3,2,NQ,230.0,230.0,230,NQ,489.4,489.4,489.4,943.0,943.0,943
Cows,400-520,Processor,C,2,7,NQ,251.0,264.0,252.85714285714286,NQ,522.9,550.0,526.8,1082.4,1255.0,1230.3428606305804
Cows,400-520,Processor,C,3,20,12,248.0,266.0,264.7,-9.3,496.0,542.9,536.6,1165.9,1356.6,1329.2199645996093
Cows,400-520,Processor,C,4,6,NQ,272.0,272.0,272,NQ,533.3,533.3,533.3,1414.4,1414.4,1414.4000651041667
Cows,400-520,Processor,D,2,6,3,232.0,232.0,232,19.3,493.6,493.6,493.6,1009.2,1009.2,1009.2000325520834
Cows,400-520,Processor,D,3,67,47,202.0,270.0,247.91044776119404,-12.9,429.8,544.7,514.0,838.3,1390.5,1136.7716702133862
Cows,400-520,Restocker,D,3,1,NQ,184.0,184.0,184,NQ,375.5,375.5,375.5,910.8,910.8,910.7999877929688
Cows,520+,Processor,C,4,11,NQ,262.0,268.0,266.3636363636364,NQ,503.8,515.4,512.2,1519.6,1648.2,1613.1272194602273
Cows,520+,Processor,D,3,2,1,232.0,240.0,236,-32.0,483.3,489.8,486.6,1218.0,1500.0,1359
Cows,520+,Processor,D,4,10,NQ,264.0,264.0,264,NQ,528.0,528.0,528.0,1465.2,1465.2,1465.2
Calves,80+,Restocker,D,1,21,NQ,256.0,256.0,256,NQ,502.0,502.0,502.0,345.6,345.6,345.6000046502976
Bulls,0-450,Feeder,C,2,8,-21,182.0,240.0,189.25,-67.0,343.4,461.5,358.2,546.0,900.0,590.25
Bulls,0-450,Feeder,D,2,10,-166,158.0,240.0,201.2,-19.0,303.8,461.5,386.9,302.6,939.6,533.9499969482422
Bulls,0-450,Feeder,D,3,3,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,954.5,954.5,954.5
Bulls,0-450,Feeder,E,2,1,-6,150.0,150.0,150,-60.3,288.5,288.5,288.5,330.0,330.0,330
Bulls,0-450,Live Export,C,2,1,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,1105.0,1105.0,1105
Bulls,0-450,Live Export,D,2,6,4,220.0,270.0,261.6666666666667,21.7,423.1,519.2,503.2,737.0,931.5,854.0833333333334
Bulls,0-450,Processor,D,1,1,NQ,222.0,222.0,222,NQ,435.3,435.3,435.3,987.9,987.9,987.9000244140625
Bulls,0-450,Processor,D,3,1,-17,200.0,200.0,200,-26.6,377.4,377.4,377.4,840.0,840.0,840
Bulls,0-450,Processor,E,2,4,2,180.0,180.0,180,-20.0,352.9,352.9,352.9,324.0,324.0,324
