Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 20/11/2024
Comparison Date: 13/11/2024
Total Yarding: 3307 (+323)
Commentary
"The promise of some good falls of rain and a solid sale last week increased numbers by 323 head to 3307 at CQLX  Gracemere sale. Cattle were drawn from Cracow and Theodore through to Bowen and west to Clermont and Moura  to comprise a generally good quality offering which sold well to the usual feeders and processors  and an increased restocker gallery.

Light weight pens of yearling steers sold to 437c/kg occasionally, returning averages from 325c to 376c/kg. Medium weight pens sold to 401c/kg to average 369c to 384c/kg for the best-bred cattle. Light weight yearling heifers sold to a 317c/kg top, to average 267c to 297c/kg for well-bred lines. “C” butt, medium weight yearling heifers, selling to feed and background, reached a 349c/kg top, averaging 276c to 331c/kg.

The best-bred grown steers to feed averaged 340c to 385c/kg. There were very few bullocks on offer, which sold to make from 331c to 340c/kg. Grown heifers to background  and feed sold to a 323c/kg top, with trade weights making to 333c/kg to average 297c to 325c/kg.  

Best finished cows averaged 293c/kg and sold to 314c/kg. Heavy bulls sold to processors to a top of 330c/kg, returning a respectable average of 271c/kg. The better quality cows and calves sold from $1,125 to $1,400 per unit. Dairy bred milkers and foster mothers made from $1,600 to $1,870 per unit. Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,280-330,Feeder,D,2,60,44,235.0,289.0,281.96666666666664,13.0,451.9,555.8,542.2,669.8,924.8,891.4874837239583
Yearling Heifer,280-330,Processor,C,2,14,-17,267.0,280.0,269.7857142857143,4.1,513.5,538.5,518.8,774.3,798.0,779.3785574776786
Yearling Heifer,280-330,Processor,D,2,49,NQ,250.0,287.0,282.61224489795916,NQ,480.8,551.9,543.5,725.0,818.0,808.0367406728317
Yearling Heifer,280-330,Restocker,C,2,7,-15,269.0,293.0,275.85714285714283,130.4,517.3,563.5,530.5,807.0,835.0,815.0142822265625
Yearling Heifer,280-330,Restocker,D,2,5,-2,289.0,289.0,289,NC,555.8,555.8,555.8,823.7,823.7,823.65
Yearling Heifer,330-400,Feeder,C,2,9,-1,315.0,328.0,320.77777777777777,47.8,605.8,630.8,616.9,1102.5,1115.2,1108.1444227430557
Yearling Heifer,330-400,Feeder,C,3,1,NQ,311.0,311.0,311,NQ,586.8,586.8,586.8,1104.1,1104.1,1104.050048828125
Yearling Heifer,330-400,Processor,D,2,5,-11,285.0,285.0,285,11.8,548.1,548.1,548.1,1026.0,1026.0,1026
Yearling Heifer,330-400,Restocker,C,2,31,29,299.0,311.0,307.51612903225805,14.5,575.0,598.1,591.4,1001.7,1112.4,1080.824226625504
Yearling Heifer,400+,Feeder,C,2,1,NQ,345.0,345.0,345,NQ,663.5,663.5,663.5,1414.5,1414.5,1414.5
Vealer Steer,0-200,Processor,D,2,24,NQ,220.0,269.0,252.66666666666666,NQ,423.1,517.3,485.9,330.0,497.6,441.76666259765625
Vealer Steer,0-200,Restocker,C,2,2,NQ,355.0,355.0,355,NQ,682.7,682.7,682.7,674.5,674.5,674.5
Vealer Steer,0-200,Restocker,D,2,5,NQ,263.0,280.0,266.4,NQ,505.8,538.5,512.3,289.3,490.0,329.439990234375
Vealer Heifer,0-200,Processor,D,2,2,NQ,230.0,245.0,237.5,NQ,442.3,471.2,456.7,414.0,465.5,439.75
Vealer Heifer,0-200,Restocker,C,2,15,NQ,232.0,257.0,255.33333333333334,NQ,446.2,494.2,491.0,324.8,488.3,477.3999796549479
Vealer Heifer,0-200,Restocker,D,2,17,NQ,237.0,289.0,266.1764705882353,NQ,455.8,555.8,511.9,355.5,477.7,416.9558967141544
Vealer Heifer,200-280,Processor,D,2,2,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,637.5,637.5,637.5
Vealer Heifer,200-280,Restocker,D,2,5,NQ,241.0,241.0,241,NQ,463.5,463.5,463.5,484.4,484.4,484.410009765625
Grown Steer,0-400,Feeder,C,2,96,NC,329.0,401.0,384.5,-8.2,632.7,771.2,739.4,1132.3,1604.0,1488.239049275716
Grown Steer,0-400,Feeder,D,2,14,10,260.0,377.0,327.35714285714283,50.9,500.0,725.0,629.5,689.0,1470.3,1198.7357700892858
Grown Steer,0-400,Feeder,E,2,9,NQ,281.0,289.0,284.55555555555554,NQ,540.4,555.8,547.2,953.7,1124.0,1048.3111165364583
Grown Steer,0-400,Processor,D,2,1,-1,265.0,265.0,265,15.0,509.6,509.6,509.6,927.5,927.5,927.5
Grown Steer,0-400,Restocker,C,2,74,16,301.0,399.0,371.1081081081081,-9.2,578.8,767.3,713.7,1135.1,1580.0,1387.0871895455025
Grown Steer,0-400,Restocker,D,2,27,15,349.0,393.0,381.6666666666667,39.8,671.2,755.8,734.0,1198.7,1462.5,1313.0425980179398
Grown Steer,0-400,Restocker,E,2,6,NQ,235.0,240.0,235.83333333333334,NQ,451.9,461.5,453.5,624.0,634.5,632.75
Grown Steer,400-500,Feeder,C,2,199,8,320.0,395.0,369.19095477386935,-17.5,615.4,759.6,710.0,1414.5,1827.4,1571.2835233295384
Grown Steer,400-500,Feeder,D,2,6,-39,269.0,389.0,354.6666666666667,-28.5,538.0,748.1,685.5,1143.3,1769.9,1582.6082967122395
Grown Steer,400-500,Processor,D,2,3,-18,270.0,287.0,275.6666666666667,7.7,519.2,551.9,530.1,1228.5,1262.8,1239.933349609375
Grown Steer,400-500,Restocker,C,2,20,-5,369.0,401.0,381.8,-15.2,709.6,771.2,734.2,1494.4,1684.2,1570.34990234375
Grown Steer,500-600,Processor,C,3,3,-4,340.0,340.0,340,42.0,641.5,641.5,641.5,1819.0,1819.0,1819
Grown Steer,500-600,Processor,D,3,3,2,331.0,331.0,331,15.0,624.5,624.5,624.5,1853.6,1853.6,1853.5999348958333
Grown Heifer,0-540,Feeder,C,2,124,92,293.0,341.0,305.8225806451613,21.0,563.5,655.8,588.1,939.3,1422.4,1219.0435495684223
Grown Heifer,0-540,Feeder,C,3,4,NQ,309.0,309.0,309,NQ,583.0,583.0,583.0,1344.2,1344.2,1344.1500244140625
Grown Heifer,0-540,Feeder,D,2,91,-8,230.0,338.0,289.010989010989,22.1,442.3,650.0,555.8,621.0,1453.4,1042.436280638307
Grown Heifer,0-540,Processor,C,2,13,-3,291.0,305.0,297.3076923076923,14.3,559.6,586.5,571.7,989.4,1255.8,1053.8807654747595
Grown Heifer,0-540,Processor,C,3,21,-16,293.0,313.0,302.14285714285717,17.3,552.8,601.9,572.2,1172.0,1405.9,1292.0499674479167
Grown Heifer,0-540,Processor,C,4,12,1,287.0,333.0,325.4166666666667,18.0,541.5,616.7,603.5,1277.2,1615.1,1543.5458679199219
Grown Heifer,0-540,Processor,D,1,2,NQ,180.0,270.0,225,NQ,360.0,519.2,439.6,621.0,958.5,789.75
Grown Heifer,0-540,Processor,D,2,40,9,253.0,299.0,281.025,26.3,486.5,575.0,540.4,670.5,1262.3,1050.721255493164
Grown Heifer,0-540,Processor,D,3,26,1,260.0,331.0,318.61538461538464,33.7,500.0,624.5,606.3,819.0,1539.2,1439.453838641827
Grown Heifer,0-540,Processor,D,4,10,NQ,319.0,319.0,319,NQ,590.7,590.7,590.7,1499.3,1499.3,1499.3
Grown Heifer,0-540,Restocker,C,2,6,-31,323.0,323.0,323,27.8,621.2,621.2,621.2,1162.8,1162.8,1162.800048828125
Grown Heifer,0-540,Restocker,D,2,85,48,147.0,311.0,280.3411764705882,20.4,282.7,598.1,539.1,374.9,1296.3,974.192374195772
Grown Heifer,540+,Processor,D,4,9,NQ,294.0,294.0,294,NQ,588.0,588.0,588.0,1617.0,1617.0,1617
Cows,0-400,Processor,D,1,3,2,60.0,60.0,60,-140.0,150.0,150.0,150.0,168.0,168.0,168
Cows,0-400,Processor,D,2,12,-3,240.0,261.0,243.5,19.5,510.6,580.0,522.2,672.0,991.8,725.2999979654948
Cows,400-520,Processor,D,1,3,NQ,223.0,238.0,233,NQ,531.0,566.7,554.8,903.2,987.7,959.5166829427084
Cows,400-520,Processor,D,2,22,-86,230.0,277.0,253.0909090909091,-4.7,500.0,602.3,567.5,996.3,1260.3,1123.3318148526278
Cows,400-520,Processor,D,3,27,-9,265.0,303.0,284.55555555555554,20.6,563.8,618.4,589.0,1213.7,1530.2,1331.8648093894676
Cows,400-520,Processor,D,4,6,-13,285.0,297.0,292.3333333333333,16.5,563.5,594.0,569.6,1325.3,1421.1,1400.8917032877605
Cows,400-520,Restocker,D,1,16,NQ,265.0,269.0,266.25,NQ,616.3,640.5,623.8,1099.8,1143.3,1113.34375
Cows,520+,Processor,D,3,7,-9,284.0,284.0,284,10.0,591.7,591.7,591.7,1505.2,1505.2,1505.199916294643
Cows,520+,Processor,D,4,57,6,279.0,314.0,292.63157894736844,15.8,547.1,603.8,571.1,1478.7,1826.6,1609.477174993147
Calves,80+,Feeder,D,2,1,NQ,241.0,241.0,241,NQ,463.5,463.5,463.5,361.5,361.5,361.5
Calves,80+,Restocker,D,1,7,NQ,201.0,201.0,201,NQ,386.5,386.5,386.5,281.4,281.4,281.39998953683033
Bulls,0-450,Feeder,C,2,10,9,389.0,389.0,389,102.0,748.1,748.1,748.1,1497.7,1497.7,1497.65
Bulls,0-450,Feeder,D,2,15,12,265.0,395.0,337.93333333333334,92.3,509.6,759.6,649.9,1166.0,1738.0,1432.6666666666667
Bulls,0-450,Processor,C,2,9,3,260.0,320.0,289.55555555555554,27.9,500.0,615.4,556.8,692.5,1296.0,1047.8055555555557
Bulls,0-450,Processor,D,2,9,-42,255.0,277.0,273,30.3,490.4,572.3,531.1,803.3,1210.5,928.9055514865452
Bulls,0-450,Restocker,C,2,8,-19,359.0,371.0,367,75.0,690.4,713.5,705.8,897.5,1273.1,1120.6000366210938
Bulls,0-450,Restocker,D,1,6,NQ,227.0,255.0,231.66666666666666,NQ,436.5,490.4,445.5,499.4,612.0,518.1666564941406
Bulls,0-450,Restocker,D,2,34,22,250.0,340.0,306.3529411764706,43.1,480.8,653.8,589.1,412.5,740.3,523.4838185029871
Bulls,450-600,Processor,C,3,7,5,240.0,310.0,286.14285714285717,33.1,436.4,563.6,520.3,1284.0,1806.0,1640.2142857142858
Bulls,450-600,Restocker,C,2,1,NQ,223.0,223.0,223,NQ,428.8,428.8,428.8,1181.9,1181.9,1181.9000244140625
Bulls,450-600,Restocker,D,2,2,NQ,251.0,251.0,251,NQ,482.7,482.7,482.7,1330.3,1330.3,1330.300048828125
Bulls,600+,Processor,C,3,11,-2,220.0,330.0,270.90909090909093,13.4,400.0,600.0,492.6,1386.0,2304.2,1855.4090798117898
