Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 26/11/2024
Comparison Date: 
Total Yarding: 3550 (NQ)
Commentary
"Gunnedah penned 3550 good quality cattle an extra 1800 head. Trends were generally dearer with all regular buyers attending with one cow buyer not operating. 

Weaner steers to restockers were dearer 358c to 429c/kg. Background steers up to 280 kgs were 5c/kg better 300c to 390c/kg. Medium steers sold to cheaper trends with some drafts of plainer quality affecting averages. Conversely similar weight steers to background gained 25c/kg to top at 382c/kg. Heavy feeders were marginally cheaper with the heavy processing yearling steers dearer and made up to 358c/kg. Light vealer heifers to the trade sold to 340c/kg. Feeder heifers to 330 kgs slipped 4c/kg and ranged 280c to 321c/kg. Medium feeder heifers gained significantly selling to 340c/kg.

Heavy grown steers were dearer selling to 339c/kg. The heifers drafts lost 8c/kg selling 250c to 322c/kg. Medium cows to feed were in demand  244c to 256c/kg. Heavy cows marginally dearer 274c to 292c/kg. Heavy bulls made to 289c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Feeder,D,3,12,NQ,268.0,268.0,268,NQ,558.3,558.3,558.3,1447.2,1447.2,1447.1998697916667
Cows,520+,Processor,D,2,25,NQ,228.0,268.0,243.32,NQ,490.0,558.3,519.8,1208.4,1450.0,1341.9280078125
Cows,520+,Processor,D,3,88,13,250.0,275.0,268.71590909090907,-0.6,520.8,572.9,556.2,1450.0,1755.0,1590.810237537731
Cows,520+,Processor,D,4,97,-19,274.0,292.0,281.2886597938144,1.8,548.0,584.0,564.5,1635.2,1995.0,1863.6061835534795
Cows,520+,Processor,D,5,2,-6,225.0,258.0,241.5,-41.3,468.8,516.0,492.4,1350.0,1935.0,1642.5
Calves,80+,Restocker,C,2,28,NQ,290.0,292.0,291.57142857142856,NQ,557.7,561.5,560.7,350.4,377.0,356.09999302455356
Bulls,0-450,Feeder,B,3,8,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1044.0,1044.0,1044
Bulls,0-450,Processor,B,2,15,NQ,260.0,272.0,268,NQ,481.5,503.7,496.3,988.0,1033.6,1018.4
Bulls,0-450,Processor,C,2,1,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,945.0,945.0,945
Bulls,0-450,Restocker,B,2,5,NQ,274.0,288.0,282.4,NQ,507.4,533.3,523.0,986.4,1008.0,999.360009765625
Bulls,0-450,Restocker,B,3,1,NQ,280.0,280.0,280,NQ,482.8,482.8,482.8,1008.0,1008.0,1008
Bulls,0-450,Restocker,C,2,14,NQ,318.0,318.0,318,NQ,588.9,588.9,588.9,1017.6,1017.6,1017.5999581473214
Bulls,450-600,Processor,B,2,3,1,240.0,262.0,254.66666666666666,-7.8,400.0,436.7,424.4,1440.0,1572.0,1528
Bulls,600+,Processor,B,2,5,NQ,166.0,275.0,241.2,NQ,307.4,458.3,410.9,1460.8,2430.0,2059.360009765625
Bulls,600+,Processor,B,3,53,39,169.0,289.0,273.8490566037736,-4.9,291.4,481.7,456.6,1453.4,2745.5,2363.741526477742
Bulls,600+,Restocker,B,2,1,NQ,276.0,276.0,276,NQ,460.0,460.0,460.0,1794.0,1794.0,1794
