Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 21/01/2025
Comparison Date: 
Total Yarding: 2100 (NQ)
Commentary
"There were 1440 exports of that 820 cows and 735 trade cattle were penned. The beef cows had plenty of weight and condition. There were fewer good quality grown steers about this week. Feedlotter and store buyers although still very present throughout the sale were not as fierce this week resulting in prices coming back. 

The majority of buyers were at the rails but several exporters were not operating. Overall, prices came back across all export categories, the trade cattle had mixed results. The best of the finished young cattle going to processors remained firm, while plainer young cattle were all back 10c to 30c/kg.

There were larger lines of slightly under done and Euro cross cattle yarded. The best of the vealers made to 379c/kg. The yearling steers to the trade made from 330c to 370c/kg to average 336c/kg. Feeder steers made from 300c to 350c/kg. The yearling heifers to the trade made from 280c to 360c/kg. The plainer store cattle were 6c to 30c/kg cheaper.

Friesian steers made from 270c to 310c/kg. The 500 to 600kg steers ranged from 312/kg to 358c/kg, which was down 13c to 20c/kg. The 600kg plus bullocks  made from 315c to 357c/kg, which was 10c to 20c/kg cheaper. The heavy beef cows were 7c to 18c/kg lower and made from 267c to 308c/kg to av 298c/kg for the D4’s. Heavy Dairy cows ranged from 240c to 277c/kg, also selling at lower rates to last sale."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Feeder,C,3,9,-3,346.0,346.0,346,1.0,665.4,665.4,665.4,1557.0,1557.0,1557
Grown Steer,400-500,Feeder,D,1,15,NQ,287.0,287.0,287,NQ,562.7,562.7,562.7,1205.4,1205.4,1205.4
Grown Steer,400-500,Processor,B,2,2,-6,355.0,355.0,355,-5.0,645.5,645.5,645.5,1721.8,1721.8,1721.75
Grown Steer,400-500,Processor,C,2,5,-27,322.0,322.0,322,7.9,585.5,585.5,585.5,1561.7,1561.7,1561.7
Grown Steer,400-500,Processor,C,3,19,-19,329.0,355.0,340.57894736842104,-9.9,620.8,669.8,640.7,1496.9,1597.5,1552.8500205592106
Grown Steer,400-500,Restocker,C,2,14,NQ,316.0,316.0,316,NQ,607.7,607.7,607.7,1469.4,1469.4,1469.3999720982142
Grown Steer,500-600,Feeder,C,3,8,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1815.0,1815.0,1815
Grown Steer,500-600,Processor,B,2,2,NQ,340.0,340.0,340,NQ,618.2,618.2,618.2,1819.0,1819.0,1819
Grown Steer,500-600,Processor,B,3,5,NQ,358.0,358.0,358,NQ,650.9,650.9,650.9,1879.5,1879.5,1879.5
Grown Steer,500-600,Processor,C,2,13,-6,312.0,312.0,312,-13.1,600.0,600.0,600.0,1700.4,1700.4,1700.4000901442307
Grown Steer,500-600,Processor,C,3,37,-46,325.0,340.0,332.1081081081081,-13.8,613.2,629.6,624.4,1748.3,1897.5,1806.5202702702702
Grown Steer,500-600,Processor,C,4,26,-13,340.0,350.0,344.4230769230769,-19.7,627.3,650.9,642.1,1853.0,1995.0,1927.0096153846155
Grown Steer,500-600,Processor,D,2,5,NQ,274.0,274.0,274,NQ,526.9,526.9,526.9,1493.3,1493.3,1493.3
Grown Steer,600-750,Processor,C,3,5,-38,315.0,315.0,315,-11.2,594.3,594.3,594.3,2031.8,2031.8,2031.75
Grown Steer,600-750,Processor,C,4,24,-26,315.0,357.0,337.1666666666667,-22.6,594.3,673.6,635.1,2128.0,2362.5,2307.3458658854165
Grown Heifer,0-540,Feeder,D,2,20,4,287.0,305.0,294.4,-27.6,551.9,586.5,568.9,1248.4,1326.8,1288.014990234375
Grown Heifer,0-540,Feeder,D,3,5,-7,295.0,295.0,295,-13.0,567.3,567.3,567.3,1327.5,1327.5,1327.5
Grown Heifer,0-540,Processor,C,3,12,-18,301.0,305.0,304,-29.7,567.9,575.5,573.6,1399.7,1464.0,1447.9125162760417
Grown Heifer,0-540,Processor,C,4,35,30,310.0,330.0,327,-11.0,584.9,622.6,617.0,1441.5,1765.5,1663.2214285714285
Grown Heifer,0-540,Processor,D,3,24,-37,286.0,290.0,288,-43.0,550.0,557.7,553.8,1287.0,1348.5,1305.0625
Grown Heifer,0-540,Restocker,D,1,19,NQ,245.0,300.0,271.05263157894734,NQ,510.4,588.2,547.3,967.8,1440.0,1191.4473684210527
Grown Heifer,540+,Processor,D,3,3,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1744.0,1744.0,1744
Cows,0-400,Dairy,E,1,23,NQ,126.0,242.0,157.2173913043478,NQ,331.6,636.8,413.7,485.1,847.0,594.2391304347826
Cows,400-520,Dairy,D,1,43,19,228.0,255.0,248,-14.0,518.2,593.0,565.1,1174.2,1313.3,1245.8697311046512
Cows,400-520,Dairy,D,2,8,NQ,266.0,266.0,266,NQ,591.1,591.1,591.1,1183.7,1183.7,1183.699951171875
Cows,400-520,Dairy,E,1,37,2,181.0,254.0,213.67567567567568,-13.2,431.0,590.7,504.2,814.5,1267.5,993.9518845016892
Cows,400-520,Processor,D,1,53,-6,260.0,279.0,267.49056603773585,2.6,530.6,593.6,566.5,1170.0,1436.8,1273.059404481132
