Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 15/04/2025
Comparison Date: 08/04/2025
Total Yarding: 1094 (+107)
Commentary
"There was a few extra cattle yarded this week for a total of 1,094 head, consisting of a good supply of yearlings and a larger penning of cows.  The yarding of young cattle consisted of several runs of well bred and well finished yearling steers and heifers suitable for restockers, backgrounders and feeder buyers.

The few pens of restocker weaner steers sold to a top of 412c, while light restocker and background yearling steers met a strong market selling from 376c to 407c/kg.  Medium weight feeder steers held firm ranging from 376c to 412c, while heavy feeder steers sold to a dearer trend selling from 374c to 424c/kg.  Yearling heifers could not maintain last weeks rates to be 10c easier ranging from 310c to 358c/kg.

There was a limited supply of grown steers, however demand was strong with the steers to process selling from 332c to a top of 360c/kg for the younger steers. Grown heifers held firm selling to 352c/kg.  The yarding of cows consisted of a large percentage of heavy high yielding cows, in a market that was firm to 5c/kg cheaper.  The 3 score cows averaged 278c, while heavy 4 score cows ranged from 280c to 310c/kg.  There was several pens of good quality cows suitable for restockers, with the top pen reaching  297c/kg.  Bulls sold to a dearer trend toping at 326c/kg."
Yearling Heifer,330-400,Restocker,C,2,6,-26,320.0,348.0,329.3333333333333,-38.2,603.8,656.6,621.4,1088.0,1322.4,1166.1333414713542
Yearling Heifer,330-400,Restocker,C,3,3,NQ,338.0,338.0,338,NQ,637.7,637.7,637.7,1183.0,1183.0,1183
Yearling Heifer,400+,Feeder,C,3,36,-6,322.0,356.0,345.27777777777777,-11.8,607.5,671.7,651.5,1384.6,1539.0,1474.7133280436199
Yearling Heifer,400+,Processor,C,3,9,-3,332.0,332.0,332,-15.3,626.4,626.4,626.4,1427.6,1427.6,1427.5999348958333
Vealer Steer,200-280,Restocker,C,2,14,1,392.0,412.0,405.14285714285717,36.2,725.9,763.0,750.3,974.4,1133.0,1040.6428920200892
Vealer Steer,280-330,Restocker,C,2,8,NQ,382.0,406.0,400,NQ,707.4,751.9,740.7,1107.8,1218.0,1190.4500122070312
Vealer Heifer,200-280,Restocker,C,2,32,10,320.0,325.0,323.25,10.9,603.8,613.2,609.9,768.0,810.0,792
Grown Steer,0-400,Restocker,C,2,10,NQ,400.0,400.0,400,NQ,740.7,740.7,740.7,1520.0,1520.0,1520
Grown Steer,400-500,Feeder,C,3,4,NC,360.0,360.0,360,-28.0,666.7,666.7,666.7,1620.0,1620.0,1620
Grown Steer,400-500,Restocker,C,3,2,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1428.0,1428.0,1428
Grown Steer,500-600,Processor,C,4,21,19,338.0,360.0,352.4761904761905,32.5,614.5,654.5,640.9,1757.6,2124.0,1966.7047409784227
Grown Steer,600-750,Processor,C,4,22,14,332.0,354.0,339,-17.0,603.6,643.6,616.4,2158.0,2301.0,2203.5
Grown Heifer,0-540,Feeder,C,2,1,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,1330.0,1330.0,1330
Grown Heifer,0-540,Processor,C,2,6,NQ,268.0,268.0,268,NQ,505.7,505.7,505.7,1072.0,1072.0,1072
Grown Heifer,0-540,Processor,C,3,7,-8,330.0,346.0,336.85714285714283,3.8,622.6,652.8,635.6,1522.4,1716.0,1633.028599330357
Grown Heifer,0-540,Processor,C,4,11,10,295.0,352.0,324.3636363636364,-9.6,556.6,664.2,612.0,1327.5,1760.0,1568.30908203125
Grown Heifer,540+,Processor,C,4,1,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1980.0,1980.0,1980
Cows,0-400,Restocker,D,1,25,NQ,202.0,202.0,202,NQ,459.1,459.1,459.1,767.6,767.6,767.6
Cows,400-520,Processor,D,2,10,-22,240.0,278.0,260.2,12.8,521.7,604.3,565.7,1080.0,1390.0,1221.92001953125
Cows,400-520,Processor,D,3,83,12,269.0,288.0,278.9156626506024,-3.4,560.4,600.0,581.1,1291.2,1487.2,1351.5011912885918
Cows,400-520,Processor,D,4,17,-3,285.0,290.0,286.7647058823529,-11.3,570.0,580.0,573.5,1482.0,1508.0,1491.1764705882354
Cows,400-520,Restocker,D,2,39,-9,256.0,297.0,275.8974358974359,7.5,556.5,645.7,599.8,1152.0,1306.8,1237.5384615384614
Cows,520+,Processor,D,3,5,NQ,278.0,278.0,278,NQ,579.2,579.2,579.2,1501.2,1501.2,1501.2
Cows,520+,Processor,D,4,85,-47,280.0,310.0,299.21176470588233,-4.9,560.0,620.0,596.6,1540.0,2170.0,1807.4505830652574
Bulls,0-450,Processor,C,2,5,NQ,268.0,268.0,268,NQ,496.3,496.3,496.3,1072.0,1072.0,1072
Bulls,600+,Processor,B,2,14,-13,296.0,326.0,311.92857142857144,16.0,538.2,592.7,567.1,2072.0,3087.0,2540.785714285714
