Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 15/04/2025
Comparison Date: 08/04/2025
Total Yarding: 1094 (+107)
Commentary
"There was a few extra cattle yarded this week for a total of 1,094 head, consisting of a good supply of yearlings and a larger penning of cows.  The yarding of young cattle consisted of several runs of well bred and well finished yearling steers and heifers suitable for restockers, backgrounders and feeder buyers.

The few pens of restocker weaner steers sold to a top of 412c, while light restocker and background yearling steers met a strong market selling from 376c to 407c/kg.  Medium weight feeder steers held firm ranging from 376c to 412c, while heavy feeder steers sold to a dearer trend selling from 374c to 424c/kg.  Yearling heifers could not maintain last weeks rates to be 10c easier ranging from 310c to 358c/kg.

There was a limited supply of grown steers, however demand was strong with the steers to process selling from 332c to a top of 360c/kg for the younger steers. Grown heifers held firm selling to 352c/kg.  The yarding of cows consisted of a large percentage of heavy high yielding cows, in a market that was firm to 5c/kg cheaper.  The 3 score cows averaged 278c, while heavy 4 score cows ranged from 280c to 310c/kg.  There was several pens of good quality cows suitable for restockers, with the top pen reaching  297c/kg.  Bulls sold to a dearer trend toping at 326c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,22,3,304.0,364.0,309.45454545454544,-82.2,563.0,674.1,573.1,851.2,1019.2,866.4727283824574
Yearling Steer,280-330,Restocker,C,2,29,NQ,348.0,420.0,377.58620689655174,NQ,644.4,777.8,699.2,1113.6,1386.0,1230.4344777074352
Yearling Steer,330-400,Feeder,C,2,20,4,376.0,412.0,394.2,-24.3,696.3,763.0,730.0,1428.8,1640.0,1529.52001953125
Yearling Steer,330-400,Feeder,C,3,15,8,376.0,427.0,407.2,7.2,696.3,777.8,750.2,1428.8,1708.0,1536.5333333333333
Yearling Steer,330-400,Restocker,C,2,40,-25,352.0,420.0,385.9,-3.3,651.9,777.8,714.6,1292.0,1512.0,1394.2400024414062
Yearling Steer,400+,Feeder,C,2,16,NQ,368.0,424.0,412.75,NQ,681.5,785.2,764.4,1582.4,1856.8,1772.10009765625
Yearling Steer,400+,Feeder,C,3,42,18,374.0,424.0,399.0952380952381,1.2,692.6,785.2,739.1,1533.4,1843.6,1706.509556361607
Yearling Heifer,280-330,Restocker,C,2,8,-16,338.0,338.0,338,-30.0,637.7,637.7,637.7,1115.4,1115.4,1115.4000244140625
Yearling Heifer,330-400,Feeder,C,2,166,97,310.0,358.0,342.0722891566265,-14.5,584.9,675.5,645.4,1116.0,1380.0,1262.9963878953313
Yearling Heifer,330-400,Feeder,C,3,32,19,324.0,359.0,341.3125,-9.0,611.3,677.4,644.0,1292.0,1436.0,1358.875
Yearling Heifer,330-400,Processor,C,3,9,NQ,300.0,322.0,312.22222222222223,NQ,566.0,607.5,589.1,1200.0,1288.0,1248.888888888889
