Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 09/01/2024
Comparison Date: 09/11/2021
Total Yarding: 40 (-25)
Commentary
"There was a very small yarding of 40 cattle at Powranna on Tuesday with most being yearlings. There was limited interest with most being bought by restockers with yearling steers making 200c to 254c and heifers 190c to 240c/kg liveweight.
There weren’t enough grown cattle to quote.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Restocker,C,3,3,2,200.0,246.0,228.66666666666666,-213.3,377.4,455.6,425.8,680.0,960.0,858.2666625976562
Yearling Steer,400+,Restocker,C,3,2,NQ,236.0,254.0,245,NQ,437.0,461.8,449.4,1168.4,1180.0,1174.2000122070312
Yearling Heifer,280-330,Restocker,C,3,1,NQ,200.0,200.0,200,NQ,377.4,377.4,377.4,600.0,600.0,600
Yearling Heifer,330-400,Restocker,C,3,6,NQ,190.0,214.0,206.33333333333334,NQ,365.4,396.3,386.7,703.0,813.2,745.933339436849
Yearling Heifer,400+,Processor,C,3,3,1,210.0,240.0,230,-202.0,403.8,444.4,430.9,861.0,1284.0,1143
Yearling Heifer,400+,Restocker,C,3,5,3,212.0,240.0,230.4,-181.6,392.6,444.4,426.7,869.2,1296.0,1079.0400024414062
Grown Steer,750+,Processor,C,3,1,NQ,130.0,130.0,130,NQ,245.3,245.3,245.3,1040.0,1040.0,1040
Cows,520+,Processor,D,3,2,-30,200.0,200.0,200,-148.9,377.4,377.4,377.4,1230.0,1230.0,1230
