Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 01/08/2024
Comparison Date: 18/07/2024
Total Yarding: 870 (-190)
Commentary
"There was a reduction in supply with wet weather over the weekend contributing. The quality of the offering was very mixed with a greater percentage of plain and secondary quality cattle penned. There was a full field of buyers in attendance. Demand was high through most categories.

Restocker demand was high on the back of the recent rain event with a bumper Spring almost assured. This resulted in the light and medium weight yearling steers selling to a dearer trend with most of the good quality lots showing considerable improvement. Heavy weight feeder steers  also attracted strong competition to also show a dearer trend. Restockers were also active in the heifer classes as were feedlotters, trends dearer. There were limited supplies of well finished heifers suitable to the trade, no comparison from the last sale available.

There were too few good quality grown steers to quote with the majority down on quality and falling into the manufacturing steer category. They sold strongly given the quality on display. There was less competition on the well finished grown heifers with the market easing. A strong cow market saw trends dearer with the heavyweights improving by as much as 13c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,D,3,3,-6,253.0,253.0,253,-3.0,486.5,486.5,486.5,1062.6,1062.6,1062.5999348958333
Grown Heifer,540+,Processor,C,3,3,-5,308.0,308.0,308,-6.3,581.1,581.1,581.1,1694.0,1694.0,1694
Cows,0-400,Processor,D,2,3,NQ,168.0,170.0,168.66666666666666,NQ,373.3,377.8,374.8,621.6,629.0,624.066650390625
Cows,0-400,Processor,D,3,1,NQ,220.0,220.0,220,NQ,468.1,468.1,468.1,814.0,814.0,814
Cows,400-520,Processor,D,2,54,23,190.0,264.0,231.53703703703704,10.2,422.2,586.7,514.5,779.0,1260.0,1042.292593496817
Cows,400-520,Processor,D,3,66,39,255.0,276.0,268.1212121212121,24.8,531.3,587.2,569.3,1211.3,1375.0,1286.316670735677
Cows,400-520,Processor,D,4,2,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,1456.0,1456.0,1456
Cows,400-520,Restocker,D,2,6,-105,160.0,235.0,197.5,-6.2,355.6,522.2,438.9,672.0,1034.0,853
Cows,520+,Processor,D,2,3,NQ,240.0,240.0,240,NQ,533.3,533.3,533.3,1320.0,1320.0,1320
Cows,520+,Processor,D,3,51,-26,252.0,309.0,298.96078431372547,43.1,536.2,643.8,621.8,1335.6,1730.4,1633.8784610523896
Cows,520+,Processor,D,4,28,-37,282.0,315.0,301.89285714285717,8.0,564.0,630.0,608.1,1682.0,2156.0,1893.9285845075335
Bulls,0-450,Processor,C,2,11,NQ,248.0,255.0,251.72727272727272,NQ,470.4,490.4,482.4,841.5,1143.0,937.3181818181819
Bulls,450-600,Processor,C,2,2,NC,252.0,252.0,252,12.0,466.7,466.7,466.7,1386.0,1386.0,1386
Bulls,600+,Processor,B,2,5,NQ,256.0,270.0,264.4,NQ,457.1,482.1,472.1,1894.4,1998.0,1977.0400146484376
Bulls,600+,Processor,B,3,3,1,246.0,255.0,251.66666666666666,-10.8,439.3,455.4,449.4,2167.5,2235.2,2205.566650390625
Bulls,600+,Processor,C,2,5,-4,231.0,270.0,258.8,11.5,427.8,500.0,479.3,1801.8,2024.0,1850.560009765625
Bulls,600+,Processor,D,2,3,NQ,187.0,218.0,207,NQ,359.6,419.2,398.1,1159.4,1728.0,1471.1333414713542
