Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 19/02/2025
Comparison Date: 12/02/2025
Total Yarding: 1403 (+3)
Commentary
"Dearer market over a similar sized yarding of 1403 head. Export cows led the rise, gaining 30c/kg on a week ago. Matching this stronger trend was manufacturing grades likes crossbred steers, with heavy heifers also recoding significant price improvements. Trade and younger yearlings and steers lifted by 10c to 30c/kg, with the most support on the best quality types which remained in limited numbers as the yarding was again dominated by a lot of store or feeder conditioned types. Overall the sale showed a lot more bidding activity with a full buying gallery operating.  The peak of the market was 416c/kg for an outstanding heifer that weighed 430kg and showed exceptional muscle. The average price over all cattle sold in the yarding was 337c/kg lwt, for a lift of 30c/kg on a week ago according to saleyard data.

Some exceptional grainfed Limousin and Charolais sired steers and heifers, showing a lot of carcass shape and yield potential, sold from 380c to a top of 416c/kg. There was seven sales over 400/kg. After this any reasonably bred and presented steers and heifers tracked in a range of 320c to 375c/kg, selling to processors, feedlots and restockers. The average price for the good yearling feeder steers was 362c/kg lwt. There was stronger support in this sale for any heifers that offered fat cover and shape, the better types 340c to 370c/kg for most. However there was still some buyer reluctance towards plainer shaped or bred grassy heifers at 260c to 315c/kg.

Good beef cows consistently sold from 290c to 331c/kg with the main categories averaging over 300c/kg. Leaner and lighter cows 240c to 285c/kg for most, a few very secondary types down to 148c/kg. There was a step-up in price for manufacturing steers, crossbreds with size and reasonable fat cover from 300c to 360c/kg. Dairy steers 240c to 280c/kg on plain quality.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,9,8,348.2,348.2,348.20000542534723,13.2,682.7,682.7,682.7,1100.3,1100.3,1100.3120659722222
Yearling Steer,280-330,Feeder,D,2,7,NQ,327.6,327.6,327.59999302455356,NQ,655.2,655.2,655.2,1081.1,1081.1,1081.0799386160713
Yearling Steer,280-330,Restocker,C,2,13,7,331.6,366.0,345.8615394005409,-3.7,650.2,703.8,676.0,955.0,1092.7,1007.8866154597356
Yearling Steer,330-400,Feeder,C,2,44,27,325.0,374.2,362.27727994051844,8.2,625.0,719.6,697.6,1176.4,1387.9,1323.7671453302557
Yearling Steer,330-400,Processor,B,2,13,NQ,346.6,390.0,383.32307786207934,NQ,641.9,709.1,698.7,1306.7,1540.5,1504.5280010516826
Yearling Steer,330-400,Processor,C,2,4,1,355.0,380.0,366.9000015258789,9.4,645.5,690.9,670.1,1378.2,1520.0,1434.5599975585938
Yearling Steer,330-400,Processor,C,3,7,-13,354.6,375.0,364.82857840401783,-8.6,656.7,694.4,675.6,1351.0,1461.5,1403.7254813058037
Yearling Steer,330-400,Processor,C,4,2,NQ,378.0,378.0,378,NQ,687.3,687.3,687.3,1462.9,1462.9,1462.8599853515625
Yearling Steer,330-400,Processor,D,2,1,NQ,266.0,266.0,266,NQ,501.9,501.9,501.9,957.6,957.6,957.5999755859375
Yearling Steer,330-400,Processor,D,3,5,NQ,320.0,364.2,355.360009765625,NQ,592.6,674.4,658.1,1184.0,1413.1,1367.27685546875
Yearling Steer,330-400,Restocker,C,2,19,-2,322.0,356.2,339.23158344469573,8.9,619.2,677.3,651.6,1122.8,1385.6,1255.360994037829
Yearling Steer,330-400,Restocker,D,2,2,-4,330.0,330.0,330,39.9,647.1,647.1,647.1,1254.0,1254.0,1254
Yearling Steer,400+,Feeder,C,2,22,5,330.0,370.0,347.7909102006392,-2.1,634.6,711.5,665.3,1353.0,1648.9,1432.0336303710938
Yearling Steer,400+,Feeder,D,2,1,NQ,330.0,330.0,330,NQ,647.1,647.1,647.1,1353.0,1353.0,1353
Yearling Steer,400+,Processor,B,2,26,18,390.0,415.6,400.500001173753,2.9,693.0,729.1,707.9,1666.9,2002.7,1847.281484750601
Yearling Steer,400+,Processor,C,2,7,3,348.6,375.0,362.4857177734375,-7.8,645.6,694.4,671.3,1446.7,1629.3,1522.0914132254463
Yearling Steer,400+,Processor,C,3,56,-5,344.0,390.0,371.0071449279785,-2.6,637.0,722.2,681.1,1462.0,1887.6,1729.946552821568
Yearling Steer,400+,Processor,C,4,6,4,375.0,375.0,375,NC,681.8,681.8,681.8,1800.0,1800.0,1800
Yearling Steer,400+,Processor,D,3,1,NQ,355.0,355.0,355,NQ,657.4,657.4,657.4,1657.8,1657.8,1657.8499755859375
Yearling Steer,400+,Restocker,C,2,9,NQ,340.0,360.0,349.44444444444446,NQ,653.8,682.7,669.1,1366.8,1699.2,1523.4833441840278
Yearling Heifer,200-280,Restocker,C,2,2,NQ,336.0,336.0,336,NQ,658.8,658.8,658.8,930.7,930.7,930.719970703125
Yearling Heifer,200-280,Restocker,E,2,1,NQ,245.0,245.0,245,NQ,490.0,490.0,490.0,686.0,686.0,686
Yearling Heifer,280-330,Feeder,D,2,48,NQ,290.6,316.6,306.44167073567706,NQ,581.2,633.2,606.8,895.0,1007.5,974.6101837158203
Yearling Heifer,280-330,Processor,E,2,1,NQ,242.6,242.6,242.60000610351562,NQ,505.4,505.4,505.4,739.9,739.9,739.9299926757812
Yearling Heifer,280-330,Restocker,C,2,24,NQ,320.0,354.2,344.25,NQ,627.5,681.2,663.0,950.4,1129.9,1083.7908426920574
Yearling Heifer,280-330,Restocker,D,2,22,10,262.0,342.2,319.0545543323864,40.7,524.0,671.0,629.6,788.5,1040.3,960.6595958362926
Yearling Heifer,280-330,Restocker,E,2,6,-4,240.0,269.6,258.1333414713542,12.6,480.0,561.7,534.4,744.0,760.3,754.1360270182291
Yearling Heifer,330-400,Feeder,C,2,21,NQ,330.2,350.2,341.0571579706101,NQ,635.0,665.8,651.6,1139.7,1384.8,1165.3016531808037
Yearling Heifer,330-400,Processor,B,3,1,-1,386.6,386.6,386.6000061035156,-5.4,702.9,702.9,702.9,1430.4,1430.4,1430.4200439453125
Yearling Heifer,330-400,Processor,C,2,8,7,359.6,359.6,359.6000061035156,5.4,665.9,665.9,665.9,1312.5,1312.5,1312.5400390625
Yearling Heifer,330-400,Processor,C,3,22,-24,346.0,375.0,357.90909090909093,1.8,640.7,681.8,663.3,1218.0,1462.5,1348.8909135298295
Yearling Heifer,330-400,Processor,C,4,21,16,373.6,373.6,373.6000162760417,5.6,691.9,691.9,691.9,1457.0,1494.4,1489.0629185267858
Yearling Heifer,330-400,Processor,D,2,4,NQ,300.0,322.0,311,NQ,576.9,619.2,598.1,1110.0,1288.0,1199
Yearling Heifer,330-400,Processor,D,3,35,-5,300.0,352.2,331,19.9,576.9,664.5,627.4,1149.2,1405.3,1257.456005859375
Yearling Heifer,330-400,Restocker,C,2,2,1,326.2,332.2,329.20001220703125,9.2,627.3,638.8,633.1,1146.1,1190.6,1168.360107421875
Yearling Heifer,330-400,Restocker,D,2,14,12,289.6,332.2,317.528573172433,52.6,567.8,638.8,621.7,1013.6,1207.5,1159.3250034877233
Yearling Heifer,330-400,Restocker,D,3,4,NQ,334.6,334.6,334.6000061035156,NQ,643.5,643.5,643.5,1154.4,1154.4,1154.3699951171875
Yearling Heifer,400+,Feeder,C,2,2,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,1512.0,1512.0,1512
