Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 10/09/2024
Comparison Date: 03/09/2024
Total Yarding: 2970 (+70)
Commentary
"The numbers remained steady with another large offloading of young cattle. There was a fair supply of heavy grown cattle along with a good selection of cows. Overall the quality of the young cattle was good and condition variable. There were some bigger lines of feeder and restocker cattle along with the usual penning of plainer and secondary quality yearlings. The usual buyers were in attendance.

Light weight steers to restockers sold to a slightly cheaper trend with the medium and heavy weights to restock and feed following a similar trend. The price gap between the light weight heifers and their steer counterparts closed slightly with the heifers selling on  a firm to dearer trend with an improvement in quality. The medium and heavy weights to restock and feed saw trends generally firm with an odd slightly dearer sale.

There were not many well finished heavy grown steers to suit processors with the market firm to cheaper. Most of the price change was quality and age related. There was little change in the well finished grown heifers to process. The cow market showed an improvement under strong demand with all classes selling to a dearer trend. A good supply of heavy bulls sold to dearer trends."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Feeder,C,2,11,4,310.0,310.0,310,NC,596.2,596.2,596.2,1085.0,1085.0,1085
Grown Heifer,0-540,Feeder,C,3,33,-3,322.0,348.0,337.8787878787879,18.6,619.2,656.6,638.6,1353.0,1624.8,1500.2939305160985
Grown Heifer,0-540,Processor,C,2,4,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1727.2,1727.2,1727.199951171875
Grown Heifer,0-540,Processor,C,3,39,7,306.0,345.0,324.1794871794872,5.5,588.5,638.9,617.0,1453.5,1863.0,1565.42434770633
Grown Heifer,0-540,Processor,C,4,1,-16,325.0,325.0,325,4.9,613.2,613.2,613.2,1755.0,1755.0,1755
Grown Heifer,0-540,Processor,D,3,7,-10,305.0,305.0,305,7.5,598.0,598.0,598.0,1525.0,1525.0,1525
Grown Heifer,540+,Processor,C,3,9,6,336.0,356.0,339.1111111111111,9.1,629.6,659.3,645.3,1848.0,2176.0,1909.088894314236
Grown Heifer,540+,Processor,C,4,43,35,328.0,350.0,342.6279069767442,-1.1,630.8,660.4,648.2,1909.5,2040.0,1964.1000011355377
Cows,0-400,Processor,D,2,4,NQ,246.0,246.0,246,NQ,546.7,546.7,546.7,984.0,984.0,984
Cows,400-520,Processor,D,2,30,-8,266.0,288.0,276.2,5.1,591.1,640.0,613.8,1209.6,1330.0,1294.37998046875
Cows,400-520,Processor,D,3,34,-79,283.0,307.0,297.3529411764706,5.8,589.6,614.0,607.4,1238.4,1488.9,1388.7529440487133
Cows,400-520,Processor,D,4,1,NQ,284.0,284.0,284,NQ,604.3,604.3,604.3,1278.0,1278.0,1278
Cows,400-520,Restocker,D,2,23,-6,268.0,268.0,268,10.7,595.6,595.6,595.6,1098.8,1098.8,1098.8000169836957
Cows,520+,Processor,C,4,6,NQ,328.0,328.0,328,NQ,643.1,643.1,643.1,2296.0,2296.0,2296
Cows,520+,Processor,D,3,47,-16,292.0,316.0,309.1489361702128,10.9,608.3,632.0,625.0,1547.6,1764.0,1686.5021401263298
Cows,520+,Processor,D,4,198,13,290.0,333.0,315.6666666666667,6.1,580.0,666.0,632.0,1681.5,2361.6,1877.8999985203598
Cows,520+,Processor,D,5,26,NQ,295.0,316.0,303.7692307692308,NQ,608.0,632.0,613.2,1711.0,2280.0,2104.200007512019
Bulls,0-450,Processor,C,2,31,NQ,240.0,296.0,251.61290322580646,NQ,448.1,548.1,476.5,822.8,1036.0,895.0838583669355
Bulls,450-600,Processor,C,2,29,NQ,255.0,272.0,258.17241379310343,NQ,472.2,503.7,478.1,1326.0,1512.0,1355.5310353246227
Bulls,600+,Processor,B,2,15,13,280.0,299.0,290.2,25.2,500.0,528.6,517.0,2160.0,2842.0,2343.699983723958
Bulls,600+,Processor,B,3,23,10,285.0,300.0,293.5217391304348,12.8,508.9,537.0,525.0,2175.0,2664.0,2469.4391346807065
Bulls,600+,Processor,C,2,13,9,265.0,285.0,273.2307692307692,15.7,490.7,527.8,504.6,1647.0,2044.0,1767.2230788010818
Bulls,600+,Processor,C,3,1,NC,260.0,260.0,260,NC,481.5,481.5,481.5,2288.0,2288.0,2288
