Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Warwick
Report Date: 04/02/2025
Comparison Date: 28/01/2025
Total Yarding: 1046 (-381)
Commentary
"Warwick agents penned 1,046 mixed quality cattle. With the absence of one major processor prices for the export lines could not maintain last weeks rates and eased by 3c to 15c on the cows with heavy bulls the most affected. Heavy feeder lines sold to similar prices to last sale with most restocker yearlings selling to dearer trends for the better quality lines on offer. 

Light weight yearling steers to restockers made 438c to average 388c/kg. Yearling steers over 280kg to background sold to 370c and averaged 353c/kg. Yearling steers to feed for the domestic market made 346c with restockers paying to 366c/kg. Heavy yearling steers to feed averaged 338c and sold to 348c with those to the wholesale meat trade at 389c/kg. Light weight yearling heifers to background averaged 323c with the occasional isolated sale to 502c/kg. Yearling heifers to feed for the domestic market made 350c with those to restockers at 368c to average 332c/kg. Heavy yearling heifers to wholesalers sold to 374c/kg. 

Grown steers to processors made 310c to average 293c/kg. Grown heifers to processors made 296c to average 286/kg. Light weight cows to processors sold to 250c and averaged 238c/kg. Heavy score 2 cows to processors made 268c and averaged 266c with the best heavy cows topping at 280c to average 270c/kg. Light weight bulls to restockers sold to 330c and averaged 297c/kg. Heavy bulls to processors averaged 250c and sold to 268c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Restocker,C,2,2,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,1237.5,1237.5,1237.5
Grown Steer,500-600,Processor,C,2,1,-10,268.0,268.0,268,-0.6,496.3,496.3,496.3,1407.0,1407.0,1407
Grown Steer,500-600,Processor,C,3,12,-10,271.0,310.0,292.5833333333333,-34.9,501.9,574.1,541.8,1422.8,1720.5,1559.3125
Grown Steer,500-600,Restocker,C,2,1,NC,270.0,270.0,270,-30.0,500.0,500.0,500.0,1390.5,1390.5,1390.5
Grown Steer,600-750,Processor,C,3,1,NC,300.0,300.0,300,-8.0,555.6,555.6,555.6,1875.0,1875.0,1875
Grown Heifer,0-540,Feeder,C,2,6,1,202.0,202.0,202,-49.4,374.1,374.1,374.1,979.7,979.7,979.7000325520834
Grown Heifer,0-540,Processor,C,2,15,14,210.0,290.0,253.06666666666666,11.1,388.9,537.0,468.6,1018.5,1391.3,1296.1333333333334
Grown Heifer,540+,Processor,C,2,1,-6,254.0,254.0,254,-19.4,470.4,470.4,470.4,1587.5,1587.5,1587.5
Grown Heifer,540+,Processor,C,3,60,38,270.0,296.0,286.53333333333336,-24.1,500.0,548.1,530.6,1554.0,1919.2,1768.9333414713542
Cows,400-520,Dairy,D,2,1,-4,196.0,196.0,196,-6.2,392.0,392.0,392.0,950.6,950.6,950.5999755859375
Cows,400-520,Processor,D,2,31,-28,171.0,250.0,237.58064516129033,-1.8,356.3,500.0,476.2,829.3,1272.1,1208.172575919859
Cows,400-520,Restocker,D,2,7,-1,128.0,192.0,164.57142857142858,-75.8,266.7,400.0,342.9,620.8,931.2,798.1714215959821
Cows,520+,Feeder,D,2,8,NQ,230.0,230.0,230,NQ,460.0,460.0,460.0,1207.5,1207.5,1207.5
Cows,520+,Processor,D,2,37,-10,240.0,268.0,256.5135135135135,-3.9,480.0,536.0,513.0,1260.0,1443.0,1351.485133815456
Cows,520+,Processor,D,3,33,-19,250.0,269.0,262.8787878787879,-7.4,500.0,538.0,525.8,1353.6,1729.0,1475.2742808948863
Cows,520+,Processor,D,4,23,-22,265.0,280.0,270,-15.0,530.0,560.0,540.0,1567.8,1808.8,1692.8608716881793
Cows,520+,Processor,D,5,2,1,210.0,250.0,230,-10.0,420.0,500.0,460.0,1249.5,1312.5,1281
Calves,80+,Restocker,C,2,4,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,589.0,589.0,589
Bulls,0-450,Feeder,C,2,4,-2,264.0,296.0,278,-84.0,488.9,548.1,514.8,1050.8,1224.0,1116.5
Bulls,0-450,Processor,C,2,1,NQ,296.0,296.0,296,NQ,548.1,548.1,548.1,1258.0,1258.0,1258
Bulls,0-450,Restocker,C,2,13,-21,270.0,330.0,296.46153846153845,-11.8,500.0,611.1,549.0,603.1,1153.7,1011.2384596604568
Bulls,0-450,Restocker,D,2,5,1,198.0,220.0,215.6,-45.4,366.7,407.4,399.3,544.5,781.0,707.3
Bulls,450-600,Dairy,D,2,1,NQ,212.0,212.0,212,NQ,392.6,392.6,392.6,1028.2,1028.2,1028.199951171875
Bulls,450-600,Feeder,C,2,2,NQ,312.0,312.0,312,NQ,577.8,577.8,577.8,1419.6,1419.6,1419.5999755859375
Bulls,450-600,Processor,C,2,1,-1,276.0,276.0,276,-5.0,511.1,511.1,511.1,1614.6,1614.6,1614.5999755859375
Bulls,450-600,Restocker,C,2,2,-1,258.0,302.0,280,22.0,477.8,559.3,518.5,1199.7,1404.3,1302
Bulls,600+,Processor,C,2,1,-2,222.0,222.0,222,-23.0,411.1,411.1,411.1,1387.5,1387.5,1387.5
Bulls,600+,Processor,C,3,9,-10,230.0,268.0,250.33333333333334,-31.4,425.9,496.3,463.6,1598.5,2380.7,2056.4611002604165
Bulls,600+,Processor,D,3,1,NQ,200.0,200.0,200,NQ,370.4,370.4,370.4,1510.0,1510.0,1510
Bulls,600+,Restocker,D,3,3,NQ,220.0,220.0,220,NQ,407.4,407.4,407.4,1749.0,1749.0,1749
