Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 10/12/2024
Comparison Date: 03/12/2024
Total Yarding: 2200 (+380)
Commentary
"The numbers remained up for the last Shepparton sale for 2024. There were 1600 exports and 620 trade cattle, amongst the exports were several lots of heavy well conditioned beef cows that met further rises of 3c to 10c/kg. Buyers were chasing  heavy cattle with a bit more spirit in the competition this sale. 

The young cattle quality remained mixed. Store buyers and feedlotters were more active. The best of the vealers made from 320c to 354c/kg. The B muscled yearling steers made to 375c/kg, those going to processors averaged 349c/kg. The yearling heifers to the trade made from 295c to 374c/kg to average 342c/kg.

Heavy cattle were generally 5c to 15c/kg stronger. The 500 to 600kg steers ranged from 310c to 362c/kg, while the 600kg plus steers made from 310c to 362c/kg. Heavy beef cows made from 280c to 318c/kg. Not many dairy cows about, with the prices between 250c to 290c/kg for those over 520kg/lwt."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Feeder,C,2,14,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1456.0,1456.0,1456
Grown Steer,400-500,Feeder,C,3,9,NQ,317.0,317.0,317,NQ,598.1,598.1,598.1,1426.5,1426.5,1426.5
Grown Steer,400-500,Feeder,D,2,14,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1410.5,1410.5,1410.5
Grown Steer,400-500,Processor,C,3,38,21,292.0,350.0,334.94736842105266,-10.9,550.9,660.4,632.0,1328.6,1692.9,1628.4947060032894
Grown Steer,400-500,Processor,C,4,8,-7,345.0,345.0,345,15.0,650.9,650.9,650.9,1721.6,1721.6,1721.550048828125
Grown Steer,500-600,Processor,C,2,26,9,312.0,313.0,312.5,-17.3,600.0,613.7,606.9,1596.3,1669.2,1632.75
Grown Steer,500-600,Processor,C,3,26,-29,330.0,356.0,338.6923076923077,5.7,622.6,659.3,636.6,1699.5,1904.6,1773.5576923076924
Grown Steer,500-600,Processor,C,4,55,NQ,341.0,362.0,346.4909090909091,NQ,643.4,670.4,650.8,1802.5,2117.7,1913.5563831676136
Grown Steer,500-600,Processor,D,2,12,-1,310.0,310.0,310,11.2,607.8,607.8,607.8,1627.5,1627.5,1627.5
Grown Steer,500-600,Processor,D,3,3,NQ,325.0,325.0,325,NQ,613.2,613.2,613.2,1901.3,1901.3,1901.25
Grown Steer,600-750,Processor,C,4,57,31,310.0,362.0,343.8070175438597,6.3,584.9,683.0,643.2,2036.7,2338.4,2203.325799239309
Grown Steer,600-750,Processor,D,3,16,NQ,310.0,335.0,322.5,NQ,596.2,632.1,614.1,1875.5,2026.8,1951.125
Grown Heifer,0-540,Feeder,C,2,10,NQ,305.0,305.0,305,NQ,586.5,586.5,586.5,1357.3,1357.3,1357.25
Grown Heifer,0-540,Feeder,D,2,10,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1328.0,1328.0,1328
Grown Heifer,0-540,Processor,C,3,14,-27,305.0,325.0,317.85714285714283,-7.9,586.5,613.2,603.7,1479.3,1576.3,1541.607142857143
Grown Heifer,0-540,Processor,C,4,8,2,330.0,330.0,330,5.0,622.6,622.6,622.6,1646.7,1646.7,1646.699951171875
Grown Heifer,0-540,Processor,D,2,30,13,295.0,306.0,300.5,2.9,567.3,588.5,577.9,1460.3,1514.7,1487.475
Grown Heifer,0-540,Processor,D,3,8,-28,335.0,335.0,335,35.3,644.2,644.2,644.2,1490.8,1490.8,1490.75
Grown Heifer,540+,Dairy,D,2,7,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1595.0,1595.0,1595
Cows,400-520,Dairy,D,1,24,8,205.0,239.0,222,-28.0,455.6,531.1,493.3,994.3,1159.2,1076.7000325520833
Cows,400-520,Dairy,E,1,35,NQ,205.0,235.0,226.42857142857142,NQ,488.1,546.5,529.8,1055.8,1139.8,1115.75
Cows,400-520,Processor,D,1,20,6,276.0,278.0,277,28.0,587.2,591.5,589.4,1421.4,1431.7,1426.55
Cows,400-520,Processor,D,2,23,9,251.0,289.0,269.17391304347825,-7.5,545.7,602.1,572.6,1116.9,1442.1,1272.461277173913
Cows,520+,Dairy,D,1,64,20,255.0,275.0,259.96875,5.0,544.7,625.0,583.6,1402.5,1663.8,1464.52734375
Cows,520+,Dairy,D,2,33,NQ,280.0,285.0,283.030303030303,NQ,608.7,619.6,615.3,1567.5,1876.0,1716.2348484848485
Cows,520+,Dairy,D,3,11,6,289.0,289.0,289,-11.0,614.9,614.9,614.9,2051.9,2051.9,2051.8998579545455
Cows,520+,Dairy,E,1,51,NQ,228.0,240.0,232.58823529411765,NQ,530.2,558.1,540.9,1197.0,1392.0,1269.6470588235295
Cows,520+,Processor,C,2,15,NQ,302.0,302.0,302,NQ,580.8,580.8,580.8,1766.7,1766.7,1766.7
Cows,520+,Processor,C,4,51,17,312.0,318.0,314.3921568627451,3.5,588.7,600.0,593.2,1921.3,2591.7,2204.482785692402
Cows,520+,Processor,D,3,58,2,288.0,303.0,296.8448275862069,3.8,553.8,588.2,578.4,1575.0,1954.3,1648.988803205819
Cows,520+,Processor,D,4,94,79,300.0,311.0,306.9255319148936,13.1,576.9,598.1,585.1,1755.0,2219.6,1928.4665839012632
