Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 03/06/2024
Comparison Date: 27/05/2024
Total Yarding: 1144 (-906)
Commentary
"Tamworth numbers reduced by half to 1144 good quality cattle. Trends were competitive for feeders and backgrounders with the regular buyers attending and an extra cow operator.

Steer weaners to 38c/kg dearer to feeders and 12c/kg better to background buyers. The heifer portion purchased by restockers selling to 368.2/kg and 23/kg better. Light yearling feeder steers resulted in a 22/kg rise ranging 324c to 386/kg. Medium weight steers also dearer by 5/kg to top at 390c/kg. Heavy feeder steers to considerably dearer trends selling 304.2c to 390c/kg. Heavy processor steers significantly dearer 352.2c/kg. Light feeder heifers slightly cheaper 276c to 362c/kg with plainer quality through the secondary drafts. Big numbers of medium weight feeder heifers sold 8c/kg dearer the top draft to 356/kg.

Heavy grown heifers marginally dearer 240c to 298c/kg. Light cows to 31/kg better however less quality through the medium drafts saw a cheaper result 118c to 200c/kg. The top of the heavy cows were up to 30c/kg dearer with and an overall average of 5c/kg 235c to 258c/kg. Cows to the paddock 162.2c to 208.2c/kg and ptic cows also to the paddock made 251.2/kg.

Stephen  Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,4,NQ,370.0,370.0,370,NQ,685.2,685.2,685.2,999.0,999.0,999
Yearling Steer,200-280,Restocker,C,2,12,NQ,354.2,370.2,359.53334554036456,NQ,655.9,685.6,665.8,956.3,999.5,970.7400105794271
Yearling Steer,280-330,Feeder,C,2,12,NQ,322.2,384.2,372.5333506266276,NQ,596.7,711.5,689.9,1063.3,1248.1,1179.1333719889324
Yearling Steer,330-400,Feeder,C,2,72,29,260.0,390.0,367.08889855278863,26.5,481.5,722.2,679.8,962.0,1406.0,1320.4122653537327
Yearling Steer,330-400,Processor,C,2,4,1,352.2,352.2,352.20001220703125,94.2,652.2,652.2,652.2,1408.8,1408.8,1408.800048828125
Yearling Steer,400+,Feeder,C,2,30,-37,304.2,390.0,386.0000020345052,41.3,563.3,722.2,714.8,1399.3,1737.9,1660.0140177408855
Yearling Steer,400+,Feeder,C,3,2,-15,302.2,302.2,302.20001220703125,-40.9,559.6,559.6,559.6,1692.3,1692.3,1692.3199462890625
Yearling Steer,400+,Processor,C,3,9,6,280.0,352.2,339.73334418402777,11.4,518.5,652.2,629.1,1680.0,1847.9,1821.9199761284722
Yearling Heifer,200-280,Feeder,C,2,2,NQ,240.0,290.0,265,NQ,452.8,547.2,500.0,624.0,812.0,718
Yearling Heifer,200-280,Restocker,C,2,10,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,768.0,768.0,768
Yearling Heifer,280-330,Feeder,C,2,30,NQ,274.2,360.2,320.9200012207031,NQ,517.4,679.6,605.5,795.2,1152.6,996.581982421875
Yearling Heifer,280-330,Restocker,C,2,1,-22,220.0,220.0,220,-54.0,415.1,415.1,415.1,660.0,660.0,660
Yearling Heifer,330-400,Feeder,C,2,162,-169,300.0,355.2,340.5308706024547,74.8,566.0,670.2,642.5,1080.0,1368.8,1253.2232628339602
Yearling Heifer,400+,Feeder,C,3,9,-49,285.2,342.2,329.53335910373266,11.3,538.1,645.7,621.8,1226.4,1984.8,1474.0266655815972
Yearling Heifer,400+,Processor,C,3,36,31,270.0,328.0,311.78333367241754,-19.4,509.4,618.9,588.3,1458.0,1619.5,1490.9311116536458
Vealer Steer,200-280,Feeder,C,2,130,NQ,340.0,436.2,428.8,NQ,629.6,807.8,794.1,884.0,1134.1,1114.880048076923
Vealer Steer,200-280,Restocker,C,2,31,-50,314.0,390.2,366.29678836945567,3.5,581.5,722.6,678.3,816.4,1053.5,963.7000063004032
Vealer Steer,280-330,Feeder,C,2,9,6,368.2,368.2,368.20000542534723,0.2,681.9,681.9,681.9,1067.8,1067.8,1067.780056423611
Vealer Steer,280-330,Restocker,C,2,21,-57,364.2,408.2,387.2476283482143,28.4,674.4,755.9,717.1,1129.0,1224.6,1179.085704985119
Vealer Heifer,200-280,Feeder,C,2,17,NQ,318.2,338.2,326.435302734375,NQ,600.4,638.1,615.9,891.0,947.0,914.0188706341912
Vealer Heifer,200-280,Processor,C,2,1,-1,188.2,188.2,188.1999969482422,-139.8,355.1,355.1,355.1,432.9,432.9,432.8599853515625
Vealer Heifer,200-280,Restocker,C,2,36,-22,296.2,368.2,331.7000088161892,64.3,558.9,694.7,625.8,651.6,957.3,812.8394538031685
Grown Steer,400-500,Feeder,C,2,6,-22,295.2,295.2,295.20001220703125,-21.9,546.7,546.7,546.7,1357.9,1357.9,1357.9200846354167
Grown Steer,500-600,Processor,C,3,1,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1540.0,1540.0,1540
