Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 10/02/2025
Comparison Date: 03/02/2025
Total Yarding: 1296 (+242)
Commentary
"Numbers were up this week with a high volume of weaners on offer however grown and yearling stock were sparse. Cows were also plentiful and were drafted in large lines often yarded in double pens while Slaughter bulls were in short supply. The buyer gallery had the usual regulars and Live export were active on younger steers, heifers and bulls.
Light weight or plain weaner steers started from 220c to 278c while better steers ranged from 280c to 344c lifting 8/10c/kg.  Weaner heifers also gained 8/10c with light weights selling from 150c to 200c and with better weight and frame sold from 220c to 272c/kg.  The limited yarding of yearlings recorded equal values with steers selling from 160c to 296c depending on quality and yearling heifers returned 200c to 278c/kg.
Grown steers sold from 178c to 300c while grown heifers made 196c to 274c/kg.  Store cows sold from 50c to 200c while medium cows made 190c to 212c and prime cows returned 220c to 252c lifting 5c/kg.
Shipping bulls gained 20c selling from 170c to 342c and the limited supply of Slaughter bulls ranged from 120c to 246c/kg.
Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,200-280,Live Export,C,2,5,NQ,170.0,170.0,170,NQ,340.0,340.0,340.0,442.0,442.0,442
Vealer Heifer,200-280,Live Export,C,3,89,56,180.0,266.0,242.1573033707865,-11.0,346.2,511.5,465.7,416.1,728.8,632.5586499846384
Vealer Heifer,200-280,Live Export,D,3,8,2,240.0,240.0,240,43.3,461.5,461.5,461.5,624.0,624.0,624
Vealer Heifer,200-280,Restocker,C,2,17,9,120.0,180.0,161.76470588235293,53.0,250.0,360.0,326.5,273.6,455.6,344.870600083295
Vealer Heifer,200-280,Restocker,C,3,48,38,180.0,272.0,242.625,-13.4,346.2,523.1,466.6,442.0,699.0,575.8758335113525
Vealer Heifer,280-330,Feeder,C,2,1,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,612.0,612.0,612
Vealer Heifer,280-330,Feeder,C,3,13,11,250.0,268.0,265.84615384615387,-6.2,480.8,515.4,511.2,815.0,879.0,865.4522986778846
Vealer Heifer,280-330,Feeder,D,3,3,-5,210.0,210.0,210,-64.0,403.8,403.8,403.8,598.5,598.5,598.5
Vealer Heifer,280-330,Live Export,C,3,36,33,220.0,272.0,246.44444444444446,8.4,423.1,523.1,473.9,646.8,826.8,733.5427669949001
Vealer Heifer,280-330,Live Export,D,3,6,2,236.0,236.0,236,36.0,453.8,453.8,453.8,715.1,715.1,715.0799967447916
Vealer Heifer,280-330,Processor,C,3,5,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,754.0,754.0,754
Vealer Heifer,280-330,Restocker,C,3,2,-5,150.0,150.0,150,-125.7,288.5,288.5,288.5,493.5,493.5,493.5
Vealer Heifer,330+,Feeder,C,3,10,1,248.0,276.0,267,-3.9,476.9,530.8,513.5,853.1,988.1,936.2639953613282
Vealer Heifer,330+,Live Export,C,3,4,3,266.0,266.0,266,18.0,511.5,511.5,511.5,909.7,909.7,909.719970703125
Grown Steer,0-400,Live Export,D,3,6,NQ,298.0,298.0,298,NQ,562.3,562.3,562.3,1051.9,1051.9,1051.93994140625
Grown Steer,400-500,Feeder,C,3,17,8,260.0,282.0,278,16.0,472.7,512.7,505.5,1203.8,1404.4,1361.792932846967
Grown Steer,400-500,Feeder,D,3,12,NQ,270.0,300.0,297.5,NQ,509.4,566.0,561.3,1231.2,1251.0,1249.3499959309895
Grown Steer,400-500,Live Export,D,3,5,NQ,256.0,256.0,256,NQ,483.0,483.0,483.0,1111.0,1111.0,1111.0400390625
Grown Steer,400-500,Processor,C,3,2,NC,208.0,228.0,218,-64.0,378.2,414.5,396.4,881.9,1053.4,967.6399841308594
Grown Steer,400-500,Processor,D,2,3,NQ,178.0,212.0,200.66666666666666,NQ,356.0,407.7,390.5,761.8,905.2,857.4400024414062
Grown Steer,400-500,Processor,D,3,3,NQ,220.0,262.0,234,NQ,415.1,494.3,441.5,972.4,1226.2,1096.586669921875
Grown Steer,500-600,Feeder,C,3,9,3,284.0,284.0,284,-6.0,516.4,516.4,516.4,1448.4,1448.4,1448.4000651041667
Grown Steer,500-600,Live Export,D,3,5,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,1505.2,1505.2,1505.2
Grown Steer,500-600,Processor,C,3,2,-5,270.0,270.0,270,-3.1,490.9,490.9,490.9,1371.6,1393.2,1382.3999633789062
Grown Steer,600-750,Processor,C,3,1,-7,204.0,204.0,204,-69.0,370.9,370.9,370.9,1513.7,1513.7,1513.6800537109375
Grown Heifer,0-540,Feeder,C,3,13,3,258.0,266.0,260.46153846153845,3.1,496.2,511.5,500.9,1153.3,1253.2,1191.479999248798
Grown Heifer,0-540,Feeder,D,3,7,NQ,234.0,234.0,234,NQ,450.0,450.0,450.0,959.4,959.4,959.4000418526786
Grown Heifer,0-540,Processor,D,3,15,14,204.0,274.0,234.4,-7.6,408.0,548.0,468.8,750.7,1233.0,955.0239827473958
Grown Heifer,540+,Processor,C,3,5,-1,236.0,260.0,248.8,-11.2,453.8,500.0,478.5,1283.8,1713.6,1491.7440185546875
Grown Heifer,540+,Processor,C,4,1,NQ,196.0,196.0,196,NQ,392.0,392.0,392.0,1491.6,1491.6,1491.56005859375
Cows,0-400,Feeder,D,2,10,5,160.0,170.0,168,NC,333.3,369.6,362.3,555.2,652.8,633.2799926757813
Cows,0-400,Processor,D,2,4,-11,166.0,166.0,166,27.3,345.8,345.8,345.8,546.1,546.1,546.1400146484375
Cows,0-400,Processor,D,3,13,NQ,214.0,214.0,214,NQ,445.8,445.8,445.8,802.5,802.5,802.5
Cows,0-400,Restocker,D,2,9,8,174.0,200.0,188.44444444444446,116.4,362.5,416.7,392.6,676.9,800.0,745.2711046006945
Cows,0-400,Restocker,D,3,7,NQ,202.0,202.0,202,NQ,420.8,420.8,420.8,733.3,733.3,733.2600446428571
Cows,400-520,Feeder,D,2,15,-3,188.0,202.0,194.4,12.5,391.7,420.8,405.0,793.8,965.6,860.482666015625
Cows,400-520,Feeder,D,3,21,NQ,200.0,220.0,210.85714285714286,NQ,416.7,458.3,439.3,930.0,998.4,983.6286039806548
Cows,400-520,Processor,D,2,5,-1,100.0,188.0,117.6,-34.7,217.4,391.7,252.2,496.0,940.0,584.8
Cows,400-520,Processor,D,3,97,42,190.0,252.0,211.1443298969072,0.7,388.0,504.0,430.1,807.8,1170.7,1012.9855717924453
Cows,520+,Feeder,D,3,6,-3,214.0,214.0,214,14.0,445.8,445.8,445.8,1183.4,1183.4,1183.4200846354167
Cows,520+,Processor,D,3,137,4,198.0,246.0,228.45255474452554,-8.0,400.0,492.0,458.2,1081.1,1741.7,1392.433862839302
Bulls,0-450,Live Export,C,3,87,10,170.0,342.0,260.6896551724138,-3.2,309.1,621.8,474.9,364.6,1134.5,706.5951643318965
Bulls,0-450,Live Export,D,3,8,6,240.0,294.0,276.25,58.3,452.8,554.7,521.2,609.6,960.0,885.3749847412109
Bulls,0-450,Processor,C,3,2,1,220.0,220.0,220,-40.0,400.0,400.0,400.0,913.0,913.0,913
Bulls,450-600,Live Export,C,3,7,1,240.0,254.0,248,14.0,436.4,461.8,450.9,1135.0,1407.2,1205.2657121930804
Bulls,450-600,Live Export,D,3,7,NQ,248.0,250.0,248.28571428571428,NQ,467.9,471.7,468.5,1290.0,1388.8,1321.5428641183037
Bulls,450-600,Processor,D,3,1,NQ,222.0,222.0,222,NQ,418.9,418.9,418.9,1176.6,1176.6,1176.5999755859375
Bulls,600+,Live Export,D,3,1,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,1761.6,1761.6,1761.5999755859375
Bulls,600+,Processor,C,2,1,-1,120.0,120.0,120,-51.0,230.8,230.8,230.8,878.4,878.4,878.4000244140625
Bulls,600+,Processor,C,3,3,-6,180.0,246.0,208.66666666666666,-16.4,327.3,447.3,379.4,1620.0,2142.0,1901.8000081380208
Bulls,600+,Processor,D,3,1,NQ,228.0,228.0,228,NQ,430.2,430.2,430.2,1892.4,1892.4,1892.4000244140625
