Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 14/02/2025
Comparison Date: 05/02/2025
Total Yarding: 2156 (+908)
Commentary
"After a few days to dry out and the All breeds bull sale early this week, CQLX Gracemere vendors penned an increased yarding of 2156 head - 908 more than the previous sale. Quality was mixed throughout. However there several small runs of well-bred cattle throughout the sale. Price variations throughout the sale were mostly related to the quality and condition of the stock on offer. The panel of buyers for all categories was similar to last week’s sale.

Yearling steers in light weight, well-bred pens, made to 453c/kg to average 401c/kg. Medium weight lots averaged 357c to 393c/kg for well-bred lines. Light weight pens of “C” butt yearling heifers topped at 331c/kg, to average 289c to 296c/kg. Well-bred medium weight yearling heifers sold to 339c/kg, recording averages from 289c to 307c/kg.

Feeders paid to 399c/kg for grown steers, averaging 366c to 371c/kg for best-bred runs. A few bullocks and grown steers to processors made 353c to 357c/kg. Grown heifers to trade buyers averaged 279c to 299c/kg, with sales topping at 351c/kg. Feeders averaged 321c/kg with sales to 357c/kg for good quality, euro cross heifers.

Strong restocker interest in plain conditioned cows saw them make to 283c/kg and average 240c to 261c/kg. Heavy, four score cows averaged 280c/kg with a 300c/kg top. Heavy bull numbers were boosted by a number of passed in bull sale lots, which went to processors to average 273c/kg and top at 279c/kg.

A mixed offering of small lines of cows and calves sold from $1,175 to $1,720 per unit, although a few foster mother dairy cows made from $2,000 to $2,300.
Reporter: Richard Thomson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,1,2,NQ,351.0,351.0,351,NQ,675.0,675.0,675.0,614.3,614.3,614.25
Yearling Steer,0-200,Restocker,D,2,7,-2,435.0,435.0,435,132.3,836.5,836.5,836.5,826.5,826.5,826.5
Yearling Steer,200-280,Restocker,C,2,190,96,360.0,445.0,401.08947368421053,-7.3,692.3,855.8,771.3,857.8,1157.0,1054.3484246504934
Yearling Steer,200-280,Restocker,D,1,14,NQ,280.0,411.0,364.2142857142857,NQ,538.5,790.4,700.4,616.0,904.2,801.2714494977679
Yearling Steer,200-280,Restocker,D,2,110,4,22.0,453.0,347.9818181818182,-30.9,42.3,871.2,669.2,58.3,1019.3,897.4549907337536
Yearling Steer,280-330,Feeder,C,2,32,22,361.0,403.0,382.25,8.9,694.2,775.0,735.1,1119.1,1277.3,1214.4499816894531
Yearling Steer,280-330,Feeder,D,2,1,NQ,385.0,385.0,385,NQ,740.4,740.4,740.4,1270.5,1270.5,1270.5
Yearling Steer,280-330,Processor,D,2,1,NQ,261.0,261.0,261,NQ,501.9,501.9,501.9,783.0,783.0,783
Yearling Steer,280-330,Restocker,C,2,174,153,357.0,415.0,389.7816091954023,-38.7,686.5,798.1,749.6,1088.8,1336.5,1188.8939643947558
Yearling Steer,280-330,Restocker,D,2,14,-35,323.0,323.0,323,-28.5,621.2,621.2,621.2,936.7,936.7,936.6999860491071
Yearling Steer,330-400,Feeder,C,2,37,22,381.0,405.0,393,63.3,732.7,778.8,755.8,1356.8,1466.3,1434.8297086148648
Yearling Steer,330-400,Processor,D,2,8,NQ,269.0,269.0,269,NQ,517.3,517.3,517.3,928.0,928.0,928.0499877929688
Yearling Steer,330-400,Restocker,C,2,39,-8,327.0,399.0,357.43589743589746,-11.4,628.8,767.3,687.4,1128.2,1536.2,1294.402572240585
Yearling Steer,330-400,Restocker,D,2,1,-10,297.0,297.0,297,-62.0,571.2,571.2,571.2,1039.5,1039.5,1039.5
