Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 18/03/2025
Comparison Date: 11/03/2025
Total Yarding: 3042 (+708)
Commentary
"There were approximately 2700 export and 340 young cattle penned representing an increase of 700 head week-on-week. The usual buying group was present and operating in a dearer market in places. Quality declined with fewer prime lots, less finish in the trade and a larger proportion of cows. Finished trade cattle eased on some sales with quality an issue while medium weight feeder cattle sold up to 30c/kg dearer. Grown steers to feed gained 13c/kg while bullocks held firm. Heavy heifers eased slightly. Manufacturing steers lifted 5c to 8c/kg. Heavy beef cows sold firm while leaner grades eased 5c to 10c/kg and more on some sales. Heavy bulls lifted 10c/kg. 

Vealers sold from 280c to 394c/kg. Yearling trade steers made between 350c and 395c/kg. Yearling heifers to the trade sold between 310c and 358c/kg. Grown steers made from 340c to 392c/kg. Bullocks sold from 365c to 410c/kg. Heavy grown heifers made between 325c and 370c/kg. 

Most light and medium weight cows sold between 172c and 278c/kg. Heavy weight cows made mostly from 238c to 324c/kg. Heavy bulls sold from 285c to 364c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,330+,Processor,C,2,2,NC,320.0,340.0,330,-14.0,581.8,618.2,600.0,1200.0,1224.0,1212
Vealer Steer,330+,Processor,C,3,9,4,340.0,365.0,354.3333333333333,-20.7,607.1,651.8,632.7,1292.0,1350.0,1332.3555501302083
Vealer Steer,330+,Restocker,C,2,4,-2,320.0,320.0,320,-17.3,581.8,592.6,589.9,1120.0,1200.0,1140
Vealer Heifer,280-330,Feeder,C,2,6,NC,310.0,310.0,310,-30.0,563.6,563.6,563.6,1007.5,1007.5,1007.5
Vealer Heifer,280-330,Processor,C,2,7,NQ,290.0,320.0,307.14285714285717,NQ,527.3,581.8,558.4,942.5,1040.0,998.2142857142857
Vealer Heifer,280-330,Processor,C,3,3,NQ,355.0,355.0,355,NQ,633.9,633.9,633.9,1171.5,1171.5,1171.5
Vealer Heifer,280-330,Processor,D,2,2,-2,240.0,310.0,275,-15.0,500.0,574.1,537.0,780.0,1007.5,893.75
Vealer Heifer,330+,Feeder,B,2,11,NQ,350.0,350.0,350,NQ,625.0,625.0,625.0,1260.0,1260.0,1260
Vealer Heifer,330+,Processor,B,2,9,3,354.0,391.0,358.1111111111111,3.1,632.1,651.7,634.3,1274.4,1329.4,1280.5111355251736
Vealer Heifer,330+,Processor,B,3,6,4,355.0,368.0,363.6666666666667,-6.3,612.1,634.5,627.0,1278.0,1472.0,1419.1666666666667
Vealer Heifer,330+,Processor,C,3,6,-22,340.0,364.0,351.3333333333333,-4.1,607.1,650.0,631.1,1207.5,1456.0,1296
Vealer Heifer,330+,Processor,D,2,4,1,316.0,316.0,316,16.0,596.2,596.2,596.2,1074.4,1074.4,1074.4000244140625
Vealer Heifer,330+,Processor,D,3,12,NQ,315.0,352.0,321,NQ,583.3,651.9,594.4,1120.0,1196.8,1131.066670735677
Vealer Heifer,330+,Restocker,C,2,1,NQ,280.0,280.0,280,NQ,509.1,509.1,509.1,1008.0,1008.0,1008
Manufacturing Steer,0-540,Dairy,D,1,1,NQ,256.0,256.0,256,NQ,533.3,533.3,533.3,1344.0,1344.0,1344
Manufacturing Steer,0-540,Processor,D,2,1,-3,290.0,290.0,290,5.0,580.0,580.0,580.0,1566.0,1566.0,1566
Manufacturing Steer,0-540,Restocker,D,1,18,NQ,314.0,320.0,315.6666666666667,NQ,654.2,666.7,657.6,1520.0,1570.0,1556.111111111111
Manufacturing Steer,0-540,Restocker,D,2,4,NQ,300.0,320.0,307.5,NQ,596.2,615.4,602.9,1500.0,1627.5,1536.875
Manufacturing Steer,540+,Dairy,D,1,19,-9,280.0,292.0,286.7894736842105,-3.2,566.0,584.0,580.9,1750.0,2044.0,1918.8684210526317
Manufacturing Steer,540+,Dairy,D,2,93,10,300.0,334.0,317.76344086021504,7.0,576.9,645.1,611.5,1974.0,2497.5,2259.7580645161293
Manufacturing Steer,540+,Dairy,D,3,9,NQ,287.0,287.0,287,NQ,551.9,551.9,551.9,2296.0,2296.0,2296
Manufacturing Steer,540+,Dairy,E,2,1,-14,280.0,280.0,280,-11.2,595.7,595.7,595.7,1610.0,1610.0,1610
Manufacturing Steer,540+,Feeder,D,2,6,NQ,325.0,346.0,339,NQ,625.0,665.4,651.9,1787.5,1989.5,1922.1666666666667
Manufacturing Steer,540+,Processor,C,2,3,-1,355.0,355.0,355,21.0,657.4,657.4,657.4,2485.0,2485.0,2485
Manufacturing Steer,540+,Processor,D,1,6,NQ,276.0,312.0,298,NQ,575.0,624.0,603.7,1518.0,1989.0,1793
Manufacturing Steer,540+,Processor,D,2,85,43,310.0,357.0,340.90588235294115,7.5,596.2,673.6,648.9,1815.0,2550.0,2234.609409466912
Manufacturing Steer,540+,Processor,D,3,78,9,340.0,374.0,362.3076923076923,5.3,629.6,692.6,673.6,2040.0,2790.0,2452.121794871795
Manufacturing Steer,540+,Processor,D,4,7,1,312.0,312.0,312,31.2,577.8,577.8,577.8,2652.0,2652.0,2652
Manufacturing Steer,540+,Restocker,D,1,2,NQ,270.0,270.0,270,NQ,562.5,562.5,562.5,1485.0,1485.0,1485
Manufacturing Steer,540+,Restocker,D,2,8,NQ,290.0,322.0,298,NQ,557.7,619.2,573.1,1667.5,2093.0,1773.875
Grown Steer,400-500,Feeder,C,2,6,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,1900.0,1900.0,1900
Grown Steer,400-500,Processor,C,2,3,NQ,362.0,362.0,362,NQ,670.4,670.4,670.4,1810.0,1810.0,1810
Grown Steer,500-600,Feeder,C,2,59,36,340.0,387.0,376.3050847457627,13.2,641.5,716.7,697.3,1836.0,2310.0,2160.741525423729
Grown Steer,500-600,Feeder,C,3,24,NQ,387.0,392.0,389.5,NQ,703.6,712.7,708.2,2225.3,2352.0,2288.625
Grown Steer,500-600,Processor,B,3,2,NQ,359.0,376.0,367.5,NQ,619.0,648.3,633.6,1884.8,2068.0,1976.375
Grown Steer,500-600,Processor,C,2,21,8,340.0,372.0,348.95238095238096,-10.7,629.6,688.9,646.2,1870.0,2139.0,1936.952380952381
Grown Steer,500-600,Processor,C,3,10,7,390.0,390.0,390,25.3,709.1,709.1,709.1,2242.5,2242.5,2242.5
Grown Steer,500-600,Processor,D,3,2,NQ,370.0,370.0,370,NQ,685.2,685.2,685.2,2220.0,2220.0,2220
Grown Steer,600-750,Feeder,C,2,39,NQ,384.0,397.0,389.15384615384613,NQ,711.1,735.2,720.7,2496.0,2612.3,2566.7115384615386
Grown Steer,600-750,Feeder,C,3,9,NQ,375.0,375.0,375,NQ,694.4,694.4,694.4,2343.8,2343.8,2343.75
Grown Steer,600-750,Processor,B,2,3,NQ,365.0,365.0,365,NQ,629.3,629.3,629.3,2372.5,2372.5,2372.5
Grown Steer,600-750,Processor,B,3,4,3,365.0,386.0,380.75,-7.3,629.3,665.5,656.5,2702.0,2737.5,2710.875
Grown Steer,600-750,Processor,C,4,108,41,380.0,410.0,401.6203703703704,0.8,690.9,732.1,722.1,2470.0,3060.0,2816.2800925925926
Grown Steer,750+,Processor,C,4,6,-7,385.0,410.0,393.3333333333333,-4.3,687.5,732.1,702.4,3272.5,3280.0,3275
Grown Heifer,0-540,Dairy,D,1,16,NQ,220.0,270.0,232.5,NQ,478.3,562.5,499.3,968.0,1215.0,1029.75
Grown Heifer,0-540,Dairy,D,2,8,NQ,244.0,278.0,269.5,NQ,508.3,579.2,561.5,1220.0,1459.5,1399.625
Grown Heifer,0-540,Processor,B,2,1,NQ,338.0,338.0,338,NQ,603.6,603.6,603.6,1825.2,1825.2,1825.199951171875
Grown Heifer,0-540,Processor,D,2,7,1,318.0,318.0,318,24.0,611.5,611.5,611.5,1590.0,1590.0,1590
Grown Heifer,0-540,Processor,D,3,4,NQ,330.0,340.0,337.5,NQ,629.6,634.6,630.9,1176.4,1650.0,1294.800048828125
Grown Heifer,0-540,Restocker,D,2,3,NQ,262.0,290.0,280.6666666666667,NQ,524.0,604.2,577.4,1310.0,1450.0,1403.3333333333333
Grown Heifer,540+,Processor,B,2,1,NQ,335.0,335.0,335,NQ,598.2,598.2,598.2,2010.0,2010.0,2010
Grown Heifer,540+,Processor,C,2,1,NC,370.0,370.0,370,40.0,685.2,685.2,685.2,2127.5,2127.5,2127.5
Grown Heifer,540+,Processor,C,3,1,NQ,355.0,355.0,355,NQ,645.5,645.5,645.5,2130.0,2130.0,2130
Grown Heifer,540+,Processor,D,2,4,3,300.0,308.0,304,-6.0,576.9,616.0,596.5,1680.0,1771.0,1736.75
Grown Heifer,540+,Processor,D,3,84,-12,325.0,362.0,347.7857142857143,-3.6,625.0,688.5,650.2,1815.0,2236.0,2033.7738095238096
Grown Heifer,540+,Processor,D,4,13,9,300.0,328.0,325.84615384615387,17.8,576.9,630.8,626.6,1950.0,1968.0,1966.6153846153845
Cows,0-400,Dairy,D,1,11,NQ,222.0,222.0,222,NQ,504.5,504.5,504.5,888.0,888.0,888
Cows,0-400,Dairy,E,1,40,11,130.0,175.0,146.875,2.4,342.1,460.5,384.8,487.5,680.0,553.96875
Cows,0-400,Processor,D,1,5,NQ,210.0,212.0,211.2,NQ,477.3,504.8,493.8,763.2,798.0,777.12001953125
Cows,0-400,Processor,E,1,19,14,180.0,190.0,186.31578947368422,-28.7,450.0,452.4,451.5,684.0,760.0,716
Cows,0-400,Restocker,E,1,71,14,90.0,179.0,145.77464788732394,-6.6,236.8,426.2,369.6,337.5,680.2,529.7436592209507
Cows,400-520,Dairy,E,1,123,34,172.0,225.0,203.9430894308943,-29.8,409.5,535.7,491.4,860.0,1075.2,953.3032504446138
Cows,400-520,Dairy,E,2,10,-19,230.0,250.0,236.2,-15.8,511.1,555.6,524.9,1092.5,1220.0,1134
Cows,400-520,Feeder,D,1,15,NQ,268.0,268.0,268,NQ,595.6,595.6,595.6,1273.0,1273.0,1273
Cows,400-520,Processor,D,1,88,83,235.0,278.0,259.46590909090907,-2.5,522.2,604.4,570.7,1064.8,1390.0,1253.0250133167613
Cows,400-520,Processor,D,2,3,-11,260.0,318.0,298.6666666666667,32.5,553.2,662.5,626.1,1300.0,1590.0,1493.3333333333333
Cows,400-520,Processor,D,3,15,14,270.0,270.0,270,-46.0,551.0,551.0,551.0,1350.0,1350.0,1350
Cows,400-520,Processor,E,1,61,NQ,190.0,246.0,217.63934426229508,NQ,452.4,571.4,516.7,855.0,1168.5,985
Cows,400-520,Restocker,D,2,6,NQ,240.0,270.0,260,NQ,510.6,562.5,545.2,1080.0,1350.0,1260
Cows,400-520,Restocker,E,1,48,-14,230.0,248.0,244.27083333333334,40.9,522.7,563.6,555.2,966.0,1178.0,1155.015625
Cows,520+,Dairy,D,1,107,32,238.0,272.0,253.0841121495327,-7.1,526.1,591.3,552.5,1391.5,1657.6,1512.9355103679907
Cows,520+,Dairy,D,2,86,35,267.0,308.0,285.0581395348837,5.9,562.5,641.7,594.5,1602.0,2232.0,1992
Cows,520+,Dairy,E,1,99,9,211.0,258.0,230.08080808080808,-8.6,495.5,586.4,528.3,1160.5,1483.5,1294.5990076546718
Cows,520+,Processor,B,2,1,NQ,340.0,340.0,340,NQ,586.2,586.2,586.2,2550.0,2550.0,2550
Cows,520+,Processor,D,1,68,48,260.0,277.0,268.52941176470586,7.6,565.2,613.3,588.9,1407.0,1575.5,1471.4794060202205
Cows,520+,Processor,D,2,160,65,250.0,290.0,275.4875,-9.5,531.9,604.2,576.8,1344.0,1957.5,1562.5409240722656
Cows,520+,Processor,D,3,72,38,290.0,326.0,301.97222222222223,-5.6,591.8,652.0,610.5,1595.0,2325.0,1877.6979166666667
Cows,520+,Processor,D,4,165,53,298.0,324.0,313.7090909090909,0.5,596.0,632.0,616.4,1800.0,2592.0,2113.0878787878787
Cows,520+,Processor,D,5,2,-7,285.0,306.0,295.5,-18.9,570.0,612.0,591.0,1852.5,2142.0,1997.25
Cows,520+,Processor,E,1,14,6,264.0,264.0,264,32.0,600.0,600.0,600.0,1386.0,1386.0,1386
Cows,520+,Restocker,C,2,1,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,1620.0,1620.0,1620
Bulls,0-450,Dairy,D,2,3,NQ,218.0,268.0,234.66666666666666,NQ,454.2,558.3,488.9,872.0,1206.0,983.3333333333334
Bulls,0-450,Processor,C,1,4,NQ,250.0,253.0,252.25,NQ,480.8,486.5,485.1,1012.0,1125.0,1040.25
Bulls,0-450,Processor,C,2,2,NQ,265.0,265.0,265,NQ,490.7,490.7,490.7,848.0,848.0,848
Bulls,0-450,Restocker,C,1,13,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,825.0,825.0,825
Bulls,450-600,Processor,C,1,4,NQ,275.0,280.0,276.25,NQ,509.3,528.3,514.0,1375.0,1680.0,1451.25
Bulls,450-600,Processor,C,2,6,NC,280.0,322.0,312,8.7,518.5,585.5,568.9,1330.0,1926.0,1773.9583333333333
Bulls,450-600,Processor,D,2,2,1,295.0,306.0,300.5,5.5,556.6,577.4,567.0,1683.0,1770.0,1726.5
Bulls,600+,Dairy,D,2,3,-9,285.0,316.0,298.3333333333333,0.6,548.1,596.2,569.9,1995.0,2528.0,2193.6666666666665
Bulls,600+,Processor,B,2,8,-5,329.0,364.0,343.5,12.7,567.2,606.7,584.6,2210.0,3276.0,2774.6875
Bulls,600+,Processor,C,2,17,1,315.0,336.0,321.94117647058823,11.7,562.5,596.4,574.9,2047.5,2737.0,2386.794117647059
Bulls,600+,Processor,C,3,8,5,320.0,340.0,333.25,19.9,551.7,586.2,574.6,2352.0,2880.0,2726.5
Bulls,600+,Processor,D,2,1,NQ,314.0,314.0,314,NQ,592.5,592.5,592.5,2198.0,2198.0,2198
