Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 28/10/2024
Comparison Date: 21/10/2024
Total Yarding: 1448 (+565)
Commentary
"There was a greater volume of supplies today.  Good runs of mostly well-bred local  weaners, yearlings and grown cattle were presented as well as pastoral stocks covering all category’s from well weighted grown steers and heifers and big lines of pastoral bulls down to clean up store calves of all sexs. Values remain similar with most regulars present in the buyer gallery and Live export active on Pastoral steers and bulls.

The majority of weaner steers sold from 300c to 352c to average 343c and the best weaner heifers from 200c to 294c/kg.   Lighter yearling steers in store and feedlot condition made 220c to 320c and with more weight up to 366c/kg. Plain yearling heifers ranged from 168c to 234c and with bigger frame and cover from 242c to 276c/kg.

Pastoral lightweight steer calves started from 168c up to 250c with bigger frame and cover.  Heavier pastoral heifer calves were making 192c to 244c however plainer heifers lacking frame size and weight were again difficult to offload ranging 60c to 160c/kg.

Grown steers returned 220c to 300c while most grown heifers sold from 200c up to 308c/kg.  Store and feeder cows ranged from 82c to 170c while medium cows returned 184c to 206c and prime cows realized 222c/kg.

Shipping bulls ranged from 180c to 276c and local slaughter bulls lifted slightly to return 180c to 214c/kg.
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,0-200,Pastoral Cattle,D,2,24,NQ,90.0,168.0,145.25,NQ,180.0,350.0,300.4,177.3,319.2,277.81251525878906
Vealer Heifer,0-200,Pastoral Cattle,D,3,5,NQ,100.0,100.0,100,NQ,192.3,192.3,192.3,193.0,193.0,193
Vealer Heifer,0-200,Restocker,C,3,7,NQ,294.0,294.0,294,NQ,565.4,565.4,565.4,538.0,538.0,538.02001953125
Vealer Heifer,200-280,Feeder,D,3,2,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,411.2,411.2,411.20001220703125
Vealer Heifer,200-280,Pastoral Cattle,D,2,31,NQ,100.0,170.0,156.4516129032258,NQ,200.0,354.2,324.3,251.0,367.2,344.7096774193548
Vealer Heifer,200-280,Restocker,C,2,3,2,128.0,128.0,128,78.0,256.0,256.0,256.0,322.6,322.6,322.55999755859375
Vealer Heifer,200-280,Restocker,C,3,25,20,142.0,268.0,251.44,31.4,273.1,515.4,483.5,359.3,565.5,539.80958984375
Vealer Heifer,200-280,Restocker,D,3,1,NQ,100.0,100.0,100,NQ,192.3,192.3,192.3,218.0,218.0,218
Vealer Heifer,280-330,Feeder,C,3,4,-10,240.0,270.0,262.5,20.4,461.5,519.2,504.8,763.2,877.5,848.9250030517578
Manufacturing Steer,540+,Processor,C,3,2,NQ,230.0,250.0,240,NQ,418.2,454.5,436.4,1978.0,2275.0,2126.5
Manufacturing Steer,540+,Processor,D,3,3,NQ,150.0,220.0,193.33333333333334,NQ,283.0,415.1,364.8,1035.0,1654.4,1369.6666666666667
Grown Steer,0-400,Feeder,C,3,1,-2,220.0,220.0,220,-20.0,415.1,415.1,415.1,875.6,875.6,875.5999755859375
Grown Steer,400-500,Feeder,C,3,2,NQ,230.0,270.0,250,NQ,434.0,490.9,462.4,1048.8,1128.6,1088.7000122070312
Grown Steer,400-500,Live Export,D,3,4,-32,230.0,230.0,230,-30.7,434.0,434.0,434.0,1071.8,1071.8,1071.800048828125
Grown Steer,400-500,Processor,C,3,26,22,260.0,300.0,272.3076923076923,-27.7,472.7,545.5,495.1,1102.4,1398.0,1193.3538536658655
Grown Steer,400-500,Processor,D,3,2,NQ,160.0,180.0,170,NQ,301.9,339.6,320.8,652.8,759.6,706.1999816894531
Grown Steer,500-600,Processor,C,3,13,12,240.0,244.0,243.07692307692307,19.1,436.4,443.6,442.0,1308.0,1324.8,1318.5538799579326
Grown Steer,500-600,Processor,D,3,3,-14,162.0,180.0,174,-100.0,305.7,339.6,328.3,858.6,925.2,903
Grown Steer,600-750,Processor,C,3,2,-3,234.0,250.0,242,1.2,425.5,454.5,440.0,1628.6,1745.0,1686.8200073242188
Grown Heifer,0-540,Feeder,C,2,2,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,607.5,607.5,607.5
Grown Heifer,0-540,Feeder,C,3,32,21,168.0,222.0,207.5625,-11.3,336.0,426.9,400.8,604.8,1104.4,844.5237712860107
Grown Heifer,0-540,Processor,C,3,28,4,200.0,308.0,262.07142857142856,-21.9,384.6,592.3,504.0,902.0,1530.8,1244.084263392857
Grown Heifer,0-540,Processor,D,3,13,NQ,218.0,218.0,218,NQ,419.2,419.2,419.2,928.7,928.7,928.6799879807693
Grown Heifer,540+,Processor,C,3,7,NQ,200.0,260.0,244.28571428571428,NQ,384.6,500.0,469.8,1096.0,1440.4,1351.028564453125
Cows,0-400,Feeder,D,1,8,7,82.0,82.0,82,-18.0,178.3,178.3,178.3,232.1,232.1,232.05999755859375
Cows,0-400,Feeder,D,2,23,9,120.0,186.0,150.2608695652174,22.0,250.0,387.5,313.0,399.6,740.3,561.1373980978261
Cows,0-400,Pastoral Cattle,D,2,1,NQ,134.0,134.0,134,NQ,279.2,279.2,279.2,498.5,498.5,498.4800109863281
Cows,0-400,Processor,D,1,6,NQ,78.0,78.0,78,NQ,169.6,169.6,169.6,251.9,251.9,251.94000244140625
Cows,0-400,Processor,D,2,13,6,80.0,150.0,117.6923076923077,-32.3,173.9,312.5,248.5,294.4,547.5,430.68460787259613
Cows,0-400,Processor,D,3,5,-4,170.0,170.0,170,17.3,354.2,354.2,354.2,532.1,532.1,532.1
Cows,400-520,Feeder,D,2,23,22,120.0,188.0,161.91304347826087,13.9,250.0,391.7,337.3,535.2,970.1,738.2173939580503
Cows,400-520,Feeder,D,3,9,NC,138.0,206.0,172.44444444444446,-10.0,287.5,412.0,351.1,665.2,1067.1,846.5244411892361
Cows,400-520,Processor,D,3,59,23,150.0,210.0,183.42372881355934,3.4,300.0,420.0,372.7,627.0,1012.0,875.2105040469412
Cows,520+,Feeder,D,3,6,5,184.0,194.0,190.66666666666666,2.7,368.0,388.0,383.9,960.5,1032.1,1018.6399637858073
Cows,520+,Processor,D,3,113,70,186.0,222.0,212.39823008849558,-0.5,372.0,444.0,424.8,1045.2,2077.9,1320.508125777793
Cows,520+,Processor,D,4,5,NQ,128.0,128.0,128,NQ,256.0,256.0,256.0,1226.2,1226.2,1226.2400390625
Bulls,0-450,Live Export,C,3,25,-32,210.0,276.0,251.28,26.9,381.8,501.8,456.9,504.4,861.0,758.7343969726562
Bulls,0-450,Live Export,D,3,181,141,180.0,270.0,235.72375690607734,43.3,339.6,509.4,444.8,399.6,987.5,709.8120393700362
Bulls,0-450,Processor,C,3,1,-5,158.0,158.0,158,8.0,287.3,287.3,287.3,625.7,625.7,625.6799926757812
Bulls,450-600,Live Export,C,3,4,-6,190.0,200.0,197,-12.2,345.5,363.6,358.2,944.0,1077.1,1025.0800018310547
Bulls,450-600,Live Export,D,3,34,31,165.0,228.0,204.52941176470588,-13.5,311.3,430.2,385.9,875.9,1124.0,995.4123463350184
Bulls,450-600,Processor,C,3,1,NQ,190.0,190.0,190,NQ,345.5,345.5,345.5,1098.2,1098.2,1098.199951171875
Bulls,450-600,Processor,D,3,14,12,160.0,182.0,171.85714285714286,-3.1,301.9,343.4,324.3,774.4,1030.1,895.3000008719308
Bulls,450-600,Restocker,D,3,2,NQ,200.0,200.0,200,NQ,377.4,377.4,377.4,924.0,924.0,924
Bulls,600+,Live Export,C,3,1,NQ,180.0,180.0,180,NQ,327.3,327.3,327.3,1087.2,1087.2,1087.199951171875
Bulls,600+,Processor,C,2,2,NQ,180.0,180.0,180,NQ,339.6,339.6,339.6,1548.0,1548.0,1548
Bulls,600+,Processor,C,3,19,1,140.0,214.0,190.52631578947367,-19.1,254.5,389.1,346.4,1212.0,1881.0,1509.8641999897204
Bulls,600+,Processor,D,2,2,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,1166.4,1166.4,1166.4000244140625
Bulls,600+,Processor,D,3,4,1,192.0,200.0,198,4.7,362.3,377.4,373.6,1442.0,1505.3,1457.8200073242188
