Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 15/01/2025
Comparison Date: 08/01/2025
Total Yarding: 1562 (+35)
Commentary
"Numbers doubled, and the market remained strong for the 1547 fair to good quality cattle. Young cattle returning to the paddock made up half of the offering. The weaner steers were up to 20c better, topping at 462c, and the heifer portion reached 364c/kg.
The limited supply of prime yearlings with shape to suit the trade, price unchanged, making from 292c to 436c/kg. Feeder steers were up to 20c cheaper, quality related, selling from 288c to 383c/kg. There was strong competition from both the feedlot buyers and restockers for some outstanding lines of yearling heifers, both averaging 327c/kg.

There were some good runs of heavy grown cattle selling to a dearer trend. Steers making from 294c to 355c, and the heifers made from 272c to 352c/kg. There was a total of 200 cows, with the 2 and 3 scores to process up to 15c dearer, ranging from 240c to 296c, and the heavy prime cows were firm, topping at 312c/kg.  Heavy bulls to process sold from 280c to 316c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,280-330,Feeder,B,2,5,NQ,396.0,458.0,424.8,NQ,682.8,789.7,727.7,1188.0,1465.6,1311.039990234375
Vealer Steer,280-330,Restocker,C,2,22,4,326.0,432.0,400.27272727272725,32.2,603.7,757.9,712.0,961.7,1317.6,1211.5500044389205
Vealer Steer,330+,Processor,B,3,1,-1,394.0,394.0,394,-51.0,667.8,667.8,667.8,1359.3,1359.3,1359.300048828125
Vealer Steer,330+,Restocker,C,2,5,NQ,390.0,390.0,390,NQ,684.2,684.2,684.2,1326.0,1326.0,1326
Vealer Heifer,200-280,Feeder,C,2,10,NQ,285.0,312.0,296.8,NQ,527.8,577.8,549.6,769.5,826.8,800.9199951171875
Vealer Heifer,200-280,Restocker,C,2,67,41,285.0,364.0,338.95522388059703,-22.4,537.7,661.8,620.2,695.2,963.2,854.4365780958489
Vealer Heifer,280-330,Feeder,C,2,11,-2,290.0,332.0,319.6363636363636,2.1,537.0,603.6,582.9,870.0,979.4,930.9454678622159
Vealer Heifer,280-330,Processor,C,3,5,4,340.0,348.0,343.2,-11.8,618.2,632.7,624.0,1037.0,1044.0,1039.8
Vealer Heifer,280-330,Restocker,C,2,26,17,312.0,341.0,327.53846153846155,8.9,567.3,631.5,602.7,912.0,1006.0,948.4769240159255
Grown Steer,500-600,Dairy,D,3,15,NQ,294.0,294.0,294,NQ,576.5,576.5,576.5,1631.7,1631.7,1631.7
Grown Steer,500-600,Feeder,C,2,12,NQ,312.0,344.0,331.6666666666667,NQ,588.7,637.0,613.1,1606.8,1771.6,1715.1666666666667
Grown Steer,500-600,Processor,C,3,9,7,314.0,350.0,332,19.0,592.5,636.4,614.6,1774.1,1925.0,1840.155544704861
Grown Steer,500-600,Processor,D,3,3,1,302.0,302.0,302,2.0,569.8,569.8,569.8,1781.8,1781.8,1781.8001302083333
Grown Steer,600-750,Dairy,D,3,19,15,294.0,305.0,298.63157894736844,18.6,576.5,586.5,580.7,1793.4,1906.3,1840.9158100328948
