Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 09/09/2024
Comparison Date: 
Total Yarding: 1925 (NQ)
Commentary
"Female cattle once again dominated supply in an increased penning. Young cattle and cows were well supplied along with a large supply of bulls. There were limited numbers of export cattle. The quality of the offering was very mixed however there were some good lines of quality restocker and feeder cattle penned. The condition of the offering varied greatly through all categories. There was a little extra feedlot competition while all the regular buyers were in attendance.

There were varying trends through the young cattle with the light weight restocker steers selling on a firm to slightly cheaper trend for the most part. Medium weight feeder steers sold to a dearer trend while those returning to paddocks were cheaper. The heavy weight feeder steers saw a generally firm market trend while breed and quality affected average prices. Light weight yearling heifers experienced little but breed and quality related price change. Medium and heavy weights sold to cheaper trends of 11c to 15c/kg under weaker demand and quality related change.

The small number of heavy grown steers bought by processors experienced little change. The well finished grown heifers saw trends cheaper by 10c to 20c/kg. There was an easing in the cow market with the overall quality not as good as recent weeks. The heavy weight cows saw a trend 10c to 14c cheaper with the medium weight less affected. A very strong bull market saw all weight classes sell to dearer trends."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,2,2,-12,286.0,286.0,286,8.9,550.0,550.0,550.0,1344.2,1344.2,1344.199951171875
Grown Heifer,0-540,Processor,C,3,51,3,265.0,344.0,310.921568627451,-16.5,509.6,650.0,594.6,1180.8,1720.0,1496.9519856770833
Grown Heifer,0-540,Processor,C,4,17,15,322.0,327.0,323.1764705882353,-22.8,607.5,617.0,609.8,1738.8,1765.8,1745.1529756433824
Grown Heifer,0-540,Processor,D,2,7,5,245.0,245.0,245,-5.0,490.0,490.0,490.0,1004.5,1004.5,1004.5
Grown Heifer,0-540,Restocker,C,2,3,-6,288.0,288.0,288,-12.0,553.8,553.8,553.8,1180.8,1180.8,1180.800048828125
Grown Heifer,0-540,Restocker,D,2,6,NQ,262.0,262.0,262,NQ,524.0,524.0,524.0,995.6,995.6,995.5999348958334
Grown Heifer,540+,Processor,C,4,3,-14,306.0,315.0,309,-30.5,577.4,594.3,583.0,1732.5,1958.4,1883.1000162760417
Cows,400-520,Processor,D,2,56,55,220.0,267.0,253.08928571428572,-3.9,488.9,593.3,562.4,990.0,1228.2,1137.2714059012276
Cows,400-520,Processor,D,3,110,59,265.0,288.0,275.77272727272725,-3.0,562.5,604.3,577.9,1192.5,1497.6,1354.6704501065342
Cows,400-520,Restocker,D,2,3,NQ,240.0,240.0,240,NQ,533.3,533.3,533.3,1164.0,1164.0,1164
Cows,520+,Processor,D,3,89,18,271.0,293.0,285.03370786516854,-16.6,576.6,610.4,595.7,1506.6,1745.1,1583.9056218179423
Cows,520+,Processor,D,4,74,-38,285.0,315.0,297.44594594594594,-18.4,580.0,630.0,606.3,1595.0,2170.0,1795.3635138434333
Cows,520+,Processor,D,5,6,NQ,290.0,305.0,297.5,NQ,580.0,610.0,595.0,2030.0,2135.0,2082.5
Bulls,0-450,Processor,C,2,62,NQ,240.0,320.0,297.4193548387097,NQ,444.4,615.4,571.4,762.0,1280.0,1125.9967730122228
Bulls,0-450,Restocker,C,2,18,NQ,280.0,350.0,332.8888888888889,NQ,538.5,673.1,640.2,525.0,756.0,654.7333170572916
Bulls,450-600,Processor,C,2,37,33,240.0,305.0,297.3783783783784,45.4,461.5,564.8,551.2,1251.3,1738.5,1519.6297310494087
Bulls,450-600,Processor,D,2,3,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,1438.4,1438.4,1438.4000651041667
Bulls,600+,Processor,B,2,7,-1,280.0,296.0,284.57142857142856,16.7,500.0,528.6,508.2,2100.0,2664.0,2323.685721261161
Bulls,600+,Processor,B,3,12,NQ,258.0,306.0,288.6666666666667,NQ,460.7,526.8,504.9,2012.4,3392.5,2481.5291849772134
Bulls,600+,Processor,C,2,11,3,230.0,296.0,261.8181818181818,4.1,425.9,548.1,484.8,1679.0,2475.0,1958.909102006392
