Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 24/09/2024
Comparison Date: 17/09/2024
Total Yarding: 3100 (+400)
Commentary
"There was a further increase in numbers with females again dominating supply. Yearlings steers were also well represented. The quality and condition of the offering was generally good with very few lacking condition in the face of favourable seasonal conditions. Whilst there were quite a few straight lines of feeder cattle there were also plenty of mixed breed pens. There was little in the way of domestic trade competition however all the regular export processor and feedlot orders were in place.

There were varying trends through the yearling cattle with light weight steers cheaper for the most part with limited availability. Medium weight steers to restock and feed also sold to a slightly cheaper trend with some quality related price change. The heavy weight feeder steers saw a firm to slightly cheaper trend with large numbers easing any supply issues. There were cheaper trends through the light and medium weight yearling heifers with those on the higher end of the condition scores not as keenly sought as previously. Any positive price change was related to an improvement in quality. The concern of too much condition was not as obvious on the heavy weight feeder heifers with the market trend firm with an odd dearer sale.

Demand for well finished heavy cattle was not as strong with both the heavy grown steers and heifers to process selling to cheaper trends. Grown steers and heifers to feed also sold to cheaper trends. Market trends were cheaper for the most part through the cow market where an odd sale remained firm. There was also some quality related improvement in places. A large number of bulls presented with market trends cheaper."
Yearling Heifer,280-330,Processor,C,3,1,-2,330.0,330.0,330,-10.0,622.6,622.6,622.6,1056.0,1056.0,1056
Yearling Heifer,280-330,Restocker,C,2,133,66,300.0,336.0,325.05263157894734,-13.9,576.9,646.2,625.1,885.0,1082.4,1009.8060385338346
Yearling Heifer,330-400,Feeder,C,2,46,-161,310.0,346.0,328.7826086956522,-23.0,596.2,665.4,632.3,1054.0,1176.4,1122.0347741168478
Yearling Heifer,330-400,Feeder,C,3,133,41,294.0,330.0,316.6691729323308,-14.5,565.4,622.6,604.4,1080.0,1188.0,1133.612033012218
Yearling Heifer,330-400,Processor,C,2,3,-3,268.0,268.0,268,-13.3,515.4,515.4,515.4,938.0,938.0,938
Yearling Heifer,330-400,Processor,C,3,5,-7,264.0,345.0,287.4,-26.2,507.7,650.9,548.0,924.0,1155.8,995.55
Yearling Heifer,330-400,Restocker,C,2,41,35,280.0,320.0,314.5853658536585,4.6,538.5,615.4,605.0,980.0,1104.0,1069.163419397866
Yearling Heifer,330-400,Restocker,C,3,14,-21,305.0,305.0,305,-9.9,575.5,575.5,575.5,1037.0,1037.0,1037
Yearling Heifer,400+,Feeder,C,2,19,NQ,314.0,319.0,317.6842105263158,NQ,603.8,613.5,610.9,1307.9,1350.2,1319.031558388158
Yearling Heifer,400+,Feeder,C,3,113,72,282.0,344.0,315.6371681415929,4.9,532.1,649.1,595.0,1240.8,1892.8,1423.7619650511615
Yearling Heifer,400+,Processor,C,3,3,-5,290.0,290.0,290,-12.4,547.2,547.2,547.2,1189.0,1189.0,1189
Yearling Heifer,400+,Processor,C,4,7,NQ,265.0,310.0,277.85714285714283,NQ,500.0,584.9,524.3,1113.0,1395.0,1193.5714285714287
Vealer Steer,280-330,Processor,C,3,2,NQ,375.0,375.0,375,NQ,681.8,681.8,681.8,1237.5,1237.5,1237.5
Vealer Steer,280-330,Restocker,C,2,2,NQ,376.0,376.0,376,NQ,683.6,683.6,683.6,1240.8,1240.8,1240.800048828125
Vealer Heifer,200-280,Restocker,C,2,4,NQ,315.0,315.0,315,NQ,605.8,605.8,605.8,787.5,787.5,787.5
Vealer Heifer,280-330,Processor,C,3,5,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,1085.0,1085.0,1085
Vealer Heifer,280-330,Restocker,C,2,3,-1,314.0,314.0,314,16.0,603.8,603.8,603.8,894.9,894.9,894.9000651041666
Manufacturing Steer,0-540,Processor,C,3,2,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1674.0,1674.0,1674
Manufacturing Steer,540+,Processor,C,3,6,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,2278.0,2278.0,2278
Grown Steer,400-500,Feeder,C,2,47,21,289.0,390.0,362.1489361702128,27.5,555.8,750.0,696.4,1445.0,1770.3,1597.214885305851
Grown Steer,400-500,Feeder,C,3,5,3,360.0,360.0,360,-10.0,666.7,666.7,666.7,1674.0,1674.0,1674
Grown Steer,500-600,Feeder,C,3,36,32,331.0,359.0,345.5833333333333,-4.4,613.0,664.8,640.0,1780.8,1938.0,1849.361083984375
Grown Steer,500-600,Processor,C,3,38,12,310.0,350.0,337.6842105263158,-1.7,574.1,648.1,625.3,1643.0,2047.5,1929.826326069079
Grown Steer,600-750,Processor,C,3,20,8,337.0,357.0,352.5,-13.3,624.1,661.1,652.8,2089.4,2359.6,2258.3699951171875
Grown Heifer,0-540,Feeder,C,2,23,NQ,283.0,305.0,298.30434782608694,NQ,544.2,586.5,573.7,1188.6,1342.0,1295.3130519701087
Grown Heifer,0-540,Feeder,C,3,15,4,290.0,310.0,296.6666666666667,-8.3,557.7,584.9,564.0,1230.0,1643.0,1328.1333333333334
Grown Heifer,0-540,Processor,C,2,23,NQ,285.0,298.0,293.4782608695652,NQ,548.1,573.1,564.4,1197.0,1251.6,1232.608695652174
Grown Heifer,0-540,Processor,C,3,55,11,269.0,320.0,295.5272727272727,-26.0,517.3,615.4,567.3,981.8,1664.0,1378.8945134943183
Grown Heifer,0-540,Processor,C,4,48,37,290.0,330.0,319.3125,-22.0,557.7,622.6,602.7,1566.0,1749.0,1692.9604085286458
Grown Heifer,0-540,Processor,D,3,3,-1,292.0,292.0,292,-7.0,572.5,572.5,572.5,1387.0,1387.0,1387
Grown Heifer,0-540,Restocker,C,2,25,NQ,268.0,288.0,268.8,NQ,515.4,553.8,516.9,938.0,1094.4,956.0479931640625
Grown Heifer,0-540,Restocker,D,2,7,NQ,284.0,284.0,284,NQ,568.0,568.0,568.0,1079.2,1079.2,1079.199916294643
Grown Heifer,540+,Processor,C,4,24,17,310.0,335.0,326.2083333333333,-19.8,584.9,632.1,615.5,1760.0,2016.0,1896.8145853678386
Cows,400-520,Processor,D,3,42,-14,250.0,282.0,266.04761904761904,-20.7,531.9,587.5,561.0,1187.5,1466.4,1323.1690383184523
Cows,400-520,Processor,D,4,11,10,287.0,288.0,287.3636363636364,-3.6,597.9,600.0,598.7,1396.8,1478.1,1448.5046164772727
Cows,400-520,Restocker,D,2,37,NQ,242.0,270.0,255.6216216216216,NQ,537.8,600.0,568.0,1016.4,1215.0,1113.0162056587837
Cows,400-520,Restocker,D,3,35,NQ,296.0,296.0,296,NQ,616.7,616.7,616.7,1480.0,1480.0,1480
Cows,520+,Processor,D,3,185,156,272.0,300.0,291.772972972973,6.6,566.7,625.0,606.2,1468.8,1756.8,1617.2318781672298
Cows,520+,Processor,D,4,207,-5,285.0,312.0,299.3623188405797,-10.0,580.0,641.7,615.1,1510.5,2433.5,1822.080928489206
Cows,520+,Processor,D,5,19,16,240.0,296.0,279,-26.0,500.0,616.7,580.0,1392.0,2166.0,1781.9473684210527
Bulls,0-450,Processor,C,2,8,-3,257.0,278.0,267.5,17.0,494.2,534.6,514.4,903.5,963.8,933.625
Bulls,450-600,Processor,C,2,2,-8,240.0,260.0,250,-19.8,444.4,481.5,463.0,1200.0,1326.0,1263
Bulls,600+,Processor,B,2,8,-7,285.0,298.0,295.25,-6.6,508.9,532.1,527.2,2384.0,2655.0,2475.3125
Bulls,600+,Processor,B,3,24,13,280.0,310.0,286.7916666666667,-15.7,500.0,530.4,510.6,1795.5,2842.0,2467.0333557128906
Bulls,600+,Processor,C,2,16,-12,240.0,292.0,264.375,-8.9,444.4,540.7,489.6,1728.0,2198.0,1994.6499938964844
