Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 18/03/2025
Comparison Date: 11/03/2025
Total Yarding: 6712 (+3292)
Commentary
"Continuing dry outlook Roma Agents yarded 6,712 head. Cattle were drawn from the local distrist  as well as western and far western QLD. All the processors feedlotters and backgrounders present however not all operating. Buyers were selective with only top quality lines receiving strong support. 

Yearling steers 200 to 280kg selling from 302c to 434c/kg. Yearling steers 280 to 330kg topping 436c to average 376c/kg. Yearling steers 330 to 400kg also could not maintain the levels of last sale and made 392c to average 354c/kg. Yearling steers 400 to 480kg topped 350c/kg to feed. Yearling steers over 480kg sold from 300c to 318c/kg to processors.

Yearling heifers 200 to 280kg with the majority making from 200c to 322c/kg for the better lines. Yearling heifers 280 to 330kg with a large portion selling to improved rates and made to 334c/kg to restockers. Yearling heifers 330 to 400kg also improved and made to 328c/kg back to the paddock. Yearling heifers 400 to 480kg however lost ground and sold to 322c/kg.

Grown steers 400 to 500kg topped 382c/kg. Grown steers 500 to 600kg topped 338c and bullocks over 600kg to 326c/kg to processors. Grown heifers over 540kg topping 318c/kg. Once again quality cows penned with the 2 score cows selling from 214c to 270c/kg. The 3 score cows made to 288c/kg. Bulls over 600kg to 303c/kg. Bulls 450 to 600kg to 280c and young bulls under 450kg to 382c/kg.

Market Reporter David Friend"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,621,314,302.2,434.2,389.35524377500377,-23.3,570.2,860.4,762.4,785.7,1172.3,995.2236232788282
Yearling Steer,200-280,Restocker,D,2,26,5,220.2,288.2,266.50769864595856,15.8,415.5,576.4,517.9,560.5,807.0,713.6800161508413
Yearling Steer,280-330,Feeder,C,2,15,NQ,302.2,302.2,302.2,NQ,570.2,570.2,570.2,906.6,906.6,906.6
Yearling Steer,280-330,Restocker,C,2,1085,581,300.0,436.2,375.77660384639614,-12.3,566.0,868.4,717.7,870.0,1343.5,1167.3047493789602
Yearling Steer,280-330,Restocker,D,2,37,33,256.2,288.2,281.89731907200166,2.2,483.4,576.4,557.5,780.0,907.8,883.7294723923142
Yearling Steer,330-400,Feeder,C,2,24,1,311.2,340.2,326.90834554036456,-47.3,587.2,641.9,616.8,1120.3,1360.8,1250.5800374348958
Yearling Steer,330-400,Processor,C,2,39,NQ,294.2,330.2,329.27693841396234,NQ,555.1,623.0,621.3,1029.7,1254.8,1200.7293388171074
Yearling Steer,330-400,Restocker,C,2,628,400,304.2,392.2,354.5165723083885,-18.0,574.0,764.4,674.9,1075.1,1443.3,1280.8530685521994
Yearling Steer,330-400,Restocker,D,2,69,57,240.0,294.2,278.8666744508605,-16.2,452.8,588.4,541.1,816.0,1037.3,971.0746928781703
Yearling Steer,400+,Feeder,C,2,114,NQ,312.2,350.2,334.4070306075247,NQ,589.1,660.8,631.0,1370.0,1610.9,1475.8144145764802
Yearling Steer,400+,Processor,C,2,1,NQ,276.2,276.2,276.20001220703125,NQ,521.1,521.1,521.1,1215.3,1215.3,1215.280029296875
