Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 05/11/2024
Comparison Date: Date not set
Total Yarding: 2800 (NQ)
Commentary
"Numbers were down slightly on the eve of the race that stops the nation, as 885 exports and 535 trade cattle were on hand. Not all buyers were in attendance, after last week’s very strong showing. The export quality was fair but not to the same level as the previous sale. There were fewer heavy steers and prices for the grown steers and bullocks showed an overall cheaper trend. 

The trade cattle had fewer lighter weighted cattle, with the store portion having more weight this week. There were a couple of pens of supplementary fed lots.The best of the B muscled yearling steers topped at 389c/kg for both the steer and heifer portion. The bulk of the yearling steers made from 295c to 360c/kg to average 331c/kg. The yearling heifers portion to the trade, ranged from 280c to 355c/kg with the odd sale to 389c/kg.  Feedlotters remained active over the whole yarding.

The Friesian steers made from 222c to 295c/kg. The 500 to 600kg steers ranged from 300c to 360c/kg. The 600kg plus steers made from 310c to 355c/kg. Heavy beef cows ranged from 270c to 310c/kg to average 295c/kg. The dairy cows were in limited number and made from 218c to 248c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,C,3,70,-40,302.0,355.0,328.14285714285717,-4.3,569.8,657.4,614.6,1585.5,2076.8,1823.6357142857144
Grown Steer,500-600,Processor,C,4,44,8,300.0,354.0,343.27272727272725,-1.4,566.0,648.1,630.6,1626.0,2070.9,1984.6908735795455
Grown Steer,600-750,Processor,C,3,40,-21,310.0,320.0,313.5,-12.4,584.9,603.8,591.5,1937.5,2168.4,2068.575
Grown Steer,600-750,Processor,C,4,86,-38,340.0,355.0,351.6046511627907,5.4,629.6,657.4,651.1,2193.0,2257.5,2213.6686046511627
Grown Heifer,0-540,Dairy,D,1,26,2,262.0,262.0,262,7.3,534.7,534.7,534.7,1113.5,1113.5,1113.5
Grown Heifer,0-540,Dairy,D,2,54,27,222.0,265.0,241.11111111111111,NC,435.3,552.1,487.2,876.9,1391.3,1105.5
Grown Heifer,0-540,Feeder,C,2,12,6,297.0,297.0,297,NC,571.2,571.2,571.2,1410.8,1410.8,1410.75
Grown Heifer,0-540,Feeder,D,3,32,16,297.0,297.0,297,NC,571.2,571.2,571.2,1410.8,1410.8,1410.75
Grown Heifer,0-540,Processor,C,2,24,12,305.0,320.0,316.25,NC,575.5,603.8,596.7,1448.8,1584.0,1550.1875
Grown Heifer,0-540,Processor,C,3,44,22,310.0,340.0,319.54545454545456,NC,584.9,641.5,602.9,1503.5,1785.0,1593.0681818181818
Grown Heifer,0-540,Processor,D,1,26,13,200.0,270.0,226.15384615384616,NC,416.7,540.0,464.4,900.0,1228.5,1019.7692307692307
Grown Heifer,0-540,Processor,D,3,32,6,288.0,305.0,296.375,-7.5,553.8,575.5,566.5,1387.8,1401.3,1395.9187622070312
Grown Heifer,540+,Processor,C,3,64,30,302.0,350.0,329.625,-0.1,569.8,660.4,621.9,1766.7,1897.0,1829.4468688964844
Grown Heifer,540+,Processor,C,4,22,11,338.0,338.0,338,NC,637.7,637.7,637.7,1842.1,1842.1,1842.0999644886363
Cows,400-520,Dairy,D,1,48,-1,213.0,230.0,221.5,-11.2,495.3,511.1,503.2,969.2,1115.5,1042.3250325520833
Cows,400-520,Processor,D,1,106,53,228.0,258.0,241.66037735849056,NC,495.7,560.9,515.9,1026.0,1251.3,1161.6641546285377
Cows,400-520,Restocker,D,1,18,9,245.0,245.0,245,NC,521.3,521.3,521.3,1212.8,1212.8,1212.75
Cows,400-520,Restocker,E,1,52,26,187.0,248.0,217.5,NC,425.0,551.1,488.1,776.0,1202.8,989.4249924879807
Cows,520+,Dairy,D,1,96,NC,234.0,248.0,242.0625,-2.9,497.9,551.1,539.5,1292.5,1629.3,1474.6814575195312
Cows,520+,Dairy,E,1,50,25,218.0,230.0,223.76,NC,495.5,522.7,508.5,1253.5,1437.5,1341.82
Cows,520+,Processor,C,3,6,3,286.0,286.0,286,NC,550.0,550.0,550.0,1558.7,1558.7,1558.6998697916667
Cows,520+,Processor,C,4,56,28,292.0,294.0,293.14285714285717,NC,550.9,554.7,553.1,1911.0,2000.2,1949.228515625
Cows,520+,Processor,D,2,62,31,260.0,305.0,266.1290322580645,NC,541.7,622.4,553.6,1417.0,1601.3,1439.5128528225807
Cows,520+,Processor,D,3,68,25,270.0,288.0,279.5882352941176,-0.1,540.0,576.0,562.9,1485.0,1569.6,1528.1235064338234
Cows,520+,Processor,D,4,52,-101,290.0,310.0,298.61538461538464,6.6,557.7,607.8,578.3,1595.0,1837.5,1708.8461538461538
Bulls,0-450,Processor,C,2,8,4,295.0,295.0,295,NC,546.3,546.3,546.3,1327.5,1327.5,1327.5
