Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 18/04/2024
Comparison Date: 04/04/2024
Total Yarding: 1030 (+345)
Commentary
"There was an increase in supply with heavy weight yearling steers and cows showing the best representation. The quality of the offering was very mixed with few lines in double figures. There was increased restocker and feedlot competition while the regular processors were in attendance.

Market trends were generally cheaper through the young cattle however there were a few positive trends. Weaner steers to restockers sold to cheaper trends with quality a factor as most of the good weaners have been sold through the Weaner sales. The lighter end of the heifer weaners also sold to cheaper trends with those carrying more weight selling to a dearer trend. Nothing to compare to in medium weight yearling steers from the previous sale however they were comparable to other local sales. The heavy weight feeder steers saw little but quality related price change. Light and medium weight yearling heifers sold to cheaper trends while the heavy weights showed an improved market trend.

Heavy weight export cattle saw demand from processors much weaker. This resulted in the well finished heavy grown steers and heifers selling to much cheaper trends. The cow market fell substantially in the fortnight showing falls of 30c to 40c/kg. The bull market followed suit."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,3,3,-1,210.0,230.0,216.66666666666666,-26.3,403.8,434.0,413.9,966.0,1219.0,1050.3333333333333
Grown Heifer,0-540,Processor,C,4,5,NQ,234.0,235.0,234.8,NQ,441.5,443.4,443.0,1193.4,1245.5,1235.0800048828125
Grown Heifer,0-540,Processor,D,3,4,NQ,180.0,210.0,195,NQ,352.9,411.8,382.4,738.0,903.0,820.5
Grown Heifer,540+,Processor,C,4,3,NQ,234.0,248.0,238.66666666666666,NQ,450.0,467.9,456.0,1364.0,1450.8,1421.86669921875
Cows,400-520,Processor,D,2,14,10,130.0,155.0,147.85714285714286,-32.6,288.9,344.4,328.6,572.0,728.5,675.8571428571429
Cows,400-520,Processor,D,3,21,-13,175.0,195.0,183.33333333333334,-43.6,372.3,406.3,388.4,873.0,950.0,903.547619047619
Cows,400-520,Processor,D,4,1,-9,205.0,205.0,205,-31.0,410.0,410.0,410.0,1025.0,1025.0,1025
Cows,400-520,Restocker,D,2,47,-16,150.0,195.0,177.63829787234042,-38.6,333.3,433.3,394.8,645.0,930.8,819.4510757770944
Cows,400-520,Restocker,D,3,10,6,185.0,198.0,192.8,-27.2,393.6,421.3,410.2,869.5,960.3,923.97998046875
Cows,520+,Processor,D,2,17,NQ,190.0,190.0,190,NQ,422.2,422.2,422.2,1007.0,1007.0,1007
Cows,520+,Processor,D,3,19,-20,160.0,210.0,192.10526315789474,-40.9,355.6,420.0,399.9,912.0,1260.0,1084.5052425986842
Cows,520+,Processor,D,4,84,56,185.0,217.0,203.02380952380952,-34.9,380.0,434.0,410.3,980.5,1584.1,1267.9118986583892
Cows,520+,Processor,D,5,17,3,152.0,213.0,177.8235294117647,-72.2,316.7,426.0,366.4,979.0,1491.0,1183.8088235294117
Cows,520+,Restocker,D,2,1,-1,185.0,185.0,185,-42.0,411.1,411.1,411.1,999.0,999.0,999
Bulls,450-600,Processor,C,2,1,-12,180.0,180.0,180,-13.1,333.3,333.3,333.3,954.0,954.0,954
Bulls,600+,Processor,B,2,5,-2,192.0,217.0,207,-40.4,342.9,387.5,369.6,1620.0,1760.0,1683.1
Bulls,600+,Processor,C,2,11,-7,185.0,204.0,193.36363636363637,-29.8,342.6,377.8,358.1,1159.0,1710.0,1468.1090864701705
