Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 13/06/2024
Comparison Date: 30/05/2024
Total Yarding: 1385 (+5)
Commentary
"Armidale numbers were static at 1385 good quality cattle.Trends through most categories were firm to dearer with heavy cows showing good returns. All regular buyers attended with the inclusion of an extra cow and feeder operator.

Weaner steers to background in strong demand selling to 406.2c/kg and the heifer portion also to dearer trends 252.2c to 270.2c/kg. Light yearling steers to background experienced a rise of 15c/kg with medium weight steers considerably dearer selling to 385.2c/kg. Light background heifers were marginally cheaper with a lapse in quality through the secondary classes. Medium heifers to feed were 10c/kg better and similar weights to background firm. Heavy feeder heifers significantly dearer 232.2c to 314c/kg.

Grown steers to process 244.2c to 285c/kg the heifers made 232c/kg. Medium cows to process back slightly. Heavy cows were 20c/kg dearer 212c to 236.2c/kg. Restocker cows onto grass 170.2c to 185.2c/kg. Heavy bulls were strong selling to 229.2c/kg.

Stephen  Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,8,NQ,260.2,288.2,274.20001220703125,NQ,481.9,533.7,507.8,728.6,778.1,753.3500061035156
Yearling Steer,200-280,Restocker,C,2,15,8,308.2,344.2,326.333349609375,1.8,570.7,637.4,604.3,863.0,894.9,877.6053548177083
Yearling Steer,280-330,Feeder,C,2,8,3,328.2,340.0,337.62500762939453,23.6,607.8,629.6,625.2,1014.6,1088.0,1046.5799865722656
Yearling Steer,330-400,Feeder,C,2,43,-23,255.0,385.2,370.47443762490917,20.7,472.2,713.3,686.1,918.0,1429.6,1369.8763030296147
Yearling Steer,330-400,Feeder,D,2,2,NQ,246.2,246.2,246.1999969482422,NQ,455.9,455.9,455.9,861.7,861.7,861.7000122070312
Yearling Steer,400+,Feeder,C,2,5,-37,346.2,346.2,346.2,-10.9,641.1,641.1,641.1,1904.1,1904.1,1904.1
Yearling Steer,400+,Feeder,C,3,5,-37,245.0,245.0,245,-95.2,453.7,453.7,453.7,1372.0,1372.0,1372
Yearling Steer,400+,Processor,C,2,1,NQ,220.0,220.0,220,NQ,407.4,407.4,407.4,1232.0,1232.0,1232
Yearling Steer,400+,Processor,C,3,6,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1914.0,1914.0,1914
Yearling Heifer,280-330,Feeder,C,2,17,NQ,220.0,298.2,278.64706959443936,NQ,415.1,562.6,525.7,704.0,984.1,908.3988360236673
Yearling Heifer,280-330,Restocker,C,2,13,-32,230.0,270.0,260.7692307692308,-2.2,434.0,509.4,492.0,713.0,810.0,785.8461538461538
Yearling Heifer,330-400,Feeder,C,2,41,10,266.2,326.2,304.0487864424543,11.9,502.3,615.5,573.7,984.9,1280.8,1111.5385950600228
Yearling Heifer,330-400,Processor,D,2,2,NQ,174.2,174.2,174.1999969482422,NQ,328.7,328.7,328.7,644.5,644.5,644.5399780273438
Yearling Heifer,330-400,Restocker,C,2,11,-7,275.0,321.2,308.60000887784093,19.0,518.9,606.0,582.3,990.0,1188.4,1134.3200461647727
Yearling Heifer,400+,Feeder,C,2,22,5,232.2,314.0,249.5090886896307,-30.5,438.1,592.5,469.9,1300.3,1680.0,1363.3599631569602
Vealer Steer,0-200,Restocker,C,2,22,18,265.2,373.2,367.8363730690696,117.8,491.1,691.1,681.2,477.4,671.8,662.1054770729759
Vealer Steer,200-280,Feeder,C,2,4,NQ,374.2,374.2,374.20001220703125,NQ,693.0,693.0,693.0,1010.3,1010.3,1010.3400268554688
Vealer Steer,200-280,Restocker,C,2,98,43,280.0,406.2,359.0102128009407,-6.6,518.5,752.2,664.8,644.0,1096.7,903.0310158242985
Vealer Steer,280-330,Restocker,C,2,1,-26,342.2,342.2,342.20001220703125,0.5,633.7,633.7,633.7,992.4,992.4,992.3800048828125
Vealer Heifer,0-200,Restocker,C,2,8,-6,230.2,242.2,236.1999969482422,-14.7,434.3,457.0,445.7,368.3,411.7,390.0299987792969
Vealer Heifer,200-280,Restocker,C,2,34,-19,252.2,270.2,258.5529479980469,1.0,475.8,509.8,487.8,629.3,729.5,676.0935417624081
Grown Steer,0-400,Processor,D,2,4,NQ,126.0,220.0,149.5,NQ,237.7,415.1,282.1,453.6,814.0,543.7000122070312
Grown Steer,400-500,Feeder,C,2,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1320.0,1320.0,1320
Grown Steer,500-600,Feeder,C,2,5,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,1400.0,1400.0,1400
Grown Steer,500-600,Processor,C,3,2,1,244.2,244.2,244.1999969482422,-37.8,452.2,452.2,452.2,1416.4,1416.4,1416.3599853515625
Grown Steer,500-600,Processor,D,2,5,NQ,154.2,154.2,154.2,NQ,290.9,290.9,290.9,848.1,848.1,848.1
