Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 29/04/2024
Comparison Date: 22/04/2024
Total Yarding: 1975 (+430)
Commentary
"There was an increase in supply despite the cow numbers falling by half. Young cattle were well supplied however there was a limited supply of well finished grown steers and heifers. The quality of the offering was quite mixed with condition also varying. The majority of the buyers were in attendance with some commission orders absent.

There were varying trends through the young cattle with the lighter end of the weaner steers to restock selling to cheaper trends. The heavier weights over 280kg sold to dearer trends to show strong gains in places. There was little change in the weaner heifers to restock. Secondary quality yearling steers to restock and feed sold to cheaper trends while the higher quality lines saw a firm to dearer trend with improvements of as much as 10c/kg on the heavy weights. Quality accounted for price change in some classes. Medium and heavy weight yearling heifers sold to dearer trends despite reduced competition. The keenly sought lines saw improvements of 15c to 30c on some of the breed specific sales. Well finished heavy trade cattle sold to dearer trends on a limited supply.

There were too few heavy grown steers to quote. Well finished grown heifers to process sold to dearer trends, the lack of heavy steers contributing. There was little but quality related price change in the cow market with restockers active on the plainer condition lines."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Processor,C,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,990.0,990.0,990
Grown Steer,400-500,Processor,C,3,1,NC,270.0,270.0,270,-6.0,500.0,500.0,500.0,1296.0,1296.0,1296
Grown Steer,400-500,Restocker,C,2,3,NQ,230.0,238.0,235.33333333333334,NQ,442.3,457.7,452.6,999.6,1104.0,1034.3999837239583
Grown Steer,500-600,Feeder,C,3,5,4,255.0,255.0,255,-13.0,472.2,472.2,472.2,1402.5,1402.5,1402.5
Grown Steer,500-600,Processor,C,2,7,NQ,255.0,285.0,259.2857142857143,NQ,490.4,527.8,495.7,1453.5,1653.0,1482
Grown Steer,500-600,Processor,C,3,2,NC,222.0,290.0,256,-22.0,411.1,537.0,474.1,1154.4,1653.0,1403.7000122070312
Grown Steer,600-750,Processor,C,3,1,-10,250.0,250.0,250,-24.5,463.0,463.0,463.0,1625.0,1625.0,1625
Grown Heifer,0-540,Feeder,C,2,16,10,240.0,312.0,268.25,1.9,461.5,600.0,514.7,1020.0,1372.8,1152.925048828125
Grown Heifer,0-540,Feeder,C,3,23,19,225.0,285.0,231.8695652173913,-28.1,432.7,548.1,445.9,920.2,1339.5,983.9369692595109
Grown Heifer,0-540,Feeder,D,2,14,-32,196.0,196.0,196,-86.4,392.0,392.0,392.0,803.6,803.6,803.5999581473214
Grown Heifer,0-540,Processor,C,3,44,41,210.0,294.0,244.11363636363637,24.1,403.8,565.4,463.7,808.5,1528.8,1137.4408957741477
Grown Heifer,0-540,Processor,D,2,31,26,170.0,186.0,180.19354838709677,13.4,340.0,372.0,360.4,633.6,878.8,739.1161361202116
