Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 18/09/2024
Comparison Date: 11/09/2024
Total Yarding: 2433 (+105)
Commentary
"The large supply of cattle continued with an increase of 105 head for 2433 penned in a prime only sale. The buyer panel consisted of all processors, one live exporter, regular feeders and opportunity backgrounders. Quality was good for the majority, comprising of nearly 500 bullocks and 1,500 cows and an increased number of northern bulls. Cattle were drawn from Burketown to Georgetown and south to the local area. 

Solid competition from the buyer gallery saw improved demand for the major of classes. Grown steers increased 5c, bullocks improved 5c to 17c, grown heifers to processors were firm, cows averaged 2c to 9c less and bulls lifted  by up to 15c/kg.

Prime yearling heifers to the trade sold to 281c multiple times.  Grown steers above 400kg to live export averaged 307c, selling to 308, trade types reached 302c to average 286c, while steers above 500kg sold to and averaged 312c/kg. Good quality heavy grown heifers to processors made to 285c to average 270c/kg.

Another large offering of full mouth heavyweight bullocks to export slaughter topped at 327c, averaging from 312c to 319c/kg. Lightweight prime cows to processors reached 244c to average 240c, medium weight 2 scores sold to 256c to average 238c/kg. A very good quality line of 2 score cows returning to the paddock for breeding made 248c/kg. Medium weight 3 score cows sold to 278c to average 258c to 266c, a sample of prime heavyweight cows topped at 276c to average near 270c/kg. Heavy bulls to live export sold to 287c/kg, most around 270c, processor bulls averaged 238c/kg.

A store sale scheduled for Friday has 2400 head booked.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Processor,C,2,35,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,854.0,910.0,894.8
Yearling Steer,280-330,Processor,D,2,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,690.0,690.0,690
Yearling Heifer,280-330,Feeder,C,2,13,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,756.4,756.4,756.4000150240385
Yearling Heifer,280-330,Feeder,D,2,13,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,793.6,793.6,793.5999849759615
Yearling Heifer,280-330,Processor,D,2,6,-26,202.0,202.0,202,-56.1,388.5,388.5,388.5,626.2,626.2,626.2000325520834
Yearling Heifer,330-400,Processor,C,2,15,14,281.0,281.0,281,7.0,530.2,530.2,530.2,1081.8,1081.8,1081.85
Yearling Heifer,330-400,Processor,D,2,3,NQ,281.0,281.0,281,NQ,540.4,540.4,540.4,1025.7,1025.7,1025.6500651041667
Yearling Heifer,330-400,Processor,D,3,7,NQ,261.0,261.0,261,NQ,501.9,501.9,501.9,978.8,978.8,978.75
Yearling Heifer,400+,Processor,C,3,1,-28,282.0,282.0,282,6.5,532.1,532.1,532.1,1184.4,1184.4,1184.4000244140625
Manufacturing Steer,0-540,Feeder,D,2,3,2,250.0,250.0,250,44.0,480.8,480.8,480.8,1350.0,1350.0,1350
Manufacturing Steer,0-540,Feeder,E,2,2,NQ,226.0,226.0,226,NQ,452.0,452.0,452.0,1197.8,1197.8,1197.800048828125
Manufacturing Steer,0-540,Processor,D,2,5,-16,200.0,312.0,283.2,27.6,392.2,600.0,546.1,680.0,1591.2,1348.319921875
Manufacturing Steer,0-540,Processor,D,3,139,82,276.0,326.0,311.56115107913666,16.7,520.8,615.1,584.8,1214.4,1727.8,1611.6000151051035
Manufacturing Steer,0-540,Processor,E,3,5,4,276.0,276.0,276,76.0,530.8,530.8,530.8,1131.6,1131.6,1131.6
Manufacturing Steer,540+,Processor,C,3,4,-6,314.0,314.0,314,9.0,581.5,581.5,581.5,2009.6,2009.6,2009.5999755859375
Manufacturing Steer,540+,Processor,D,3,75,-43,280.0,326.0,312.1066666666667,4.7,518.5,603.7,584.0,1705.2,2004.9,1856.1759928385416
Manufacturing Steer,540+,Processor,D,4,72,NQ,288.0,327.0,319.0833333333333,NQ,543.4,605.6,591.0,1758.4,2144.0,1951.5486178927952
Manufacturing Steer,540+,Processor,D,5,1,NQ,300.0,300.0,300,NQ,545.5,545.5,545.5,2415.0,2415.0,2415
Grown Steer,0-400,Processor,D,2,5,1,200.0,282.0,264.4,29.4,392.2,542.3,510.0,730.0,1057.5,979.2199951171875
Grown Steer,0-400,Processor,D,3,6,NQ,262.0,262.0,262,NQ,494.3,494.3,494.3,930.1,930.1,930.0999348958334
Grown Steer,400-500,Feeder,D,2,21,20,206.0,239.0,218.57142857142858,42.6,396.2,459.6,420.3,896.1,1063.6,959.8904854910714
Grown Steer,400-500,Live Export,D,3,17,NQ,306.0,306.0,306,NQ,577.4,577.4,577.4,1468.8,1468.8,1468.8000919117646
Grown Steer,400-500,Processor,C,2,10,6,282.0,282.0,282,4.5,532.1,532.1,532.1,1184.4,1184.4,1184.4
Grown Steer,400-500,Processor,D,2,33,2,270.0,286.0,281.1515151515151,4.1,519.2,542.3,536.3,1107.0,1329.9,1239.9636008522727
Grown Steer,400-500,Processor,D,3,24,-53,253.0,302.0,285.6666666666667,-8.8,477.4,569.8,539.0,1227.1,1464.7,1385.4833170572917
Grown Steer,500-600,Live Export,D,3,10,NQ,308.0,308.0,308,NQ,581.1,581.1,581.1,1601.6,1601.6,1601.6
Grown Steer,500-600,Processor,D,3,11,-34,312.0,312.0,312,4.2,577.8,577.8,577.8,1684.8,1684.8,1684.8000710227273
Grown Heifer,0-540,Processor,C,2,2,NQ,262.0,262.0,262,NQ,513.7,513.7,513.7,995.6,995.6,995.5999755859375
Grown Heifer,0-540,Processor,C,3,8,-3,263.0,270.0,266.5,1.0,496.2,519.2,507.7,1170.3,1201.5,1185.9249877929688
Grown Heifer,0-540,Processor,D,2,40,-50,150.0,258.0,231.6,-6.0,300.0,516.0,463.6,465.0,980.4,825.5250015258789
Grown Heifer,0-540,Processor,D,3,41,33,258.0,285.0,270.0487804878049,3.5,511.5,548.1,527.4,903.0,1353.6,1085.5853658536585
Cows,0-400,Feeder,D,1,30,-8,90.0,214.0,199,8.1,200.0,475.6,442.0,283.5,813.2,673.1300028483073
Cows,0-400,Feeder,D,2,33,5,100.0,200.0,193.33333333333334,3.3,222.2,434.8,423.8,400.0,760.0,731.8181818181819
Cows,0-400,Grainfed,C,4,16,NQ,270.0,270.0,270,NQ,529.4,529.4,529.4,918.0,918.0,918
Cows,0-400,Processor,D,2,420,248,100.0,258.0,222.74761904761905,-16.8,222.2,560.9,482.5,320.0,1019.1,832.0119056338356
Cows,0-400,Processor,D,3,37,-17,230.0,244.0,239.2972972972973,-2.9,489.4,519.1,509.1,874.0,951.6,911.0432425834038
Cows,0-400,Processor,E,2,35,28,72.0,244.0,233.14285714285714,-8.9,160.0,542.2,514.2,237.6,802.4,737.914311000279
Cows,0-400,Processor,E,3,16,9,243.0,243.0,243,-1.0,528.3,528.3,528.3,850.5,850.5,850.5
Cows,400-520,Feeder,D,2,16,NQ,196.0,204.0,200.5,NQ,435.6,443.5,440.0,823.2,846.6,836.3624877929688
Cows,400-520,Processor,C,2,11,-4,232.0,232.0,232,-33.7,493.6,493.6,493.6,1044.0,1044.0,1044
Cows,400-520,Processor,C,3,15,-11,250.0,272.0,266.4,-9.4,500.0,555.1,535.0,1150.0,1350.0,1225.7866536458334
Cows,400-520,Processor,C,4,1,NQ,274.0,274.0,274,NQ,537.3,537.3,537.3,1397.4,1397.4,1397.4000244140625
Cows,400-520,Processor,D,2,201,142,170.0,256.0,237.955223880597,-2.3,354.2,544.7,508.7,816.0,1127.0,996.9318495413557
Cows,400-520,Processor,D,3,682,187,210.0,278.0,258.1686217008798,-3.8,437.5,559.2,533.8,903.0,1417.8,1165.6874656341643
Cows,400-520,Processor,D,5,1,NQ,262.0,262.0,262,NQ,534.7,534.7,534.7,1336.2,1336.2,1336.199951171875
Cows,400-520,Restocker,C,2,61,NQ,248.0,248.0,248,NQ,527.7,527.7,527.7,1054.0,1165.6,1094.0459144467213
Cows,520+,Processor,D,3,13,-37,238.0,270.0,265.0769230769231,-13.6,495.8,551.0,542.5,1249.5,1444.5,1413.4615384615386
Cows,520+,Processor,D,4,19,NC,266.0,276.0,275.4736842105263,-4.5,532.0,552.0,550.9,1449.7,1490.4,1488.2579538445723
Bulls,0-450,Feeder,D,2,9,4,186.0,266.0,218.66666666666666,3.9,357.7,501.9,419.4,613.8,1170.4,855.4444240993923
Bulls,0-450,Live Export,C,2,8,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1039.5,1039.5,1039.5
Bulls,0-450,Live Export,D,3,1,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,1176.0,1176.0,1176
Bulls,0-450,Processor,D,2,13,-41,202.0,220.0,216.76923076923077,-12.0,388.5,488.9,445.6,726.0,858.0,796.1846454326923
Bulls,0-450,Processor,D,3,10,-15,262.0,262.0,262,21.8,557.4,557.4,557.4,1165.9,1165.9,1165.9
Bulls,450-600,Feeder,C,2,5,-5,290.0,290.0,290,13.6,547.2,547.2,547.2,1653.0,1653.0,1653
Bulls,450-600,Feeder,D,2,1,-3,232.0,232.0,232,26.0,446.2,446.2,446.2,1276.0,1276.0,1276
Bulls,450-600,Feeder,D,3,3,2,228.0,244.0,238.66666666666666,8.7,422.2,460.4,447.7,1368.0,1378.6,1375.066650390625
Bulls,450-600,Live Export,D,2,2,-14,270.0,270.0,270,16.5,519.2,519.2,519.2,1539.0,1539.0,1539
Bulls,450-600,Live Export,D,3,7,-10,250.0,280.0,274.2857142857143,12.2,463.0,528.3,510.7,1269.0,1540.0,1452.4285714285713
Bulls,450-600,Processor,D,3,16,11,210.0,258.0,238.375,5.6,396.2,537.5,459.8,964.6,1356.6,1189.9562606811523
Bulls,600+,Feeder,D,2,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,1536.0,1536.0,1536
Bulls,600+,Live Export,C,3,1,-1,287.0,287.0,287,14.0,521.8,521.8,521.8,1951.6,1951.6,1951.5999755859375
Bulls,600+,Live Export,D,3,11,9,268.0,272.0,269.8181818181818,1.8,496.3,509.4,500.5,1659.2,1944.0,1827.3636363636363
Bulls,600+,Processor,C,3,1,-6,276.0,276.0,276,11.7,501.8,501.8,501.8,2235.6,2235.6,2235.60009765625
Bulls,600+,Processor,D,3,2,-2,220.0,246.0,233,-27.0,400.0,455.6,427.8,1716.0,1795.8,1755.9000244140625
