Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 13/06/2024
Comparison Date: 30/05/2024
Total Yarding: 5148 (-626)
Commentary
"With the inclusion of the Santa and Santa Infused Feature Sale Blackall Agents yarded 5,148 head of quality well bred cattle. All the regular feedlotters and backgrounders present with an extra processor in the export market. The market was firm to slightly dearer for the quality pens however secondary cattle struggled.

Light weight yearling steers sold from 188c to 370c/kg. Yearling steers 200 to 280kg improved almost 20c/kg and made to 382c/kg. Yearling steers 280 to 330kg also gained and sold to 368c/kg. Yearling steers 330 to 400kg with the majority selling from 160c to 332c/kg. Yearling steers 400 to 480kg topped 334c and averaged 314c and over 480kg made to 252c/kg.

Light weight yearling heifers under 200kg sold to 264c/kg. Yearling heifers 200 to 280kg improved and sold from 204c to 312c/kg. Yearling heifers 280 to 330kg sold to 276c/kg. Yearling heifers 330 to 400kg to feed made to 272c/kg. Yearling heifers 400 to 480kg also to feed made to 252c with heifers over 480kg selling to 240c/kg.

Grown steers 500 to 600kg made from 220c to 246c to processors and 304c/kg to feed. Grown steers over 600kg made to 246c/kg. Grown heifers over 540kg topped 230c/kg with the majority selling from 195c to 206c/kg.

The 2 score cows selling from 100c to 198c/kg. The 3 score cows topped 220c/kg. Bulls under 450kg sold from 220c to 318c/kg. Bulls 450 to 600kg made to 214c and bulls over 600kg made to 234c/kg.

Market Reporter David Friend"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Feeder,C,2,226,20,210.0,272.2,256.57522501987694,25.9,420.0,544.4,513.2,756.0,1088.8,952.2228831063329
Yearling Heifer,330-400,Feeder,D,2,19,NQ,160.2,198.2,196.1999921296772,NQ,320.4,396.4,392.4,573.5,713.5,706.1513864617599
Yearling Heifer,330-400,Processor,C,3,6,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,700.0,700.0,700
Yearling Heifer,330-400,Processor,D,2,1,NQ,160.0,160.0,160,NQ,320.0,320.0,320.0,576.0,576.0,576
Yearling Heifer,330-400,Restocker,C,2,34,-209,250.0,266.2,258.3647101907169,1.8,500.0,532.4,516.7,850.0,918.4,882.3547219669117
Yearling Heifer,400+,Feeder,C,2,87,53,220.2,252.2,240.47586375269395,0.1,440.4,504.4,481.0,968.9,1084.5,1047.8648078304598
Yearling Heifer,400+,Feeder,C,3,57,NQ,232.2,232.2,232.19998972039474,NQ,464.4,464.4,464.4,1300.3,1300.3,1300.3199013157894
Yearling Heifer,400+,Processor,C,2,1,NQ,120.2,120.2,120.19999694824219,NQ,245.3,245.3,245.3,577.0,577.0,576.9600219726562
Yearling Heifer,400+,Processor,C,3,222,221,210.0,240.2,234.50450161770658,4.5,420.0,490.2,469.1,1092.0,1440.0,1345.8947248029278
Yearling Heifer,400+,Restocker,C,2,11,NQ,220.2,220.2,220.19999556107953,NQ,440.4,440.4,440.4,968.9,968.9,968.8799715909091
Manufacturing Steer,540+,Processor,C,3,9,NQ,185.0,216.2,188.46666632758246,NQ,349.1,407.9,355.6,1202.5,1405.3,1225.0333387586807
Grown Steer,400-500,Feeder,C,2,1,-6,266.2,266.2,266.20001220703125,23.7,502.3,502.3,502.3,1331.0,1331.0,1331
Grown Steer,400-500,Feeder,C,3,9,NQ,236.2,236.2,236.20000542534723,NQ,445.7,445.7,445.7,1062.9,1062.9,1062.9000651041667
Grown Steer,500-600,Feeder,C,2,12,2,230.0,304.2,285.65000406901044,56.1,434.0,574.0,539.0,1265.0,1764.4,1639.52001953125
Grown Steer,500-600,Feeder,C,3,11,NQ,236.2,260.2,240.56364302201703,NQ,445.7,490.9,453.9,1228.2,1509.2,1279.3163840553977
