Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 08/01/2025
Comparison Date: 18/12/2024
Total Yarding: 720 (+608)
Commentary
"The market was very strong for the first sale of 2025, where there were 728 mostly good quality cattle. There were some good runs of prime vealers reaching 456c/kg, along with some good lines of young cattle suiting the restockers. Feeder steers were well supplied and there were some outstanding pens of high yielding heavy cows to process.

Yearlings to suit the trade made from 280c to 448c/kg. Feeder steers were up to 40c dearer, selling from 320c to 410c/kg.. Yearling heifers to feed were also considerably dearer, reaching 348c and 356c/kg to the paddock. Weaner steers sold from 344c to 438c and the heifer portion topped at 378c/kg.

Heavy grown steers made from 300c to 340c and grown heifers reached 330c/kg. Cows were 15c better, with the 3 scores ranging from 255c to 290c, and heavy 4 scores sold from 294c to 312c/kg. A  heavy bull to process made 310c/kg or over $3600.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,29,28,330.0,378.0,358.51724137931035,66.5,600.0,675.0,646.1,1171.5,1474.2,1361.8396290746227
Yearling Steer,330-400,Processor,B,3,3,NQ,400.0,448.0,432,NQ,689.7,722.6,711.6,1460.0,1702.4,1576.8000081380208
Yearling Steer,330-400,Processor,C,3,5,NQ,345.0,370.0,359.2,NQ,616.1,660.7,641.4,1228.2,1387.5,1324.689990234375
Yearling Steer,330-400,Restocker,C,2,26,22,339.0,382.0,357.1923076923077,28.2,621.4,682.1,646.5,1305.2,1463.0,1340.0134652944712
Yearling Steer,400+,Feeder,B,2,1,NQ,380.0,380.0,380,NQ,678.6,678.6,678.6,1767.0,1767.0,1767
Yearling Steer,400+,Feeder,C,2,56,55,330.0,410.0,388.5357142857143,62.5,600.0,732.1,697.7,1402.5,1818.0,1633.5464194161552
Yearling Steer,400+,Processor,B,3,3,NQ,390.0,390.0,390,NQ,672.4,696.4,688.4,1579.5,1813.5,1735.5
