Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 12/09/2024
Comparison Date: 29/08/2024
Total Yarding: 860 (-130)
Commentary
"There was a reduction in supply, not uncommon at this time of the year. A very mixed quality penning was presented to a reduced field of buyers. Young cattle were well supplied as were cows while there were limited numbers of export cattle.

Very good overnight rain provided a boost in the young cattle market with restockers almost guaranteed an outstanding season. There was significant improvement in the light and medium weight yearling steers. The better quality light weight yearling heifers sold on a mostly firm market trend. There was an odd slightly dearer sale while the plainer quality lots lost a little ground. The medium and heavy weights saw attracted less competition to sell to a slightly cheaper trend.

The small numbers of heavy grown steers suitable to process sold to a cheaper trend with the well finished grown heifers following a similar trend. There was a reduction in the cow market in line with what has happened at other recent markets with all but a few restocker cows much cheaper than the sale of a fortnight ago. A large offering of bulls sold to a slightly cheaper trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,1,NQ,348.0,348.0,348,NQ,669.2,669.2,669.2,643.8,643.8,643.7999877929688
Yearling Steer,0-200,Restocker,D,2,10,NQ,380.0,430.0,420,NQ,730.8,860.0,834.2,722.0,774.0,763.6
Yearling Steer,200-280,Restocker,C,2,74,52,328.0,466.0,425.7027027027027,30.2,630.8,896.2,818.7,738.0,1270.5,1104.9243098078548
Yearling Steer,200-280,Restocker,D,2,11,7,250.0,400.0,331.8181818181818,23.8,500.0,800.0,663.6,675.0,860.0,775.9090909090909
Yearling Steer,280-330,Restocker,C,2,30,-52,320.0,438.0,402.3333333333333,26.6,615.4,842.3,773.7,928.0,1412.4,1254.413330078125
Yearling Steer,330-400,Feeder,C,2,9,-17,422.0,422.0,422,48.1,811.5,811.5,811.5,1603.6,1603.6,1603.5999348958333
Yearling Steer,330-400,Restocker,C,2,25,19,348.0,442.0,399.76,10.8,669.2,850.0,768.8,1339.8,1547.0,1453.7040234375
Yearling Steer,400+,Restocker,C,2,7,NQ,348.0,397.0,375.7142857142857,NQ,669.2,763.5,722.5,1687.8,1746.8,1718.028564453125
Yearling Steer,400+,Restocker,C,3,6,NQ,340.0,370.0,365,NQ,629.6,685.2,675.9,1517.0,1649.0,1539
Yearling Heifer,0-200,Restocker,C,2,3,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,624.0,624.0,624
Yearling Heifer,0-200,Restocker,D,2,8,NQ,308.0,308.0,308,NQ,616.0,616.0,616.0,508.2,508.2,508.20001220703125
Yearling Heifer,200-280,Restocker,C,2,88,71,270.0,368.0,346.6818181818182,5.3,519.2,707.7,666.7,621.0,934.2,863.9511510675603
Yearling Heifer,200-280,Restocker,D,2,5,-13,239.0,300.0,251.2,-20.5,478.0,600.0,502.4,549.7,750.0,589.760009765625
Yearling Heifer,280-330,Restocker,C,2,64,53,294.0,348.0,329.125,-1.1,565.4,669.2,632.9,882.0,1113.6,1029.2249794006348
