Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 12/09/2024
Comparison Date: 29/08/2024
Total Yarding: 860 (-130)
Commentary
"There was a reduction in supply, not uncommon at this time of the year. A very mixed quality penning was presented to a reduced field of buyers. Young cattle were well supplied as were cows while there were limited numbers of export cattle.

Very good overnight rain provided a boost in the young cattle market with restockers almost guaranteed an outstanding season. There was significant improvement in the light and medium weight yearling steers. The better quality light weight yearling heifers sold on a mostly firm market trend. There was an odd slightly dearer sale while the plainer quality lots lost a little ground. The medium and heavy weights saw attracted less competition to sell to a slightly cheaper trend.

The small numbers of heavy grown steers suitable to process sold to a cheaper trend with the well finished grown heifers following a similar trend. There was a reduction in the cow market in line with what has happened at other recent markets with all but a few restocker cows much cheaper than the sale of a fortnight ago. A large offering of bulls sold to a slightly cheaper trend."
Yearling Heifer,280-330,Restocker,C,3,5,NQ,328.0,328.0,328,NQ,630.8,630.8,630.8,1082.4,1082.4,1082.4
Yearling Heifer,280-330,Restocker,D,2,4,NQ,348.0,348.0,348,NQ,696.0,696.0,696.0,1078.8,1078.8,1078.800048828125
Yearling Heifer,330-400,Feeder,C,2,6,-67,324.0,324.0,324,-24.1,623.1,623.1,623.1,1215.0,1215.0,1215
Yearling Heifer,330-400,Feeder,C,3,31,-31,330.0,350.0,337.03225806451616,-17.9,622.6,660.4,637.5,1254.0,1330.0,1276.774193548387
Yearling Heifer,330-400,Processor,C,3,13,9,284.0,345.0,340.3076923076923,19.3,535.8,650.9,642.1,1050.8,1207.5,1195.4461576021636
Yearling Heifer,330-400,Restocker,C,2,44,NQ,314.0,350.0,331.1136363636364,NQ,603.8,673.1,636.8,1067.6,1225.0,1135.1909235174005
Yearling Heifer,330-400,Restocker,C,3,4,NQ,316.0,316.0,316,NQ,596.2,596.2,596.2,1074.4,1074.4,1074.4000244140625
Yearling Heifer,330-400,Restocker,D,2,5,NQ,274.0,274.0,274,NQ,548.0,548.0,548.0,1096.0,1096.0,1096
Yearling Heifer,400+,Feeder,C,2,7,NQ,320.0,342.0,323.14285714285717,NQ,615.4,657.7,621.4,1312.0,1624.5,1356.642857142857
Yearling Heifer,400+,Feeder,C,3,2,-4,328.0,328.0,328,38.0,618.9,618.9,618.9,1344.8,1344.8,1344.800048828125
Yearling Heifer,400+,Processor,C,3,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1455.0,1455.0,1455
Vealer Heifer,200-280,Restocker,C,2,8,5,344.0,360.0,348,24.0,688.0,720.0,696.0,900.0,911.6,908.699951171875
Manufacturing Steer,540+,Processor,C,4,5,2,340.0,340.0,340,-20.0,629.6,629.6,629.6,2210.0,2210.0,2210
Grown Steer,0-400,Restocker,C,2,2,NQ,304.0,304.0,304,NQ,608.0,608.0,608.0,1033.6,1033.6,1033.5999755859375
Grown Steer,0-400,Restocker,D,2,6,NQ,366.0,366.0,366,NQ,732.0,732.0,732.0,1281.0,1281.0,1281
Grown Steer,400-500,Restocker,C,2,1,NQ,386.0,386.0,386,NQ,742.3,742.3,742.3,1737.0,1737.0,1737
Grown Steer,500-600,Processor,C,3,1,-4,320.0,320.0,320,-42.6,592.6,592.6,592.6,1728.0,1728.0,1728
Grown Heifer,0-540,Feeder,C,3,6,-6,310.0,310.0,310,-43.0,596.2,596.2,596.2,1426.0,1426.0,1426
Grown Heifer,0-540,Processor,C,3,7,-15,290.0,335.0,305,-10.4,547.2,632.1,575.5,1537.0,1775.5,1599.0714285714287
Grown Heifer,0-540,Processor,D,3,2,1,270.0,270.0,270,-41.0,574.5,574.5,574.5,1161.0,1161.0,1161
Grown Heifer,0-540,Restocker,D,2,26,NQ,260.0,326.0,311.15384615384613,NQ,520.0,652.0,622.3,910.0,1350.8,1175.111548790565
Grown Heifer,0-540,Restocker,D,3,2,NQ,275.0,275.0,275,NQ,539.2,539.2,539.2,1306.3,1306.3,1306.25
Grown Heifer,540+,Processor,C,3,6,NQ,306.0,306.0,306,NQ,577.4,577.4,577.4,1683.0,1683.0,1683
Grown Heifer,540+,Processor,C,4,6,2,290.0,322.0,310.6666666666667,-41.3,547.2,607.5,586.2,1624.0,2028.6,1824.5333251953125
Cows,400-520,Processor,D,2,4,-29,272.0,272.0,272,18.8,604.4,604.4,604.4,1224.0,1224.0,1224
Cows,400-520,Processor,D,3,11,-18,240.0,270.0,258,-39.0,500.0,568.1,543.9,1196.0,1388.4,1295.9181906960227
Cows,400-520,Restocker,D,2,11,NQ,243.0,280.0,259.8181818181818,NQ,540.0,622.2,577.4,1044.9,1330.0,1174.4909446022727
Cows,400-520,Restocker,D,3,6,NQ,284.0,293.0,288.5,NQ,623.4,631.1,627.3,1420.0,1421.1,1420.5250651041667
Cows,520+,Processor,D,3,25,3,280.0,286.0,282.04,-24.5,583.3,602.1,590.6,1494.6,1658.8,1550.4480078125
Cows,520+,Processor,D,4,41,8,285.0,306.0,297.8780487804878,-18.3,570.0,612.0,597.5,1567.5,1976.0,1835.3805020960365
Cows,520+,Processor,D,5,5,4,260.0,280.0,276,-34.0,541.7,560.0,556.3,1430.0,2100.0,1966
Bulls,0-450,Processor,C,2,7,-4,240.0,260.0,257.14285714285717,-57.6,444.4,500.0,492.1,1066.0,1080.0,1068
Bulls,0-450,Processor,D,2,2,NQ,222.0,222.0,222,NQ,426.9,426.9,426.9,976.8,976.8,976.7999877929688
Bulls,450-600,Processor,C,2,3,-2,254.0,278.0,270,-15.2,470.4,514.8,500.0,1473.2,1612.4,1566
Bulls,450-600,Processor,D,2,5,NQ,235.0,241.0,238.6,NQ,451.9,463.5,458.8,1081.0,1373.7,1256.619921875
Bulls,600+,Processor,B,2,15,12,275.0,298.0,286,20.0,491.1,533.3,519.5,1944.8,2744.0,2129.993359375
Bulls,600+,Processor,B,3,8,7,275.0,290.0,282.625,-17.4,491.1,517.9,504.7,2200.0,2380.0,2289.1875
Bulls,600+,Processor,C,2,23,11,240.0,285.0,261.04347826086956,-22.3,444.4,527.8,482.6,1464.0,2295.0,1866.3608716881793
Bulls,600+,Processor,D,2,1,-4,243.0,243.0,243,37.4,450.0,450.0,450.0,1701.0,1701.0,1701
Bulls,600+,Restocker,B,3,1,NQ,314.0,314.0,314,NQ,560.7,560.7,560.7,2700.4,2700.4,2700.39990234375
