Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 03/09/2024
Comparison Date: 27/08/2024
Total Yarding: 2900 (+650)
Commentary
"The numbers increased with vealers and yearlings offloaded in large numbers while cows were also well represented. There was a limited supply of well finished export cattle. The quality of the offering was mostly good however mixed for breed. Condition varied greatly through all categories. There was not a lot of domestic trade competition while the regular export processors were in attendance as were the restocker and feeder orders.

Less demand saw the light weight steers sell to a cheaper trend. The medium and heavy weights to restock and feed experienced little but quality and breed related price change with market trends mostly firm. Light weight yearling heifers sold to a slightly cheaper trend. Medium and heavy weight feeder heifers also saw a slightly cheaper trend.

The well finished heavy grown steers and the older manufacturing steers experienced little change. Well finished grown heifers were as much as 10c/kg cheaper. There was a greater supply of medium weight cows than normal . Demand for all classes was weaker with the market trends as much as 17c/kg cheaper."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,19,7,355.0,412.0,379.4736842105263,0.1,682.7,792.3,729.8,960.0,988.8,976.1315789473684
Yearling Steer,200-280,Restocker,D,2,9,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,705.0,705.0,705
Yearling Steer,280-330,Feeder,C,2,8,-2,380.0,380.0,380,1.0,730.8,730.8,730.8,1254.0,1254.0,1254
Yearling Steer,280-330,Restocker,C,2,84,8,366.0,438.0,384.4761904761905,-25.4,703.8,842.3,739.4,1077.3,1270.2,1164.8702450706846
Yearling Steer,330-400,Feeder,C,2,187,73,340.0,394.0,379.8288770053476,-3.3,653.8,757.7,730.4,1156.0,1552.0,1383.4211282169117
Yearling Steer,330-400,Restocker,C,2,84,-66,280.0,434.0,404.10714285714283,-11.4,538.5,834.6,777.1,1022.0,1586.2,1456.660121372768
Yearling Steer,400+,Feeder,C,2,112,-67,340.0,394.0,375.3482142857143,-12.0,653.8,757.7,721.8,1428.0,1694.2,1606.3508802141462
Yearling Steer,400+,Feeder,C,3,49,-58,330.0,399.0,384.7755102040816,-9.3,611.1,738.9,712.5,1650.0,1935.2,1865.5408213089922
Yearling Steer,400+,Processor,C,3,1,NC,360.0,360.0,360,15.0,666.7,666.7,666.7,1746.0,1746.0,1746
Yearling Steer,400+,Restocker,C,2,7,-7,410.0,410.0,410,30.0,788.5,788.5,788.5,1681.0,1681.0,1681
Yearling Steer,400+,Restocker,C,3,12,NQ,383.0,383.0,383,NQ,709.3,709.3,709.3,1685.2,1685.2,1685.1998697916667
Yearling Heifer,200-280,Restocker,C,2,3,-45,306.0,306.0,306,-20.5,588.5,588.5,588.5,703.8,703.8,703.7999674479166
Yearling Heifer,200-280,Restocker,D,2,17,NQ,302.0,302.0,302,NQ,604.0,604.0,604.0,694.6,694.6,694.5999540441177
Yearling Heifer,280-330,Feeder,C,2,20,-43,352.0,352.0,352,-5.4,676.9,676.9,676.9,1161.6,1161.6,1161.6
