Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 03/09/2024
Comparison Date: 27/08/2024
Total Yarding: 2900 (+650)
Commentary
"The numbers increased with vealers and yearlings offloaded in large numbers while cows were also well represented. There was a limited supply of well finished export cattle. The quality of the offering was mostly good however mixed for breed. Condition varied greatly through all categories. There was not a lot of domestic trade competition while the regular export processors were in attendance as were the restocker and feeder orders.

Less demand saw the light weight steers sell to a cheaper trend. The medium and heavy weights to restock and feed experienced little but quality and breed related price change with market trends mostly firm. Light weight yearling heifers sold to a slightly cheaper trend. Medium and heavy weight feeder heifers also saw a slightly cheaper trend.

The well finished heavy grown steers and the older manufacturing steers experienced little change. Well finished grown heifers were as much as 10c/kg cheaper. There was a greater supply of medium weight cows than normal . Demand for all classes was weaker with the market trends as much as 17c/kg cheaper."
Yearling Heifer,280-330,Processor,C,3,2,NC,350.0,350.0,350,-10.0,660.4,660.4,660.4,1155.0,1155.0,1155
Yearling Heifer,280-330,Restocker,C,2,57,9,298.0,342.0,318.87719298245617,-24.9,573.1,657.7,613.2,916.4,1128.6,965.7193068119518
Yearling Heifer,280-330,Restocker,D,2,6,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,930.0,930.0,930
Yearling Heifer,330-400,Feeder,C,2,115,13,300.0,364.0,346.7826086956522,-7.2,576.9,700.0,666.9,1050.0,1274.0,1194.2130540930707
Yearling Heifer,330-400,Feeder,C,3,89,-8,340.0,367.0,349.07865168539325,2.3,641.5,705.8,660.1,1211.0,1412.9,1276.2798016151685
Yearling Heifer,330-400,Restocker,C,2,49,23,346.0,348.0,346.81632653061223,-18.5,665.4,669.2,667.0,1176.4,1270.2,1196.220424107143
Yearling Heifer,330-400,Restocker,C,3,42,NQ,315.0,354.0,333.1190476190476,NQ,605.8,667.9,634.3,1071.0,1203.6,1139.9392903645833
Yearling Heifer,400+,Feeder,C,2,15,-7,310.0,358.0,342,-14.7,596.2,688.5,657.7,1302.0,1503.6,1436.4
Yearling Heifer,400+,Feeder,C,3,62,-116,312.0,371.0,343.43548387096774,-11.0,600.0,700.0,654.3,1310.4,1855.0,1516.508064516129
Yearling Heifer,400+,Processor,C,3,1,-29,320.0,320.0,320,-31.4,603.8,603.8,603.8,1376.0,1376.0,1376
Vealer Steer,0-200,Restocker,C,2,5,NQ,432.0,432.0,432,NQ,830.8,830.8,830.8,777.6,777.6,777.6
Vealer Steer,200-280,Restocker,C,2,24,NQ,428.0,440.0,433.5,NQ,823.1,846.2,833.7,941.6,1012.0,973.8666585286459
Vealer Steer,280-330,Restocker,C,2,96,NQ,310.0,446.0,360.3645833333333,NQ,596.2,857.7,693.0,961.0,1471.8,1106.90833791097
Vealer Steer,330+,Restocker,C,2,28,NQ,380.0,430.0,404.35714285714283,NQ,730.8,826.9,777.6,1273.0,1505.0,1449.2357003348213
Vealer Heifer,200-280,Restocker,C,2,100,56,314.0,366.0,348.28,-15.4,603.8,703.8,669.8,769.5,869.2,802.339990234375
Vealer Heifer,280-330,Processor,C,3,6,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1023.0,1023.0,1023
Vealer Heifer,280-330,Restocker,C,2,21,NQ,302.0,318.0,306.57142857142856,NQ,580.8,611.5,589.6,860.7,922.2,878.2714378720239
Vealer Heifer,330+,Feeder,C,3,11,NQ,355.0,355.0,355,NQ,669.8,669.8,669.8,1331.3,1331.3,1331.25
Vealer Heifer,330+,Processor,C,3,6,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1224.0,1224.0,1224
Manufacturing Steer,0-540,Processor,C,2,12,NQ,268.0,268.0,268,NQ,515.4,515.4,515.4,938.0,938.0,938
Manufacturing Steer,540+,Processor,C,4,13,NQ,322.0,388.0,332.15384615384613,NQ,596.3,718.5,615.1,2060.8,2560.8,2137.72314453125
Grown Steer,0-400,Feeder,C,2,14,NQ,368.0,368.0,368,NQ,707.7,707.7,707.7,1380.0,1380.0,1380
Grown Steer,400-500,Feeder,C,2,19,-26,310.0,380.0,372.63157894736844,4.2,596.2,730.8,716.6,1488.0,1805.0,1736.7368421052631
Grown Steer,400-500,Feeder,C,3,11,4,310.0,330.0,311.8181818181818,-96.2,574.1,611.1,577.4,1488.0,1518.0,1490.7272727272727
Grown Steer,400-500,Processor,C,3,9,NQ,300.0,320.0,306.6666666666667,NQ,555.6,592.6,567.9,1380.0,1600.0,1453.3333333333333
Grown Steer,500-600,Feeder,C,2,7,NQ,338.0,338.0,338,NQ,650.0,650.0,650.0,1808.3,1808.3,1808.300083705357
Grown Steer,500-600,Feeder,C,3,4,-15,342.0,360.0,355.5,-13.9,633.3,666.7,658.3,1812.6,1908.0,1884.1499938964844
Grown Steer,500-600,Processor,C,2,4,NQ,340.0,340.0,340,NQ,653.8,653.8,653.8,1904.0,1904.0,1904
Grown Steer,500-600,Processor,C,3,14,8,354.0,368.0,364,4.0,655.6,681.5,674.1,1876.2,2172.0,2118.98575265067
Grown Steer,600-750,Processor,C,4,4,NQ,381.0,381.0,381,NQ,705.6,705.6,705.6,2476.5,2476.5,2476.5
Grown Heifer,0-540,Feeder,C,2,7,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1069.5,1069.5,1069.5
Grown Heifer,0-540,Feeder,C,3,36,-5,300.0,349.0,319.27777777777777,-10.6,576.9,658.5,611.1,1302.0,1675.0,1441.7999979654949
Grown Heifer,0-540,Processor,C,3,32,8,295.0,348.0,318.65625,-26.2,567.3,656.6,607.2,1341.6,1782.0,1508.421859741211
Grown Heifer,0-540,Processor,C,4,17,2,300.0,330.0,320.11764705882354,-7.5,576.9,634.6,615.6,1455.0,1712.0,1568.6117661420037
Grown Heifer,0-540,Processor,D,2,2,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,1218.0,1218.0,1218
Grown Heifer,0-540,Processor,D,3,17,6,294.0,300.0,297.52941176470586,-3.9,576.5,588.2,583.4,1395.0,1470.0,1425.8823529411766
Grown Heifer,540+,Processor,C,3,3,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1798.5,1798.5,1798.5
Grown Heifer,540+,Processor,C,4,8,-5,340.0,360.0,343.75,-17.0,641.5,679.2,648.6,1907.5,1980.0,1939.4375
Cows,400-520,Processor,D,2,38,-5,267.0,275.0,271.10526315789474,-6.6,593.3,611.1,602.5,1228.2,1333.8,1286.8855108963817
Cows,400-520,Processor,D,3,113,25,218.0,305.0,291.60176991150445,-27.0,463.8,612.8,601.8,915.6,1586.0,1457.6615076655835
Cows,400-520,Restocker,D,2,29,NQ,248.0,266.0,257.3103448275862,NQ,551.1,591.1,571.8,1091.2,1117.2,1104.6482354525863
Cows,520+,Processor,D,3,63,-17,286.0,319.0,298.2063492063492,-17.2,595.8,638.0,612.4,1531.7,1882.1,1645.1476275731648
Cows,520+,Processor,D,4,185,136,276.0,322.0,309.572972972973,-12.0,587.2,650.0,623.6,1518.0,2098.8,1884.3081226245777
Calves,80+,Restocker,C,2,12,NQ,384.0,384.0,384,NQ,738.5,738.5,738.5,576.0,576.0,576
Bulls,450-600,Processor,B,2,1,NQ,262.0,262.0,262,NQ,467.9,467.9,467.9,1388.6,1388.6,1388.5999755859375
Bulls,450-600,Processor,C,3,1,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,1508.0,1508.0,1508
Bulls,600+,Processor,B,2,2,-6,260.0,270.0,265,-23.1,464.3,482.1,473.2,1755.0,2158.0,1956.5
Bulls,600+,Processor,B,3,13,-2,268.0,306.0,280.6923076923077,-4.0,478.6,527.6,494.4,2144.0,2700.0,2390.753849909856
Bulls,600+,Processor,C,2,4,NC,248.0,283.0,257.5,-7.0,459.3,524.1,476.9,1512.8,2490.4,1899.8250122070312
Bulls,600+,Processor,C,3,1,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,1950.0,1950.0,1950
