Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 27/02/2025
Comparison Date: 13/02/2025
Total Yarding: 1740 (+840)
Commentary
"Armidale penned 1740 mostly good quality cattle an addition of 800 head. Cow numbers and quality increased along with good numbers of heavy feeders on offer. The balance of the young cattle were somewhat mixed and trends for those categories sold to varied results. . Cows on the other hand sold to dearer trends throughout. The regular buyers attended and operated.

Better bred light yearling steers sold to dearer trends for backgrounders with feeders dearer 328c to 414c/kg. Feeder steers under 330kgs were dearer 280c to 418c/kg and similar weights to background selling 350c to 442c/kg. Medium feeders solid 320c to 411c/kg and similar steers to the paddock 400c/kg. Light plain heifers to backgrounders 280c to 340c/kg and heifers under 330kgs 316c to 339c/kg.. Medium feeders 296c to 340c/kg. Heavy processor yearling heifers made to 310c/kg.

Heavy grown heifers to process 297c to 330c/kg. Cows resulted in dearer trends the three and four score categories making 280c to 315c/kg. Heavy bulls 253c to 328c/kg.

Stephen  Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,D,4,142,90,280.0,315.0,299.0774647887324,10.9,510.3,630.0,597.3,1835.2,2325.0,2024.0992930237676
Cows,520+,Processor,D,5,8,NQ,240.0,280.0,250,NQ,500.0,560.0,515.0,1536.0,2240.0,1712
Bulls,0-450,Feeder,C,2,2,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,986.0,986.0,986
Bulls,0-450,Restocker,B,2,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1200.0,1200.0,1200
Bulls,450-600,Processor,B,2,2,NQ,250.0,259.0,254.5,NQ,463.0,479.6,471.3,1295.0,1500.0,1397.5
Bulls,450-600,Restocker,B,2,2,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1450.0,1450.0,1450
Bulls,600+,Processor,B,2,8,1,150.0,246.0,199.375,-74.2,258.6,410.0,340.2,1200.0,2205.0,1731.125
Bulls,600+,Processor,B,3,37,33,253.0,328.0,295.4594594594595,33.2,436.2,546.7,494.2,2024.0,3110.0,2571.29186681799
Bulls,600+,Restocker,B,2,2,NQ,250.0,250.0,250,NQ,431.0,431.0,431.0,2150.0,2150.0,2150
Bulls,600+,Restocker,B,3,4,NQ,291.0,300.0,293.75,NQ,485.0,540.7,516.6,2044.0,2640.0,2322.2000122070312
