Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 01/05/2024
Comparison Date: 24/04/2024
Total Yarding: 1768 (-1383)
Commentary
"Charters Towers Combined Agents penned 1768 cattle in a prime only sale, the largest prime offering in more than 18 months.  Quality was mostly good throughout, with several good quality heavy cattle on offer, with more than 300 bullocks and 1,100 cows penned. Processor attendance was good with all regular export processors in attendance, supported by one southern operator for the first time this year, along with one live exporter and one local feeder operator and opportunity restockers.
 
Values for most categories were firm on last week, despite the increased supply, however plainer conditioned lines of cows eased 14c to 20c while prime heavyweight cows lifted by 4c/kg.

Yearling steers above 400kg to feed destined for live export sold to 256c to average 237c, steers to the trade sold to and averaged 240c/kg. Yearling heifers above 400kg to the trade made to 230c to average 227c/kg. A small sample of heavy grown steers to the trade averaged 262c/kg. Grown heifers to processors reached 234c to average from 200c to 228c/kg.

An increased number of heavy full mouthed bullocks to export slaughter topped at 264c to average from 242c to 263c/kg. Medium weight 2 score cows to processors reached 160c to average 15 5c and 3 scores sold to 225c to average from 192c to 199c/kg.  A large sample of prime heavyweight 3 and 4 score cows topped at 224c to average 214c to 221c/kg.

Heavy bulls to feed destined for live export sold to 242c to average 232c, bulls to processors averaged 214c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,0-400,Processor,D,2,13,NQ,174.0,200.0,194.92307692307693,NQ,341.2,384.6,375.4,643.8,760.0,726.7538452148438
Grown Steer,400-500,Feeder,D,2,1,-5,170.0,170.0,170,-26.3,326.9,326.9,326.9,697.0,697.0,697
Grown Steer,400-500,Feeder,D,3,20,NQ,225.0,246.0,233.4,NQ,424.5,464.2,440.4,1035.0,1180.8,1093.32001953125
Grown Steer,400-500,Processor,C,2,11,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,871.5,871.5,871.5
Grown Steer,400-500,Processor,D,3,13,-4,200.0,240.0,212.92307692307693,-21.2,377.4,452.8,401.7,820.0,1152.0,925.4769240159255
Grown Steer,400-500,Restocker,C,2,24,NQ,236.0,238.0,236.83333333333334,NQ,445.3,449.1,446.9,975.8,1178.1,1024.333346048991
Grown Steer,400-500,Restocker,D,3,12,NQ,228.0,228.0,228,NQ,430.2,430.2,430.2,1048.8,1048.8,1048.800048828125
Grown Steer,500-600,Processor,C,3,14,12,261.0,262.0,261.7857142857143,26.8,476.4,483.3,477.9,1409.4,1519.6,1495.9857003348213
Grown Steer,600-750,Processor,C,4,5,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,1612.0,1612.0,1612
Grown Heifer,0-540,Feeder,D,2,11,3,180.0,180.0,180,20.0,360.0,360.0,360.0,621.0,621.0,621
Grown Heifer,0-540,Feeder,D,3,1,NQ,216.0,216.0,216,NQ,415.4,415.4,415.4,1004.4,1004.4,1004.4000244140625
Grown Heifer,0-540,Processor,C,3,19,3,208.0,230.0,227.68421052631578,5.6,400.0,442.3,437.9,852.8,1069.5,1046.6894723992598
Grown Heifer,0-540,Processor,C,4,3,NQ,234.0,234.0,234,NQ,441.5,441.5,441.5,1099.8,1099.8,1099.800048828125
Grown Heifer,0-540,Processor,D,2,31,-33,140.0,200.0,180,8.5,280.0,400.0,354.9,448.0,702.0,631.483870967742
Grown Heifer,0-540,Processor,D,3,27,-12,180.0,230.0,200.22222222222223,-5.6,346.2,442.3,385.3,691.6,973.7,862.7518513997396
Cows,0-400,Feeder,D,2,14,7,105.0,122.0,117.5,-19.8,228.3,265.2,255.4,393.8,462.0,421.51785714285717
