Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 10/02/2025
Comparison Date: 03/02/2025
Total Yarding: 1231 (-621)
Commentary
"Numbers fell this sale with agents yarding 1231 head. Quality was mixed with some handy lines of feeder cattle offered along with the secondary types. The usual buyers were present and competing in a firm to easier market. 

Yearling steers held fairly steady with middle and heavyweights to feed selling from 330c to 376c/kg. Finished lines to processors sold from 310c to 358c/kg. The heifer portion slipped in price due to a decline in quality from last week’s exceptional run. Middle and heavyweights sold from 260 to 340c/kg. 

Heavy steers and bullocks ranged in price from 310 to 350c/kg. Grown heifers reached 330c/kg. Cows were firm to 3c easier. heavy 2 score selling from 254 to 268c and 3 score received 268 to 286c/kg. The best heavy bull reached 291c/kg."
Yearling Heifer,330-400,Processor,C,2,4,NQ,251.0,251.0,251,NQ,464.8,464.8,464.8,1004.0,1004.0,1004
Yearling Heifer,330-400,Processor,C,3,26,18,257.0,315.0,282.46153846153845,-24.5,475.9,583.3,523.1,925.2,1170.0,1024.515399639423
Yearling Heifer,330-400,Processor,D,3,14,-7,260.0,260.0,260,-39.4,481.5,481.5,481.5,884.0,884.0,884
Yearling Heifer,330-400,Restocker,C,2,29,-28,311.0,311.0,311,22.6,575.9,575.9,575.9,1119.6,1119.6,1119.5999461206898
Yearling Heifer,400+,Feeder,C,2,28,17,305.0,310.2,308.34286063058033,28.3,564.8,574.4,571.0,1302.8,1342.0,1316.8257533482142
Yearling Heifer,400+,Feeder,C,3,17,-59,300.0,315.0,306.94117647058823,-2.0,555.6,583.3,568.4,1260.0,1417.5,1300.270565257353
Yearling Heifer,400+,Processor,C,3,22,-60,290.0,340.0,323.72727272727275,1.6,537.0,629.6,598.5,1218.0,1598.0,1408.2181784889915
Grown Steer,400-500,Processor,C,3,3,-1,320.2,320.2,320.20001220703125,-10.8,593.0,593.0,593.0,1408.9,1408.9,1408.8800455729167
Grown Steer,500-600,Processor,C,3,13,11,310.0,338.0,316.61538461538464,-13.4,574.1,625.9,586.3,1581.0,1824.0,1659.046161358173
Grown Steer,600-750,Processor,C,3,13,NQ,312.2,326.0,314.32309194711536,NQ,578.1,592.7,580.4,1966.9,2053.8,1980.2353140024038
Grown Heifer,0-540,Processor,C,2,7,-2,260.0,300.0,288.57142857142856,8.6,481.5,555.6,534.4,1222.0,1440.0,1377.7142857142858
Grown Heifer,0-540,Processor,C,3,29,-24,250.0,334.2,303.69655845905174,3.2,463.0,618.9,562.4,1175.0,1717.2,1518.914517106681
Grown Heifer,540+,Processor,C,3,10,-27,225.0,330.0,298.3,-21.4,416.7,611.1,552.4,1260.0,1971.2,1766.5199951171876
Cows,400-520,Processor,D,2,8,NQ,252.2,265.0,254.1999969482422,NQ,504.4,530.0,508.4,1192.5,1214.4,1210.2225341796875
Cows,400-520,Processor,D,3,6,NQ,266.0,272.0,269,NQ,532.0,544.0,538.0,1330.0,1360.0,1345
Cows,520+,Processor,D,1,2,NQ,252.0,252.0,252,NQ,504.0,504.0,504.0,1461.6,1461.6,1461.5999755859375
Cows,520+,Processor,D,2,70,-12,254.0,268.0,261.8,-8.2,508.0,536.0,523.6,1351.5,1755.6,1610.4585588727678
Cows,520+,Processor,D,3,121,-32,268.0,286.0,277.408264664579,-5.5,536.0,572.0,554.8,1522.2,2230.8,1828.8730710872933
Bulls,450-600,Processor,C,2,8,6,248.2,298.2,285.1250057220459,15.1,459.6,542.2,519.5,1191.4,1540.0,1486.8299713134766
Bulls,600+,Processor,C,2,9,-15,274.2,291.2,282.68889702690973,9.2,507.8,533.7,518.2,2046.2,2970.2,2600.837836371528
