Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 10/02/2025
Comparison Date: 03/02/2025
Total Yarding: 1231 (-621)
Commentary
"Numbers fell this sale with agents yarding 1231 head. Quality was mixed with some handy lines of feeder cattle offered along with the secondary types. The usual buyers were present and competing in a firm to easier market. 

Yearling steers held fairly steady with middle and heavyweights to feed selling from 330c to 376c/kg. Finished lines to processors sold from 310c to 358c/kg. The heifer portion slipped in price due to a decline in quality from last week’s exceptional run. Middle and heavyweights sold from 260 to 340c/kg. 

Heavy steers and bullocks ranged in price from 310 to 350c/kg. Grown heifers reached 330c/kg. Cows were firm to 3c easier. heavy 2 score selling from 254 to 268c and 3 score received 268 to 286c/kg. The best heavy bull reached 291c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,3,3,NQ,361.2,361.2,361.2000325520833,NQ,668.9,668.9,668.9,1011.4,1011.4,1011.3600260416666
Yearling Steer,200-280,Restocker,C,2,23,8,380.0,391.2,387.60869565217394,-0.4,703.7,724.4,717.8,1026.0,1095.4,1078.695609714674
Yearling Steer,280-330,Feeder,C,3,14,5,300.0,370.0,345,15.0,555.6,685.2,638.9,960.0,1213.6,1123.028529575893
Yearling Steer,280-330,Restocker,C,2,11,-1,349.0,358.2,351.5090997869318,36.5,646.3,663.3,650.9,1047.0,1074.6,1054.527254971591
Yearling Steer,330-400,Feeder,C,2,73,-78,339.2,376.0,365.35890678510276,12.9,628.1,696.3,676.6,1332.7,1480.0,1419.3961833797089
Yearling Steer,330-400,Feeder,C,3,41,22,338.0,362.0,344.2926829268293,-19.6,625.9,670.4,637.6,1190.0,1411.8,1283.858553258384
Yearling Steer,400+,Feeder,C,2,131,-21,338.6,367.0,349.00306107615694,-2.8,627.0,679.6,646.3,1388.3,1688.2,1498.8230409112596
Yearling Steer,400+,Feeder,C,3,122,23,332.2,357.0,343.7983618564293,-2.2,615.2,661.1,636.7,1418.6,1706.5,1567.314269018955
Yearling Steer,400+,Processor,C,3,40,-5,310.0,358.0,349.9,13.6,574.1,663.0,647.7,1395.0,1863.0,1600.87001953125
Yearling Heifer,280-330,Feeder,C,3,1,-26,290.0,290.0,290,-1.9,537.0,537.0,537.0,841.0,841.0,841
Yearling Heifer,280-330,Feeder,D,2,9,NQ,268.0,268.0,268,NQ,496.3,496.3,496.3,884.4,884.4,884.4000108506945
Yearling Heifer,280-330,Processor,C,3,19,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,900.0,990.0,918.9473684210526
Yearling Heifer,330-400,Feeder,C,2,39,-8,270.0,312.2,294.7282088842147,-24.2,500.0,578.1,545.8,1050.0,1248.8,1126.6759064503206
Yearling Heifer,330-400,Feeder,C,3,24,-152,290.0,300.0,296.0416666666667,-12.7,537.0,555.6,548.2,1121.0,1140.0,1134.625
