Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 07/11/2024
Comparison Date: 24/10/2024
Total Yarding: 930 (+330)
Commentary
"There was an increase in numbers in what was a very mixed quality penning. Light weight young cattle well supplied with limited supplies of medium and heavy weights . There were quite a few older cattle penned, mostly heifers while there was a very mixed quality penning of cows. The usual processors were in attendance well supported by local restockers.

Comparing to the sale of a fortnight ago the lightest of the yearling steers to restock sold on a firm to slightly cheaper trend. The heavier weight classes however sold to dearer trends. Restocker demand saw all classes of yearling heifers sell to dearer trends.

Strong competition from processors through the grown cattle with well finished heavy grown steers selling to dearer trend while the well finished heifers followed similar trends. There were quite a few secondary quality heifers penned that also sold to dearer trends tho both feedlot orders and processors. The very mixed quality penning of cows attracted strong processor competition with all classes selling to dearer trends. The well finished heavy weights improved by as much as 10c/kg. Well finished heavy bulls sold to a slightly dearer trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,46,11,246.0,416.0,388.2391304347826,-11.3,473.1,800.0,746.6,590.4,1142.4,984.6521924889606
Yearling Steer,280-330,Restocker,C,2,36,18,300.0,414.0,376.97222222222223,4.5,576.9,796.2,724.9,900.0,1300.2,1133.4124959309895
Yearling Steer,330-400,Feeder,C,2,12,NQ,340.0,360.0,352.3333333333333,NQ,653.8,692.3,677.6,1292.0,1357.2,1341.2666422526042
Yearling Steer,330-400,Restocker,C,2,7,3,310.0,343.0,332.2857142857143,59.8,596.2,659.6,639.0,1127.0,1209.0,1180.7142857142858
Yearling Steer,400+,Feeder,C,2,5,-15,334.0,334.0,334,14.2,642.3,642.3,642.3,1469.6,1469.6,1469.6
Yearling Steer,400+,Feeder,C,3,1,-22,318.0,318.0,318,4.3,588.9,588.9,588.9,1303.8,1303.8,1303.800048828125
Yearling Steer,400+,Processor,B,3,1,NQ,322.0,322.0,322,NQ,575.0,575.0,575.0,1561.7,1561.7,1561.699951171875
Yearling Steer,400+,Processor,C,3,1,-12,322.0,322.0,322,39.7,575.0,575.0,575.0,1674.4,1674.4,1674.4000244140625
Yearling Steer,400+,Restocker,C,2,1,-4,324.0,324.0,324,14.0,623.1,623.1,623.1,1360.8,1360.8,1360.800048828125
Yearling Heifer,200-280,Restocker,C,2,53,-4,236.0,311.0,292.2830188679245,9.5,453.8,598.1,562.1,660.8,855.3,775.5481095224056
Yearling Heifer,200-280,Restocker,D,2,14,-20,282.0,286.0,284,-1.5,564.0,572.0,568.0,657.8,690.9,674.3500279017857
Yearling Heifer,280-330,Restocker,C,2,31,19,262.0,321.0,298.5483870967742,31.0,503.8,617.3,574.1,746.7,995.1,883.7516066028226
Yearling Heifer,330-400,Processor,C,3,4,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,994.5,994.5,994.5
