Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 07/11/2024
Comparison Date: 24/10/2024
Total Yarding: 930 (+330)
Commentary
"There was an increase in numbers in what was a very mixed quality penning. Light weight young cattle well supplied with limited supplies of medium and heavy weights . There were quite a few older cattle penned, mostly heifers while there was a very mixed quality penning of cows. The usual processors were in attendance well supported by local restockers.

Comparing to the sale of a fortnight ago the lightest of the yearling steers to restock sold on a firm to slightly cheaper trend. The heavier weight classes however sold to dearer trends. Restocker demand saw all classes of yearling heifers sell to dearer trends.

Strong competition from processors through the grown cattle with well finished heavy grown steers selling to dearer trend while the well finished heifers followed similar trends. There were quite a few secondary quality heifers penned that also sold to dearer trends tho both feedlot orders and processors. The very mixed quality penning of cows attracted strong processor competition with all classes selling to dearer trends. The well finished heavy weights improved by as much as 10c/kg. Well finished heavy bulls sold to a slightly dearer trend."
Yearling Heifer,330-400,Restocker,C,2,25,17,306.0,324.0,317.76,41.3,588.5,623.1,611.1,1071.0,1154.4,1104.2880322265626
Yearling Heifer,330-400,Restocker,C,3,1,NQ,302.0,302.0,302,NQ,569.8,569.8,569.8,1162.7,1162.7,1162.699951171875
Yearling Heifer,400+,Feeder,C,3,10,NQ,310.0,316.0,315.4,NQ,596.2,607.7,606.5,1327.2,1472.5,1341.72998046875
Manufacturing Steer,540+,Dairy,D,2,4,NQ,278.0,278.0,278,NQ,534.6,534.6,534.6,1529.0,1529.0,1529
Manufacturing Steer,540+,Dairy,D,3,5,NQ,240.0,250.0,246,NQ,461.5,480.8,473.1,1320.0,1875.0,1653
Grown Steer,0-400,Feeder,C,2,6,NQ,345.0,345.0,345,NQ,663.5,663.5,663.5,1380.0,1380.0,1380
Grown Steer,0-400,Restocker,C,2,5,2,254.0,326.0,297.2,39.5,488.5,626.9,571.5,939.8,1141.0,1060.5199951171876
Grown Steer,400-500,Processor,C,2,6,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1400.0,1400.0,1400
Grown Steer,500-600,Feeder,C,3,2,NQ,336.0,336.0,336,NQ,622.2,622.2,622.2,1881.6,1881.6,1881.5999755859375
Grown Steer,600-750,Processor,C,3,8,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,2074.0,2176.0,2125
Grown Steer,600-750,Processor,C,4,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,2077.0,2077.0,2077
Grown Heifer,0-540,Feeder,C,2,24,20,250.0,276.0,264.7083333333333,8.2,480.8,530.8,509.1,925.0,952.2,942.0458577473959
Grown Heifer,0-540,Feeder,C,3,6,1,312.0,312.0,312,33.0,600.0,600.0,600.0,1404.0,1404.0,1404
Grown Heifer,0-540,Feeder,D,2,10,NQ,220.0,220.0,220,NQ,440.0,440.0,440.0,715.0,715.0,715
Grown Heifer,0-540,Processor,C,2,4,1,240.0,240.0,240,10.0,461.5,461.5,461.5,864.0,864.0,864
Grown Heifer,0-540,Processor,C,3,6,-28,255.0,290.0,284.1666666666667,3.8,490.4,557.7,546.5,943.5,1305.0,1244.75
Grown Heifer,0-540,Processor,C,4,10,NQ,310.0,314.0,310.8,NQ,584.9,592.5,586.4,1643.0,1664.2,1647.239990234375
Grown Heifer,0-540,Processor,D,2,78,76,173.0,268.0,227.2051282051282,12.2,346.0,536.0,454.4,588.2,964.8,796.5692232572115
Grown Heifer,0-540,Processor,D,3,42,35,250.0,300.0,279.04761904761904,19.0,490.2,576.9,546.9,1014.0,1456.0,1192.595238095238
Grown Heifer,0-540,Restocker,C,2,31,27,270.0,283.0,276.741935483871,46.7,519.2,544.2,532.2,990.0,1047.1,1015.8967678931451
Grown Heifer,0-540,Restocker,D,3,9,7,220.0,278.0,261.1111111111111,15.1,440.0,545.1,513.9,792.0,1320.5,1117.611111111111
Grown Heifer,540+,Processor,C,3,5,3,312.0,312.0,312,44.0,588.7,588.7,588.7,1716.0,1716.0,1716
Grown Heifer,540+,Processor,C,4,12,6,310.0,324.0,317.5,40.0,584.9,611.3,599.1,1836.9,1953.0,1886.3833414713542
Cows,0-400,Processor,D,2,49,NQ,200.0,230.0,223.26530612244898,NQ,444.4,511.1,496.1,700.0,897.0,852.7755102040817
Cows,400-520,Processor,D,2,32,14,218.0,245.0,237.96875,-0.6,484.4,521.3,513.6,977.5,1004.5,995.765625
Cows,400-520,Processor,D,3,75,48,240.0,279.0,265.29333333333335,17.5,510.6,581.3,555.6,1056.0,1445.6,1253.4933268229167
Cows,400-520,Processor,D,4,5,NQ,270.0,270.0,270,NQ,562.5,562.5,562.5,1404.0,1404.0,1404
Cows,520+,Processor,D,3,30,9,269.0,285.0,276.93333333333334,23.7,550.0,593.8,574.7,1479.5,1567.5,1511.87998046875
Cows,520+,Processor,D,4,60,20,270.0,296.0,286.3333333333333,19.3,540.0,592.0,573.1,1556.8,2137.5,1804.9583658854167
Cows,520+,Processor,D,5,3,2,269.0,269.0,269,39.0,538.0,538.0,538.0,1990.6,1990.6,1990.5999348958333
Calves,80+,Restocker,C,1,6,NQ,320.0,394.0,344.6666666666667,NQ,615.4,757.7,662.8,528.0,551.6,535.8666585286459
Bulls,0-450,Processor,C,2,37,NQ,245.0,314.0,287.72972972972974,NQ,453.7,603.8,544.9,942.0,1082.4,985.0378384976774
Bulls,0-450,Restocker,C,2,4,NQ,296.0,296.0,296,NQ,569.2,569.2,569.2,740.0,740.0,740
Bulls,450-600,Processor,C,2,3,1,240.0,260.0,248.66666666666666,16.2,444.4,481.5,460.5,1104.0,1404.0,1233.6999918619792
Bulls,600+,Processor,B,2,3,-5,271.0,285.0,279,8.3,483.9,508.9,498.2,1995.0,2222.2,2108.2333170572915
Bulls,600+,Processor,B,3,10,5,275.0,290.0,284.1,13.1,491.1,517.9,507.3,2158.8,2610.0,2308.135009765625
Bulls,600+,Processor,C,2,9,-9,260.0,289.0,275.1111111111111,16.8,481.5,535.2,509.5,1690.0,2427.6,1977.300021701389
