Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 05/03/2025
Comparison Date: 
Total Yarding: 1288 (NQ)
Commentary
"Slight dip in supply down to 1288 cattle or 250 less than a week ago. The cheaper trend that has hit the industry in recent days played out at this sale. Export grade cattle including cows and manufacturing and crossbred steers were 20c to 40c/kg cheaper. Price falls were not quite as severe in the young cattle run, with store buyers and feeders still giving reasonable support to the better bred types. And once again domestic processors only had limited numbers of grainfed and genuine prime conditioned steers and heifers to choose from which helped keep a floor in the top end of the market. However most young cattle categories were 5c to 20c/cheaper, with secondary and off-bred types the most affected.

Domestic processors paid to 411c/kg for a highly muscled Euro heifer, down from last week’s top of 427c. Bidding above 400c was rare and this sale didn’t have the exceptional grainfed drafts of a week ago. The lead of the grainfed yearlings mostly 360c to 390c/kg. After this a rate of 310c to 360c/kg covered the general run of beef steers and heifers which showed reasonable breed type and shape, selling to feeders, restockers and processors. Any plainer or grassy heifers faced a tougher market at 250c to 310c/kg. 

Crossbred cattle were well represented in the yarding. Lighter dairy-cross types needing further feeding mostly 220c to 280c/kg, with heavier crossbreds with more fat cover from 300c to 330c/kg. Some secondary dairy shapes did sell below 200c at times.  Cow numbers dropped and so did quality. The cow market recorded the biggest price falls of 20c to 40c/kg. Heavier beef cows mostly 252c to 292c/kg. Lighter and plainer cows 220c to 250c/kg.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,D,2,2,NQ,312.5,312.5,312.5,NQ,612.7,612.7,612.7,1025.0,1025.0,1025
Yearling Steer,330-400,Feeder,B,2,5,NQ,355.0,355.0,355,NQ,669.8,669.8,669.8,1327.7,1327.7,1327.7
Yearling Steer,330-400,Feeder,C,2,43,39,330.0,355.6,345.17674503769985,11.0,634.6,675.7,661.1,1149.9,1422.4,1284.7464855105377
Yearling Steer,330-400,Feeder,D,2,17,NQ,280.0,310.0,297.6470588235294,NQ,549.0,620.0,590.8,926.8,1029.2,987.0352998621323
Yearling Steer,330-400,Processor,C,2,3,NQ,340.0,352.0,348,NQ,629.6,651.9,644.4,1292.0,1397.4,1362.2932942708333
Yearling Steer,330-400,Processor,C,3,5,-1,366.6,407.6,391.3600219726562,13.0,678.9,741.1,722.0,1442.8,1467.4,1448.749169921875
Yearling Steer,330-400,Restocker,C,2,9,-16,320.0,355.6,335.1555582682292,-19.1,627.5,670.9,645.7,1072.0,1422.4,1264.4344482421875
Yearling Steer,330-400,Restocker,D,2,6,-6,280.0,328.0,317.3000030517578,-24.9,549.0,653.2,628.5,1106.0,1302.2,1188.8686930338542
Yearling Steer,400+,Feeder,C,2,8,-10,366.6,366.6,366.6000061035156,22.2,691.7,691.7,691.7,1616.7,1649.7,1629.0787353515625
Yearling Steer,400+,Processor,C,2,5,-7,350.0,379.6,366.32000122070315,10.0,648.1,703.0,675.9,1522.5,1702.0,1610.9679931640626
Yearling Steer,400+,Processor,C,3,37,-61,340.0,388.2,376.232440020587,1.9,629.6,705.8,686.0,1479.0,2056.8,1747.8543272276183
Yearling Steer,400+,Processor,D,3,2,1,350.0,350.0,350,5.4,660.4,660.4,660.4,1487.5,1487.5,1487.5
Yearling Steer,400+,Restocker,C,2,15,-16,300.0,362.6,344.18666381835936,-4.2,588.2,684.2,658.1,1245.0,1475.8,1431.0008951822917
Yearling Steer,400+,Restocker,D,2,2,1,320.0,320.0,320,36.4,627.5,627.5,627.5,1302.4,1302.4,1302.4000244140625
Yearling Steer,400+,Restocker,D,3,1,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1440.0,1440.0,1440
Yearling Heifer,280-330,Processor,D,2,2,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,679.2,679.2,679.2000122070312
Yearling Heifer,280-330,Processor,E,3,3,NQ,226.8,226.8,226.80000813802084,NQ,444.7,444.7,444.7,669.1,669.1,669.0599772135416
Yearling Heifer,280-330,Restocker,D,2,3,-2,250.0,270.0,261.2000020345052,-18.9,500.0,540.0,522.4,787.5,869.9,831.4600016276041
Yearling Heifer,280-330,Restocker,E,2,1,-7,230.0,230.0,230,-1.1,460.0,460.0,460.0,678.5,678.5,678.5
Yearling Heifer,330-400,Feeder,D,2,14,9,270.0,306.0,303.42857142857144,-21.6,540.0,600.0,595.7,945.0,1116.9,1104.6214425223213
Yearling Heifer,330-400,Processor,C,3,11,-1,340.0,348.0,342.94545676491475,-28.3,633.3,646.4,642.7,1156.0,1320.1,1279.573808149858
Yearling Heifer,330-400,Processor,C,4,8,NQ,340.0,380.6,373.0250129699707,NQ,629.6,704.8,686.0,1334.2,1511.0,1470.0140686035156
Yearling Heifer,330-400,Processor,D,2,6,-1,230.0,230.0,230,-58.4,460.0,460.0,460.0,793.5,793.5,793.5
Yearling Heifer,330-400,Processor,D,3,8,3,290.0,326.2,306.9000015258789,-17.1,557.7,627.3,586.0,1122.3,1288.5,1197.7975311279297
Yearling Heifer,330-400,Restocker,C,2,1,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,1064.0,1064.0,1064
Yearling Heifer,330-400,Restocker,C,3,2,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1072.0,1072.0,1072
Yearling Heifer,330-400,Restocker,D,2,9,2,260.0,277.6,274.8000081380208,-31.0,520.0,544.3,540.0,975.0,1049.3,1039.977322048611
Yearling Heifer,400+,Feeder,D,2,1,NQ,299.6,299.6,299.6000061035156,NQ,587.5,587.5,587.5,1213.4,1213.4,1213.3800048828125
Yearling Heifer,400+,Processor,B,3,10,7,390.0,411.6,409.4400146484375,-16.5,696.4,735.0,731.1,1737.0,1891.5,1752.4068359375
Yearling Heifer,400+,Processor,C,3,13,-25,358.0,364.2,359.2307880108173,1.9,663.0,674.4,665.2,1443.5,1646.8,1516.7213228665864
Yearling Heifer,400+,Processor,C,4,4,-10,346.0,346.0,346,-20.0,640.7,640.7,640.7,1522.4,1522.4,1522.4000244140625
Yearling Heifer,400+,Processor,D,3,9,-5,302.0,358.6,321.31111314561633,0.1,580.8,676.6,608.7,1223.1,1623.6,1379.6744384765625
Yearling Heifer,400+,Restocker,D,3,7,NQ,280.0,310.0,292.85714285714283,NQ,538.5,584.9,558.4,1148.0,1373.3,1244.5571986607142
Vealer Steer,0-200,Restocker,D,2,13,NQ,290.0,290.0,290,NQ,580.0,580.0,580.0,429.2,429.2,429.2000075120192
Vealer Steer,200-280,Restocker,C,2,15,NQ,316.0,316.2,316.0800048828125,NQ,632.0,632.4,632.2,752.1,853.7,792.7440104166667
Vealer Steer,200-280,Restocker,D,2,2,NQ,295.6,295.6,295.6000061035156,NQ,591.2,591.2,591.2,679.9,679.9,679.8800048828125
Vealer Steer,280-330,Restocker,C,2,3,-2,338.2,338.2,338.20001220703125,-26.0,663.1,663.1,663.1,1058.6,1058.6,1058.5660807291667
Vealer Steer,280-330,Restocker,D,2,1,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,630.0,630.0,630
Vealer Steer,280-330,Restocker,E,2,1,NQ,211.6,211.6,211.60000610351562,NQ,440.8,440.8,440.8,645.4,645.4,645.3800048828125
