Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 11/03/2025
Comparison Date: 
Total Yarding: 2334 (NQ)
Commentary
"There were approximately 1950 export and 380 young cattle penned representing a decrease of 810 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was good with much of the supply decline coming from the cow pens. Trade cattle lifted 5c to 10c/kg and more for feeder lots. Grown steers and bullocks gained 15c/kg. Heavy grown heifers showing good finish sold 8c/kg dearer. Manufacturing steers improved 10c to 20c/kg. Cows sold 15c to 20c/kg dearer. Heavy bulls gained 5c to 10c/kg. 

Vealers sold from 310c to 405c/kg. Yearling trade steers made between 340c and 380c/kg. Yearling heifers to the trade sold between 315c and 370c/kg. Grown steers made from 340c to 375c/kg. Bullocks sold from 348c to 410c/kg. Heavy grown heifers made between 318c and 371c/kg. 

Heavy Friesian manufacturing steers sold between 290c and 326c with the crossbred portion between 312c and 389c/kg. Most light and medium weight cows made from 217c to 270c/kg. Heavy weight cows sold mostly from 248c to 318c/kg. Heavy bulls made between 271c and 348c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,D,2,2,NQ,334.0,334.0,334,NQ,642.3,642.3,642.3,1102.2,1102.2,1102.199951171875
Yearling Steer,330-400,Feeder,C,2,6,NQ,340.0,358.0,349,NQ,629.6,663.0,646.3,1342.5,1360.0,1351.25
Yearling Steer,330-400,Feeder,D,2,5,NQ,290.0,310.0,298,NQ,557.7,596.2,573.1,1015.0,1116.0,1055.4
Yearling Steer,330-400,Processor,C,2,5,NQ,335.0,336.0,335.6,NQ,620.4,622.2,621.5,1340.0,1344.0,1342.4
Yearling Steer,330-400,Processor,C,3,3,-3,350.0,350.0,350,11.5,636.4,636.4,636.4,1400.0,1400.0,1400
Yearling Steer,330-400,Processor,D,2,2,NQ,276.0,292.0,284,NQ,530.8,608.3,569.6,1035.0,1168.0,1101.5
Yearling Steer,330-400,Processor,E,2,1,NQ,258.0,258.0,258,NQ,537.5,537.5,537.5,903.0,903.0,903
Yearling Steer,330-400,Restocker,C,2,2,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1155.0,1155.0,1155
Yearling Steer,330-400,Restocker,D,2,17,NQ,286.0,288.0,287.6470588235294,NQ,543.4,553.8,550.1,1008.0,1065.6,1028.7529296875
Yearling Steer,400+,Feeder,C,2,13,NQ,348.0,350.0,348.3076923076923,NQ,644.4,648.1,645.0,1600.8,1925.0,1650.676983173077
Yearling Steer,400+,Processor,B,2,1,NQ,366.0,366.0,366,NQ,653.6,653.6,653.6,1647.0,1647.0,1647
Yearling Steer,400+,Processor,B,3,5,NQ,372.0,380.0,378.4,NQ,652.6,655.2,654.7,1785.6,1995.0,1953.1199951171875
Yearling Steer,400+,Processor,C,2,1,NQ,345.0,345.0,345,NQ,638.9,638.9,638.9,1518.0,1518.0,1518
Yearling Steer,400+,Processor,C,3,5,-19,345.0,375.0,356,-21.6,627.3,681.8,649.7,1552.5,1781.3,1648.55
Yearling Steer,400+,Restocker,C,3,1,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1615.0,1615.0,1615
Yearling Steer,400+,Restocker,D,2,2,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1395.0,1395.0,1395
