Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 15/04/2025
Comparison Date: 08/04/2025
Total Yarding: 613 (-308)
Commentary
"Cattle numbers were back this week with 613 head penned, made up of 368 young cattle, 219 cows, 22 grown bulls and a few pens of open auction young cattle. The quality was mixed with cows making up a third of the offering. Most of the regular buying group attended and operated in a market similar to last week. A few cents dearer on medium weight grown steers, to 10c/kg easier on heavy grown heifers, 10c to 20c/kg easier on yearling trade heifers and similar on the cows. Bulls sold 8c to 10c/kg dearer. 

Young cattle sold to the trade from 236 to 380c and feeders paid from 232c to 380c/kg. Plainer types sold from 180c to 190c/kg. 

Medium grown steers sold from 348c to 410c, with heavier weights selling from 303 to 374c/kg. Feeders paid from 266c to 380c/kg. Heavy weight heifers sold from 320c to 380c with feeders and restockers paying from 272c to 364c/kg. 

Medium weight cows sold from 180c to 210c. Heavy 3 and 4 score cows sold from 300c to 335c, with the plainer types selling from 265c to 288c/kg. Feeders paid 180c/kg for cows. Bulls sold from 200c to 320c, feeders paid from 210c to 310c/kg for young bulls. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Restocker,D,2,1,NQ,312.0,312.0,312,NQ,588.7,588.7,588.7,1638.0,1638.0,1638
Grown Steer,600-750,Feeder,C,3,6,2,332.0,335.0,334,-40.0,614.8,620.4,618.5,2075.0,2077.0,2076.3333333333335
Grown Steer,600-750,Feeder,C,4,6,NQ,374.0,374.0,374,NQ,692.6,692.6,692.6,2318.8,2318.8,2318.8001302083335
Grown Steer,600-750,Processor,C,3,12,1,303.0,368.0,345.3333333333333,-41.6,550.9,669.1,627.9,1984.7,2576.0,2237.7833353678384
Grown Steer,600-750,Processor,C,4,3,NQ,374.0,374.0,374,NQ,680.0,680.0,680.0,2412.3,2412.3,2412.3001302083335
Grown Steer,600-750,Processor,D,3,1,NQ,355.0,355.0,355,NQ,657.4,657.4,657.4,2573.8,2573.8,2573.75
Grown Heifer,0-540,Feeder,C,2,4,NQ,308.0,308.0,308,NQ,592.3,592.3,592.3,1601.6,1601.6,1601.5999755859375
Grown Heifer,0-540,Feeder,D,2,3,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,1346.4,1346.4,1346.4000651041667
Grown Heifer,540+,Feeder,C,2,20,NQ,288.0,362.0,339.55,NQ,553.8,683.0,644.4,1569.6,1972.9,1853.7675537109376
Grown Heifer,540+,Feeder,C,3,45,19,335.0,364.0,348.1777777777778,-18.3,632.1,674.1,646.4,1892.8,2129.4,2009.6333333333334
